{'短评内容': '一次性牙刷牙膏拖鞋都要收费才可以用', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '帮朋友预定，反应还不错。', '短评打分': 4}
{'短评内容': '连个纸拖鞋都要收8块钱，也是醉了', '短评打分': 3}
{'短评内容': '附近吃饭的比较多 就是小复式有一点点味道 其他还好', '短评打分': 5}
{'短评内容': '订的个性情调房  跟图片不符  不如上次住的阳光房 而且阳光房更便宜', '短评打分': 4}
{'短评内容': '还行，', '短评打分': 4}
{'短评内容': '位置方便，附近吃的比较多', '短评打分': 5}
{'短评内容': '位置比较方便，环境还行', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '位置挺方便的 环境也还不错', '短评打分': 5}
{'短评内容': '交通方便 房间一般比较小', '短评打分': 5}
{'短评内容': ':不错?。不错?不错?', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '下次还是住连锁的吧', '短评打分': 3}
{'短评内容': '还可以各方面，就是没有早餐吃，以后有免费的早餐最好了', '短评打分': 4}
{'短评内容': '离岳麓山近，附近吃的比较多，靠近通程广场，走去湘江边也就几分钟，溜达溜达也是不错的。卫生一般吧，我比较挑，不过这个价位不错了。', '短评打分': 4}
{'短评内容': '环境还不错，地方好早，因为出差在师大这边，好找。', '短评打分': 5}
{'短评内容': 'wifi不好，连不上，其它还可以！', '短评打分': 5}
{'短评内容': '不能刷卡的，还得交现金！没带钱估计还住不了，态度很恶劣！不建议入住，入住请慎重', '短评打分': 1}
{'短评内容': '很好 经常住', '短评打分': 5}
{'短评内容': '呵呵', '短评打分': 4}
{'短评内容': '蛮不错的，虽然贵了点，但是值这个价', '短评打分': 5}
{'短评内容': '一般般，不够干净', '短评打分': 4}
{'短评内容': '新装修房间气味大，其他还不错，交通便利，周围商业网点多。', '短评打分': 3}
{'短评内容': '酒店交通便捷，环境不错，毗邻沿江风光带，酒店的人员服务热情及时到位。唯一不足的是酒店的房间比图片看上去略小。', '短评打分': 5}
{'短评内容': '建议酒店客房加设内栓，住的当晚出现服务员打开房门的情况，让旅客觉得很不安全，浴室玻璃门变形，让旅客有点担心，电脑运行速度很慢。', '短评打分': 1}
{'短评内容': '酒店环境还可以，可以免费停车。出门不远就是湘江。价格稍贵，没有免费洗漱。', '短评打分': 3}
