{'短评内容': '老板非常热情，离沙滩近，下次去还住这里！', '短评打分': 5}
{'短评内容': '老板非常热情，距离沙滩很近！', '短评打分': 5}
{'短评内容': '很差', '短评打分': 2}
{'短评内容': '很差', '短评打分': 2}
{'短评内容': '很一般', '短评打分': 2}
{'短评内容': '非常不错的一次入住体验，给人的感觉，特别温馨，也非常干净，像家一样的很自在，美女老板娘人很不错的，很贴心的服务，大大的赞！！！', '短评打分': 5}
{'短评内容': '都挺好的，有2点小问题。1、无法忍受这个没门的洗手间，台湾人又得嘲笑大陆人上洗手间不关门了。2、房间隔音效果几乎为0，太吵啦，两三点被吵醒几次。希望老板加以改善吧。519的价格，设施环境确实还需要改善。', '短评打分': 4}
{'短评内容': '价格还是很实惠的，离海边也挺近，就是酒店设备有点老旧，整体装修风格还不错，建议住大圆床房间，虽然贵了点', '短评打分': 4}
{'短评内容': '还好，', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不建议入住，条件差，房间小，床单没换。', '短评打分': 1}
{'短评内容': '订了无数次酒店客栈，这是最不满意的一次。如此高昂的价格却是这样的条件，实在后悔无比，又不能退，悔死了。客栈可能来的比较早，久不维修更新，实在是已经无法入目，门口的标牌都锈蚀了，门口掉皮，茶几起皮，杯子居然和救生设备堆放在一起，冰箱是不制冷的，落地灯也是歪的，洗手间有异味，到处都脏兮兮的，我们几乎哪儿都不敢碰。800多一晚这么贵，觉得老板至少可以花点钱把破久的小茶几和外面的躺椅换一下，真的太糟糕了！', '短评打分': 2}
{'短评内容': '之前住过 后面这次住的感想是 装修残旧 灰尘满布 房间地板都是上一个客人遗留下的沙子 且价格不便宜', '短评打分': 5}
{'短评内容': '老板娘非常亲切……其它……乏善可陈', '短评打分': 4}
{'短评内容': '老板娘非常亲切……其它……乏善可陈', '短评打分': 4}
{'短评内容': '老板娘非常亲切……其它……乏善可陈', '短评打分': 4}
