{'短评内容': '酒店很好，位置也不错，建议推荐！', '短评打分': 5}
{'短评内容': '还不错，交通方便', '短评打分': 5}
{'短评内容': '早餐是很不错的。卫生间稍微有点小。', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好，特别好，服务好', '短评打分': 5}
{'短评内容': '还可以。。。。。', '短评打分': 5}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '非常好 每次去徐州都住这边 干净卫生 价格公道 服务也还可以', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '在京东购物已经成为日常生活的主要部分了...', '短评打分': 5}
{'短评内容': '还可以，到了那边前台一开始说没有信息，后来确认了', '短评打分': 5}
{'短评内容': '离矿大很近，因为办事就住这里了。前台人员服务很热情，房间也很干净，很安静。唯一的不足就是房型稍微有些小，并且在续住第二天的时候，卫生间的香皂和护理包没有及时更新。另外早餐的样式有些简单，但是味道都还不错。', '短评打分': 5}
{'短评内容': '离矿大很近，因为办事就住这里了。前台人员服务很热情，房间也很干净，很安静。唯一的不足就是房型稍微有些小，并且在续住第二天的时候，卫生间的香皂和护理包没有及时更新。另外早餐的样式有些简单，但是味道都还不错。', '短评打分': 5}
{'短评内容': '环境不错，房间宽敞！', '短评打分': 4}
{'短评内容': '还可以吧，就是定错了，也不能退了', '短评打分': 4}
{'短评内容': '服务态度非常好！', '短评打分': 5}
{'短评内容': '感谢 付大园 同志的热情服务', '短评打分': 5}
{'短评内容': '服务态度很好，谢谢孙娟娟，吴长芹两位的水果！', '短评打分': 5}
{'短评内容': '服务员居红玲，毕祥美服务态度很好。', '短评打分': 5}
{'短评内容': '都挺好的，第一晚还送苹果', '短评打分': 5}
{'短评内容': '住过好几次，每次我订的房型和房间都一样，但酒店给我的房间居然都不一样，估计经常把普单当作豪单卖给客人，无良的酒店，垃圾酒店，不能这样忽悠客人，这酒店把携程的客人都当傻子了', '短评打分': 4}
{'短评内容': '在北方城市来说是不错了，特别是自助餐，不过价格还是有点小贵啦', '短评打分': 5}
{'短评内容': 'hao!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '交通便利，房间干净，服务热情，早餐丰富。', '短评打分': 5}
{'短评内容': '不错的酒店，只是现在涨价了，有些遗憾，早餐、服务都很好，就在矿大北门对面，很方便。', '短评打分': 5}
{'短评内容': 'HANPHAPHAOHAOHAOHAOHAOHAO', '短评打分': 5}
{'短评内容': 'HAOHohOHohOHohAOHAOHAOHAO', '短评打分': 5}
{'短评内容': '在徐州住了几个酒店后，觉得这家酒店还是最合适于我的。所以，以后还会选择这家酒店---如果到徐州', '短评打分': 5}
{'短评内容': '不错，服务特别好，离矿大很近，以后同学聚会就是这家了', '短评打分': 5}
{'短评内容': '很好！环境也很不错！酒店可购买的商品太少！希望以后服务有更多改进！', '短评打分': 5}
{'短评内容': '感觉干净，服务到位，交通方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，离办事的地方近，出差的时候基本住这。', '短评打分': 3}
{'短评内容': '酒店的设施挺好的，但是就是头上偶尔有飞机飞过，稍微有点影响。其他的都不错！', '短评打分': 5}
{'短评内容': '还是很不错的，交通蛮方便的，下次还会来住', '短评打分': 5}
{'短评内容': '性价比还是蛮高的，环境也不错，交通很方便', '短评打分': 5}
{'短评内容': '还不错，服务很好，就是灰比较大，主要是徐州的污染比较大', '短评打分': 5}
{'短评内容': '环境挺不错的，车位比较多，关键是来矿大上课，真的是比较方便，就在学校大门对面！', '短评打分': 5}
{'短评内容': '隔音不好  早餐还行', '短评打分': 3}
{'短评内容': '环境很好   设施很齐全  是值得住的一家酒店', '短评打分': 5}
{'短评内容': '酒店很不错。下次还会去住。就是附近吃的东西比较少。', '短评打分': 5}
{'短评内容': '晚上蚊子太多，无语，住的套房，有一个房间遥控器坏', '短评打分': 3}
{'短评内容': '环境不错, 标间面积也大, 卫生也不错. 唯一就是离高铁站远了些.', '短评打分': 3}
{'短评内容': '环境不错, 可惜浴室下水不好, 需要改进', '短评打分': 3}
{'短评内容': '很舒适。以后常会光顾', '短评打分': 3}
{'短评内容': '环境还不错，当时是帮爸妈订的，总之还是挺满意的。', '短评打分': 5}
{'短评内容': '周边环境很好，夜晚很安静，房间内部设施比较完备，早点很丰富。唯一美中不足的房间隔音不是很好', '短评打分': 5}
{'短评内容': '酒店还好。。。蛮方便的。。。 下次还会住...', '短评打分': 5}
{'短评内容': '酒店比较安静，早餐很丰富。住快捷单人间性价比很好的', '短评打分': 5}
{'短评内容': '各方面都很好，只是又涨价了，实在有些遗憾；；；；；；；；；；；；；', '短评打分': 5}
{'短评内容': '环境不错，下次还会去，价格有点高，性价比还可以', '短评打分': 5}
{'短评内容': '环境不错，比较新，在矿大正对门，比较安静', '短评打分': 5}
{'短评内容': '酒店还可以，算是一家比较干净和安静的地方，紧挨着矿大，地下室的停车场管理还到位，总体感觉很好。只是住的时候空调不给力，坏了两三天，后来才修好，美中不足。', '短评打分': 5}
{'短评内容': '床比较硬，房间环境一般，简单住住', '短评打分': 3}
{'短评内容': '地方很好，环境安静，酒店设施也不错！就在矿大北门对面，交通方便！', '短评打分': 5}
{'短评内容': '还凑合吧，性价比不是太高，就是挺安静的。', '短评打分': 5}
{'短评内容': 'FEICHANGHAO DE JIUDIAN DANJIAGE ZHANGLE FEICHANGBIHAO ', '短评打分': 5}
{'短评内容': '挺精致实惠的，而且早餐不错，品种挺多，味道不错，比较安静', '短评打分': 5}
{'短评内容': '在徐州同比价格下的酒店相比算不错的，交通方便，值得推荐！现在人们到酒店很关注毛巾、浴巾的洁白度，中汇如果在这方面再提高一下就更好了！', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，自助餐也挺丰盛的。', '短评打分': 3}
{'短评内容': '酒店不错，服务也好，早餐也可以，下次还会住这。', '短评打分': 5}
{'短评内容': '酒店很舒服,环境很好,安静,档次高', '短评打分': 3}
{'短评内容': '挺好，早餐不错，会议型酒店，房间还可以吧。', '短评打分': 5}
{'短评内容': '很舒适，很整洁，值得推荐', '短评打分': 3}
{'短评内容': '服务不是很规范，酒店一般般，性价比一般，酒店设施还可以', '短评打分': 1}
{'短评内容': '各方面还是不错的', '短评打分': 3}
{'短评内容': '很好的酒店，服务很好，只是又涨价不好；；；；；；；；；；；；；；；；', '短评打分': 5}
{'短评内容': '很好的酒店，早餐不错；；；；；；；；；；', '短评打分': 5}
{'短评内容': '酒店还不错，靠近中国矿业大学，环境很好， 比较安静，下次还会入住', '短评打分': 5}
{'短评内容': '之前住过，觉得好，就想以后出差到徐州就都住这里了。跟公司的同事们也说了这事。', '短评打分': 5}
{'短评内容': '环境安静，而且大门外就有很多饭店，本身酒店的餐厅也不错', '短评打分': 5}
{'短评内容': '这次住了个靠山墙的房间，两个窗户，既宽敞又明亮，值得 推荐', '短评打分': 5}
{'短评内容': '房间不大，但设施挺全，就是晚上总是有骚扰电话不好。', '短评打分': 5}
{'短评内容': '这家酒店非常好，价格实惠，早餐丰富，中午、和晚上的自助餐很适合商务出差的人，也很方便的。', '短评打分': 5}
{'短评内容': '早餐比较丰盛，有线电视没有我最爱看的中央3和中央5，遗憾', '短评打分': 5}
{'短评内容': '酒店还不错，交通也方便，晚上也安静，餐饮价格有点高，自助餐不好，去迟了，没什么菜，也不加了', '短评打分': 5}
{'短评内容': '服务态度很好，酒店很安静，卫生方面不错。第一次的房间光线不好，反应后立刻调换朝阳位置，登记的时候车钥匙忘记拿了，立刻给你打电话。', '短评打分': 5}
{'短评内容': '早餐还行，可是床垫比较硬，，枕头比较软。。。。。', '短评打分': 1}
{'短评内容': '总体还行吧，就是床垫有点儿硬，枕头有点矮。', '短评打分': 1}
{'短评内容': '1:酒店的隔音效果很差，要等到晚上12点左右才能安静点\n2：结账时说我消费了一桶方便面，实际上我什么都没吃，不知道怎么管理的！', '短评打分': 1}
{'短评内容': '酒店不错，尤其是早餐比较丰盛，价位也比较合适，值得推荐。', '短评打分': 5}
{'短评内容': '房间很干净卫生， 早餐也不错，很好的一家酒店。', '短评打分': 5}
{'短评内容': '还不错，环境很好，早餐也很丰盛.............', '短评打分': 5}
{'短评内容': '酒店硬件还不错！软件服务稍微有一些欠缺！早餐还不错！比较丰富！算是不错的一家酒店了！', '短评打分': 5}
{'短评内容': '房间设施及暖气、热水让人满意。早餐丰富可口。尤其离当地景点不远便捷。首选外出居所', '短评打分': 5}
{'短评内容': '1.房間裡沒有110V的插座，不能使用電動刮鬍刀。\n2.有人在我房間門口放了一張色情電話的名片，感覺飯店的人員進出管制不太好。', '短评打分': 5}
{'短评内容': '值房间设施暖气热水令人满意早餐丰富交通便捷', '短评打分': 3}
{'短评内容': '每次来徐州都住这个了，这次定晚了，没订到便宜的，这个308的跟198档次上也没啥差别，什么都一样的，就多了台可以用的电脑，房价就可以相差这么多，不明白你们是怎么定价的。洗漱用品用舒蕾瓶子装的，仔细一看，里面的东西不是舒蕾的，很无语。总体来说推荐198的，其他的不推荐。', '短评打分': 5}
{'短评内容': '中汇酒店性价比比较高，只是早餐差了点，下次还会去住。', '短评打分': 3}
{'短评内容': '酒店不错，早餐很好很丰富，服务态度不错，距离矿业大学很近，\n', '短评打分': 5}
{'短评内容': '  真的挺好的，第一次去徐州，本来很紧张，前台的姐姐服务态度特别好，而且很热情，让我觉得很自然，而且屋子的环境卫生也很好的，最主要的就是离矿大太近了，我很满意', '短评打分': 5}
{'短评内容': '很好，很干净，下次还会住的。', '短评打分': 3}
{'短评内容': '大冬天的 空调都没有开放 如果不怕冷的人可以推荐一下', '短评打分': 1}
{'短评内容': '以前住过，感觉还可以就是位置不太理想。服务一般。', '短评打分': 5}
{'短评内容': '非常干净，环境也很不错，就是位置相对市区有些偏僻，但是靠近矿大，那天街上应有尽有', '短评打分': 5}
