{'descr': '鬼屋、没人、服务差劲', 'star': 1}
{'descr': '房间宽大，不错', 'star': 5}
{'descr': '没有早餐 另外有点吵 随便住住', 'star': 3}
{'descr': '不是很好', 'star': 2}
{'descr': '便利店', 'star': 1}
{'descr': '酒店很一般，推荐指数两颗星', 'star': 2}
{'descr': '还算不错，位置不怎么好，早上起来还在装修', 'star': 4}
{'descr': '晚上饿了，吃饭买泡面要自己下楼拿，不方便，总体环境还可以。', 'star': 3}
{'descr': '还行，但门口停车要注意，不在停车位上会罚款', 'star': 3}
{'descr': '整体都还不错，性价比也很高', 'star': 3}
{'descr': '很一般，也不便宜，别去住了', 'star': 3}
{'descr': '酒店设施还蛮不错的，房间很大，东西很齐全，送的早饭也不错', 'star': 5}
{'descr': '不错的酒店，下次一定再去，服务好，快捷好方便', 'star': 5}
{'descr': '房间比较局促，有些房间没有窗户。硬件设施还行。', 'star': 1}
{'descr': '服务员服务态度很好，能做到拾金不昧，很难得。装修高雅有自己的特色，空调强劲。内部附属物品很齐全。宽带150-190K/S一般。卫生间偏小。', 'star': 5}
{'descr': '交通便利，接送客户比较方便，晚上吃饭也方便', 'star': 5}
{'descr': '初次入住这家宾馆，本来没看到点评，心里有些不安，只是抱着试试看的想法来住的，住完觉得还蛮不错的，靠近市中心区，有车，交通还比较方便啦，宾馆对面还有个公园，景色蛮好。房间里配备的家私貌似价格不便宜哦，唯一觉得不好的地方就是洗手间特别大，空空的，宾馆人员服务很好，让她们帮我订周庄的门票，很快就订好了，早餐在西餐厅吃的自助早餐，还有现磨的咖啡可以喝，总之性价比蛮高的，下次还会来入。', 'star': 5}
