{'短评内容': '不错，公司协议，又有了早餐', '短评打分': 5}
{'短评内容': '环境好，服务好，有家的感觉', '短评打分': 5}
{'短评内容': '环境不错，就是窗户关不严', '短评打分': 5}
{'短评内容': '还不错  就是没窗真的很闷  不知道白天黑夜 哈哈 其他都还好', '短评打分': 3}
{'短评内容': '没有停车场，都在门口停，位置不多，貌似加不了床，房间小。隔音不是特别好。就是比较干净。', '短评打分': 5}
{'短评内容': '房间略小 卫生还可以', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '我预定的大床房，前台小伙服务态度很不错！房间很大，很干净，电视小了点。给预备了4个枕头，倚靠，睡觉都能找到合适的高度。早餐也还不错，宾馆旁边有快餐吃饭方便。这个价位，这样的房间以我的标准来看，超值！！', '短评打分': 5}
{'短评内容': '不错，态度好。', '短评打分': 5}
{'短评内容': '还不错，态度好', '短评打分': 5}
{'短评内容': '还不错，态度很好', '短评打分': 5}
{'短评内容': '环境好，交通方便，安静舒适，服务好。', '短评打分': 5}
{'短评内容': '整体满意，干净。', '短评打分': 4}
{'短评内容': '非常实惠的酒店，位置也好。。附近离万达广场很近，可以去逛街，而且也有很多好吃的。非常值得推荐朋友来住啊。', '短评打分': 5}
{'短评内容': '非常不错，还会再来。。。。。。。。。。', '短评打分': 5}
{'短评内容': '给同事出差订购的，反馈还是蛮好的，离办事的地方挺近的', '短评打分': 5}
{'短评内容': '非常好，不是第一次住咯。非常划算', '短评打分': 5}
{'短评内容': '早餐很好，而且种类越来越多，很不错，环境很优雅，门口有电车通往市区很方便。', '短评打分': 5}
{'短评内容': '挺好的，新开张的酒店。不错，建议住有窗户的房间。', '短评打分': 5}
{'短评内容': '酒店很新，房间大小适中，干净整洁，周围环境也比较安静。', '短评打分': 5}
{'短评内容': '比较新的一家莫泰酒店，房间干净，位置有点偏，比较适合有车族或者旅行团队。', '短评打分': 5}
{'短评内容': '酒店比较新，服务好，硬件还没到位，需要磨合。', '短评打分': 3}
{'短评内容': '很干净，装修的很有品味，而且门口就有电车乘坐，很方便，极力推荐~', '短评打分': 5}
{'短评内容': '新装修，有味道。其他都挺不错的，希望继续保持！早餐也还可以！下次还会选择这里。', '短评打分': 5}
