{'短评内容': '酒店环境很好，自来水都是甜甜的。', '短评打分': 5}
{'短评内容': '酒店位置在金沙索道边上，步行几分钟就到了。入住的时候打开房门就能闻到卫生间有股臭味，立即到总台要求换房，也满足了我们的要求，换了间房后气味似乎是没有了，但隔音效果差，空调外机声巨响，将就准备睡觉了，22点刚过，隔壁房有客人入住，于是被吵杂的声音干扰无法入眠，立马又联系总台，接着又再次换房!提议需要安静的环境，被换到二层，所幸这次换到的房间还是不错的，除了空调外机有点吵，最后关了空调，永远度过了一个', '短评打分': 4}
{'短评内容': '酒店在山角下离景区很近，可能是山区原因大堂阴凉没空调，卫生间有味儿。但在山里有这样的酒店也就不错了。', '短评打分': 3}
{'短评内容': '酒店设施在周边酒店中还算好的，早餐不怎么样，酒店的按摩千万不要试，千万不要试', '短评打分': 5}
{'短评内容': '早餐还不错，以素为主。咖啡是咖啡吗？', '短评打分': 5}
{'短评内容': '这家酒店离索道比较近，配置也不错，整体很满意。本来以为山里面的酒店会差一些，总体反而比想象中好些。', '短评打分': 5}
{'短评内容': '还不错，就是价格有点偏贵。另外，歺厅炒菜不错。', '短评打分': 5}
{'短评内容': '酒店干净整洁，值得推荐', '短评打分': 5}
{'短评内容': '酒店就在山脚下，离金沙索道只有5分钟路程。非常方便，早餐比较丰富中西式结合。性价比不错比山上的酒店好太多，强烈推荐', '短评打分': 4}
{'短评内容': '房间沐浴水龙头需要更换，房间灯光太暗，床铺比较硬、隔音效果希望改进，优点房间空间比较大、位置距离景点缆车也就几百米。', '短评打分': 5}
{'短评内容': '有霉味', '短评打分': 4}
{'短评内容': '因为是陪客户出行，在网上对比了很多酒店最后选择了金沙湾假日酒店。不管价格，地理位置，硬件设施。我的客户满意我就满意。最后离店时客户都很满意这次的安排，所以我也非常满意。不错！', '短评打分': 5}
{'短评内容': '房间很干净，比较安静。价格不算太贵。', '短评打分': 5}
{'短评内容': '环境很好，房间很干净，服务很到位，很满意，下次还住这字', '短评打分': 5}
{'短评内容': '老婆和丈母娘都很满意，下次来玩还会选择。', '短评打分': 5}
{'短评内容': '风景不错，离索道比较近', '短评打分': 5}
{'短评内容': '酒店位置不错，离索道近，离大马路也不远。大堂高档宽敞，特色生态房，全木装修，给人的感觉很温暖舒适。晚饭是在酒店吃，价钱不贵，味道不错。两个人点了3个菜一个汤一个点心，想不到份量那么大，吃剩了很多。总体来说，令人满意。', '短评打分': 5}
{'短评内容': '酒店位置较好，走到索道也就几分钟的，房间较小，三清山旅游住一晚问题也不大。', '短评打分': 4}
{'短评内容': '位置离索道很近', '短评打分': 3}
{'短评内容': '酒店就在索道边，很新，设施一流，性价比好！', '短评打分': 5}
{'短评内容': '很不错的酒店环境非常的好，很卫生，很有家的感觉', '短评打分': 5}
{'短评内容': '酒店很新，在景区能有这样的酒店很不错了，服务员的态度非常好，离金沙索道非常近。', '短评打分': 5}
{'短评内容': '金沙湾假日酒店设施一流，服务态度很好，餐厅菜肴也值得一夸，下次来还要住在这个酒店，不愧是五星级设施，五星级服务，五星级享受。', '短评打分': 5}
{'短评内容': '酒店是2011年开业的，很不错，房间很大，风景也很好，唯一不足就是洗漱间过于小了些。', '短评打分': 5}
{'短评内容': '不错，超赞!', '短评打分': 3}
