{'短评内容': '人为杂乱，房旧', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '早餐丰富，大堂气派。', '短评打分': 5}
{'短评内容': '早餐样式多，水果也多。', '短评打分': 5}
{'短评内容': '入住人员嘈杂，公认在大厅吸烟、醉酒喊闹。', '短评打分': 3}
{'短评内容': '在湛江算是比较好的酒店了，大堂环境非常优美，房间很大性价比高，坐落在市中心去霞山和赤坎都非常方便，。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '第一次去湛江出差，能入住这么好的五星级酒店，真让我感觉意外。该酒店设施先进，服务一流，地理位置好，装修豪华。值得推荐！', '短评打分': 5}
{'短评内容': '位置不错，交通方便，但是酒店设施太l日了，灯光不亮。酒店早餐不错，服务人员态度不错。晚上有铺夜床。酒店正在局部装修中', '短评打分': 5}
{'短评内容': 'Very good location. Airport 10 min. Good food - chicken ', '短评打分': 4}
{'短评内容': '设施设备感觉比不上君豪', '短评打分': 5}
{'短评内容': '周边餐馆太少', '短评打分': 5}
{'短评内容': '酒店比较老了，设施较差，早餐品种较少', '短评打分': 4}
{'短评内容': '订房向携程指定要双床房，结果到了，酒店说当天刚好是省运会开幕，没有双床房了，升级豪华大床房，算是勉强接受。', '短评打分': 4}
{'短评内容': '当地最好的宾馆，大堂气派，流水潺潺，鲤鱼跳龙门，一派生机盎然之景，房間阔大干净，早餐丰富，服務热情！', '短评打分': 5}
{'短评内容': '帮朋友订的。反馈不错。', '短评打分': 5}
{'短评内容': '离机场非常近，方便。升级到行政楼层，心里感觉舒服。', '短评打分': 5}
{'短评内容': '不愧是连锁酒店，服务非常好，让人觉得很舒心。早餐也不错。', '短评打分': 3}
{'短评内容': '很好,在湛江来说是个不错的选择。离机场也蛮近的。', '短评打分': 5}
{'短评内容': '开发区乐山路堪称酒店一条街，皇冠前台接待不错，退房也很快；不足之处：门童根本不知道迎宾这件本职工作，车停在酒店门口，下车，拿行李，理都没人理；房间没水果；资助晚餐品种有限，没什么突出的菜。总体感觉性价比低', '短评打分': 5}
{'短评内容': '酒店不错，服务很好。到底是一线品牌，住的舒适，开心。', '短评打分': 5}
{'短评内容': '酒店还可以，只是房间装修显得比较陈旧，还算物有所值吧', '短评打分': 5}
{'短评内容': '很卫生', '短评打分': 3}
{'短评内容': '应该是目前湛江最好的酒店了，中午的时候中餐厅居然有大量等位的，只能下次再品尝了。', '短评打分': 5}
{'短评内容': '毕竟是小城市，服务规范差些，但床软软的很舒适。', '短评打分': 3}
