{'短评内容': '很方便，很喜欢，很实惠，', '短评打分': 5}
{'短评内容': '地方有点偏远，房间设施一般', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '找了很久，看评论不错，重点是有停车位~', '短评打分': 4}
{'短评内容': '房间干净，前台服务员热情，有停车场，装修很好，WiFi独立的，布草干净', '短评打分': 5}
{'短评内容': '整体还不错！', '短评打分': 4}
{'短评内容': '还不错，挺干净的', '短评打分': 5}
{'短评内容': '位置不错，安静，卫生不错', '短评打分': 5}
{'短评内容': '设施设备好，服务好，房间大，地址优越，安静，床单干净，wifi也可以，最主要的有停车场，方便停车。', '短评打分': 5}
{'短评内容': '服务很好啊！卫生个方面都好，房间大，安静，地址不错，很安静，离大马路远。值得推荐。', '短评打分': 5}
{'短评内容': '这个酒店很好，服务员态度好，店长还亲自接待，还给倒茶喝，卫生干净，wifi，被子干净，地址也不错，很安静，出差人可选之地。', '短评打分': 5}
{'短评内容': '各方面都可以，值得推荐，安静，卫生服务好，wifi也可以，前台还有茶水喝呢！有停车场可以停车。', '短评打分': 5}
{'短评内容': '好评，不得不说，这家酒店挺可以的，卫生服务都很好，很安静，wifi很快，被子干净，晚上有点冷，还让服务员加床被子，不一会就来了。服务真好。', '短评打分': 5}
{'短评内容': '较好', '短评打分': 4}
{'短评内容': '总体还行，就是经济房不提供牙刷不好', '短评打分': 4}
{'短评内容': '主要是安静、停车也方便、在贵阳来说挺好的，就是地方偏了些、如果买军需品的话很方便！', '短评打分': 4}
{'短评内容': '以后来贵阳还会入住', '短评打分': 4}
{'短评内容': '住着还行，就是有点偏。', '短评打分': 3}
