{'短评内容': '房间特别特别大，住着很舒服，在南坪商业区，交通也方便。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '服务不错 就是退房时间太早', '短评打分': 5}
{'短评内容': '附近离长江很近，比较热闹，就是隔音稍差，早餐不好，品种少，房间不错挺大挺整齐，这里比较潮湿，总体适合居家旅游', '短评打分': 5}
{'短评内容': '性价比不错，小型酒店，适合居家旅游，不适合商务高端，早餐太过简单，盘子太小了，碗也太小了，总体周边挺热闹，还是可以', '短评打分': 5}
{'短评内容': '宾馆环境不错，前台热情，给人以宾至如归的感觉，好评，下次还来！', '短评打分': 5}
{'短评内容': '舒适干净整洁，挺好的', '短评打分': 5}
{'短评内容': '很好，很适合旅游居住', '短评打分': 4}
{'短评内容': '很好，很适合旅游居住', '短评打分': 4}
{'短评内容': '还不错，房间光线很好，就是热水器有问题，热水一会儿就没了', '短评打分': 3}
{'短评内容': '挺适合出差的', '短评打分': 5}
{'短评内容': '还好还好吧！', '短评打分': 5}
{'短评内容': '房间不大，但比较人性，属主题类酒店，值得入住', '短评打分': 5}
{'短评内容': '环境不错交通很方便！习惯住这里了', '短评打分': 4}
{'短评内容': '挺不错的，这个房间，不愧是携程的3星', '短评打分': 5}
{'短评内容': '真的不错，房间挺大的', '短评打分': 5}
{'短评内容': '房间还可以，周边环境不好，就是一栋楼包了两层做酒店', '短评打分': 4}
{'短评内容': '新酒店，位处繁华地段，规模不大，但房间很温馨，设施都是新的，我定的豪华大床房很舒适，卫生间也够大够干净。最推荐的是酒店走廊有规模不小的书架，所有图书免费阅读，非常好！！！\n工作人员经验不够丰富，效率不高，但是态度很好，新酒店可以理解，希望加强业务培训。', '短评打分': 5}
