{'短评内容': '房间干净整洁，服务员很热情！', '短评打分': 5}
{'短评内容': '服务态度不错，就是房间里有股霉味 不过开了空调就好啦', '短评打分': 5}
{'短评内容': '不能开窗户，房间太小', '短评打分': 3}
{'短评内容': '网络几乎可以算是没有', '短评打分': 3}
{'短评内容': '电视永远只有那么几个频道', '短评打分': 3}
{'短评内容': '酒店的灯光那叫一个暗', '短评打分': 3}
{'短评内容': '天呐，一下子这这么多条，也算对得起这个房间了', '短评打分': 3}
{'短评内容': '便宜，但是设施较差', '短评打分': 3}
{'短评内容': '如果不是靠近广场，而且加为便宜，估计根本就不会有人住', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '有点脏，睡觉皮肤痒', '短评打分': 2}
{'短评内容': '感觉还好，就是外面有点吵', '短评打分': 4}
{'短评内容': '特别坑爹，因为考试人多，酒店房居然说网上预订的不算数，然而携程并没有提示我订单取消了。房间硬是要加20块钱。加的钱是不多，但是这个诚信问题啊，真是～～无良商家，坐地涨价。还有，酒店房间房间好小，风光昏暗，比一般快捷酒店差远了。', '短评打分': 2}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '住了很久很久了，我觉得很方便，位置很好', '短评打分': 3}
{'短评内容': '靠近市中心很好啊，每次都住', '短评打分': 3}
{'短评内容': '还好，交通方便，在市中心', '短评打分': 3}
