{'短评内容': '服务态度不太好', '短评打分': 4}
{'短评内容': '挺好的，不错不错。', '短评打分': 5}
{'短评内容': '绘声绘色想念那些', '短评打分': 3}
{'短评内容': '非常好，房间大，最棒的是早餐。', '短评打分': 5}
{'短评内容': '住了三次了，每次都非常满意', '短评打分': 5}
{'短评内容': '每次来徐州总是住这里', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '真的很好。', '短评打分': 5}
{'短评内容': '服务很好。没到之前会电话确认！比较放心，不会没有房间。', '短评打分': 5}
{'短评内容': '环境好，交通便利', '短评打分': 5}
{'短评内容': '不错哦，服务和管理都很好', '短评打分': 5}
{'短评内容': '还可以吧，干净，环境不错，总感觉不错', '短评打分': 4}
{'短评内容': '地点略微偏僻一些 服务还不错的 早餐花色太少了', '短评打分': 4}
{'短评内容': '酒店还可以，周边环境一般', '短评打分': 4}
{'短评内容': '非常不错的一家宾馆,有惊喜哦!', '短评打分': 5}
