{'短评内容': '房间没暖气 暖气片没有热  估计是坏了 ', '短评打分': 4}
{'短评内容': '没有早餐，房间面积有点小', '短评打分': 4}
{'短评内容': '单人房很小 不过干净整洁 ', '短评打分': 4}
{'短评内容': '前台服务态度恶劣！给我们安排到过到尽头的房间，门口堆着两个布草车！人都过不去！', '短评打分': 1}
{'短评内容': '挺好的 这个价格小点就小点', '短评打分': 5}
{'短评内容': '还可以，评价只是为了京豆。。。。', '短评打分': 5}
{'短评内容': '房间太小了，和同行业同等价位的比，真的拥挤', '短评打分': 5}
{'短评内容': '非常方便，还可以白条付款。', '短评打分': 5}
{'短评内容': '环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.环境卫生可以.方便快捷.好好', '短评打分': 5}
{'短评内容': '还好吧，环境一般', '短评打分': 4}
{'短评内容': '整体还不错，个别的服务员有点态度不好！', '短评打分': 5}
{'短评内容': '离展会会场比较近，低价，舒适，配套齐全，挺好的，下次来还会继续入住。', '短评打分': 4}
{'短评内容': '住了两次，出差', '短评打分': 5}
{'短评内容': '在北京，就怎么样吧', '短评打分': 5}
{'短评内容': '房间很小，环境不咋地', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置方便，酒店干净，携程靠谱', '短评打分': 5}
{'短评内容': '房间好好mini呀', '短评打分': 3}
{'短评内容': '只能算是招待所水平', '短评打分': 3}
