{'短评内容': '设施老熬旧，为什么还要80个字。', '短评打分': 4}
{'短评内容': '不错。环境很好', '短评打分': 5}
{'短评内容': '交通便利、服务态度很好', '短评打分': 5}
{'短评内容': '地理位置好，方便', '短评打分': 5}
{'短评内容': '前台小姑娘非常热情', '短评打分': 5}
{'短评内容': '不错，服务好。', '短评打分': 5}
{'短评内容': '酒店设施陈旧这就不提了！车停酒店停车场被刮了，酒店不认，说是监控死角，车的正前方两个摄像头，背后一个摄像头，这样都能死角？差评，差评，差评！！！', '短评打分': 1}
{'短评内容': '方便，服务好', '短评打分': 5}
{'短评内容': '很好，服务不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还是不错的，值得入住，就是早餐简单了些，80分吧', '短评打分': 5}
{'短评内容': '位置优越，服务超好^_^', '短评打分': 5}
{'短评内容': '价位合适，服务不错，早餐很好！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不会再有下次入住了。卫生，及设施都欠缺。不像四星级。', '短评打分': 3}
{'短评内容': '这个性价比还不错，服务员业务能力可以再提高一点', '短评打分': 3}
{'短评内容': '真心一般般，电视很小，床睡得不舒服，下次不会再住了', '短评打分': 3}
{'短评内容': '酒店比较老，但由于距离公司近，所以是周围性价比较高的酒店。门童是一位老伯伯，人非常好，每次都热心帮忙叫车，热情问好，真的特别赞。 建议：房间地毯该换新了，洗手间吹风机该更新了。', '短评打分': 3}
{'短评内容': '于所标的星级不相符，设备太差了', '短评打分': 1}
{'短评内容': '酒店硬件条件非常好，标准的四星级，舒适，安静。但是服务人员态度一般，而且正赶上酒店门口在修路，感觉不好。', '短评打分': 5}
{'短评内容': '整体感觉一般，房间设施比较旧了，大堂倒是不错的样子！', '短评打分': 1}
{'短评内容': '整体感觉一般，室内设施比较老旧，价格不低！', '短评打分': 1}
{'短评内容': '酒店房间很大，早餐品种较多，服务也很好，再来武汉还会住', '短评打分': 5}
{'短评内容': '酒店环境，房间设施，服务都可以，整体比较满意', '短评打分': 3}
{'短评内容': '\n环境不错', '短评打分': 3}
{'短评内容': '<武汉金盾大酒店> 帮别人预定的，还没接到不好的反馈。', '短评打分': 5}
{'短评内容': '很不错的酒店，朋友介绍的，非常不错，值得推荐', '短评打分': 5}
{'短评内容': '舒适整洁干净，地理位置不错，交通便捷，繁荣市区一览无遗，性价比不错', '短评打分': 5}
{'短评内容': ' 硬件条件很不错，至少房间很值', '短评打分': 3}
{'短评内容': '酒店位置很好，交通便利，总的来说还不错。', '短评打分': 5}
{'短评内容': '这个酒店的商务房型不错，房间较大，很干净。\n该酒店5楼是KTV，如入住7楼的普通房间，可能会有点吵。', '短评打分': 5}
{'短评内容': '房间还不错，隔音一般，价格有点小贵。洗手间的门有异响，水量不错。', '短评打分': 3}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '酒店设施不行了，看看外观还可以一到里面可不行了，里面的东西简陋加陈就，卫生间里的水排不出去，地漏高于地面。气味很重，价格也偏高。', '短评打分': 1}
{'短评内容': '由于同学住在这，我从别的酒店转住过来的，交通方便，环境不错,卫生也挺好,就是房间设施有点老化了，可以考虑重新装修下！', '短评打分': 5}
{'短评内容': '酒店位置很好，房间也够大，最重要的是还有健身房能锻炼！推荐！', '短评打分': 3}
{'短评内容': '老酒店，价格高', '短评打分': 3}
{'短评内容': '很不错的酒店，每次去都住这家。下次还会入住。', '短评打分': 5}
{'短评内容': '环境不错,卫生也挺好,挺舒服的,出去办事也方便.', '短评打分': 5}
{'短评内容': '一次糟糕的入住体验。登记的时候前台乱哄哄的，入住和结帐搞成一块，一点秩序多没有。管理混乱，等我入住后，服务员还带其他客人到我的房间入住。客房的装饰也是比较陈旧，和房间相比差的很多。\n唯一的优点就是离汉口火车站比较。', '短评打分': 1}
{'短评内容': '朋友的家人住的挺满意的~设施完备，装修精美，周边环境良好，前台服务态度好~', '短评打分': 5}
{'短评内容': '总体还行,感觉离4星有点差距。不满意的是 早餐券只给一张.... 另一个人要吃必须另外给钱，实在是很不合理！ ', '短评打分': 1}
{'短评内容': '已经是第N次预订这家酒店了，周边吃饭的地方很多，价格也不老贵，下次还会订。', '短评打分': 5}
{'短评内容': '地方还可以，离出差的地方也近。但是我订的商务标准间，没有提供免费矿泉水，这是很不可思议的。希望酒店方面注意注意', '短评打分': 5}
{'短评内容': '很安静，服务也不错，早餐也很丰富，就是水果的品种有点少，下次去还会住的', '短评打分': 5}
{'短评内容': '房间与我订的大小不一，小了一半面积', '短评打分': 3}
{'短评内容': '房间有点老化了，晚上酒店内基本上没有吃的了，要到外面去吃', '短评打分': 1}
{'短评内容': '还不错，交通挺方便的.酒店早餐也还可以.', '短评打分': 5}
{'短评内容': '没有矿泉水供给国内实属罕见,服务态度也不能令人满意.', '短评打分': 5}
{'短评内容': '卫生环境一般', '短评打分': 3}
{'短评内容': '房间大也较舒服，卫生也好，是家性价比较高的酒店', '短评打分': 3}
{'短评内容': '很好，适合住宿，周围小店特别多！\n很好，适合住宿，周围小店特别多！', '短评打分': 5}
{'短评内容': '一般，位置比较方便，早餐还可以，老的四星，装修有点了，不过离我办事的地方比较近，还是觉得挺方便的', '短评打分': 5}
{'短评内容': '比较吵闹', '短评打分': 3}
{'短评内容': '价格实惠，去机场、火车站都很方便，后面有一个酒吧一条街。', '短评打分': 5}
{'短评内容': "I only said it's just so so.", '短评打分': 5}
{'短评内容': '整体还算满意，早餐较好，交通很方便，但价格有点偏高！', '短评打分': 5}
{'短评内容': '条件挺好，地处市中心，价格和房间都不错。。。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '细节做得还可以,装修风格是老式的;美中不足的是退房时间因人特别多太慢,而且服务员态度很差,很不耐烦!', '短评打分': 5}
{'短评内容': '还不错，房间比较大。就是有点味道，比较闷，空调很凉，床有点小硬。自主早餐还是蛮出乎意料的，橙汁很好喝。', '短评打分': 5}
{'短评内容': '物有所值，还不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '虽说这家酒店式四星级的，感觉酒店的设施还是需要改进，至少电视机该是液晶的吧，其他倒是还可以；那个电梯倒是挺赞的...............................', '短评打分': 5}
{'短评内容': '住在7楼，对面就是麻将房，吵的很，加上5楼的KTV音乐，不到半夜2点，根本无法休息。酒店有点老了，该装修装修了。服务还可以，早餐马马虎虎，就是天天品种一样的。住多几天吃腻了。。。', '短评打分': 5}
{'短评内容': '整体来说很一般，早餐太差了啊\n\n位置离火车站不远，但是打车不好打，司机根本不愿意载，因为太近了，而且门口的跑堂的也不帮叫车，很垃圾', '短评打分': 1}
{'短评内容': '第一次订这家酒店，是应客人自己的要求。本来还忐忑，不晓得怎么样。结果令人满意。客人反应比较好。环境可以，吃饭方便。值得下次再订。', '短评打分': 5}
{'短评内容': '第二次住这个酒店了，感觉比较新，环境还可以。刚好又离出差的地方很近。所以满意。以后会继续住的，也会推荐其他人入住的。', '短评打分': 5}
{'短评内容': '位置真的很方便。客人很满意。。。\n只是外面看起来，咋就看不出来有四颗星呢。。。嘿嘿。\n早餐位置显得小了。。。可能是因为最近旅游团多了。。。', '短评打分': 5}
{'短评内容': '位置很好，生意很好。到机场及汉口站都很方便。只是，早餐常抢不到位置。位置很好，生意很好。到机场及汉口站都很方便。只是，早餐常抢不到位置。', '短评打分': 5}
{'短评内容': '酒店位置不错,就是有点旧了.干净、整洁，客房很安静和较舒适，性价比高，交通方便           ', '短评打分': 5}
{'短评内容': '酒店有点老，其他的还可以,价格有些贵。前台服务不好', '短评打分': 5}
{'短评内容': '总体服务应该不错。但是，我第一次入住时，8月14日，晚上回宾馆，发现上不了网，而正好我又要查资料，和总台联系修理，电脑房的工作人员来得倒是蛮快，但来回折腾了一个多小时也没有好，于是要求总台换房间，总台说类似的房间都预定出去了，要我等，但那时已经晚上快11点钟了。等了半个小时，我再主动打电话才给我换，这时总台只剩下一个服务员，其他人下班了。我背着行李从10楼下来，到总台换房卡，再回到10楼。澡也没洗', '短评打分': 5}
{'短评内容': '酒店质量跟服务都不到位，刚入住碰到一个被老婆捉奸在房的案例，隔壁一直在吵，酒店没有任何说法，还是自己要求换房，酒店才理会。失败！', '短评打分': 1}
{'短评内容': '位置不错,就是有点旧了.附近就有口味塘 吃饭很方便', '短评打分': 5}
{'短评内容': '酒店附近交通很方便，很容易找到，前台的服务态度很好，房间很温馨，感觉是到家的感觉，谢谢。', '短评打分': 5}
