{'短评内容': '服务非常好！很周到客气！以后还会光顾。', '短评打分': 5}
{'短评内容': '很好，环境优雅，服务到位，下次还来', '短评打分': 5}
{'短评内容': '很好，环境优雅，服务到位，下次还来', '短评打分': 5}
{'短评内容': '很旧了。周围环境也都是那种汽修厂什么的，地漏不漏水。房间一股说不上什么的味。但床单被罩还凑和。这价位对得起这房间。以后不会再住这种。', '短评打分': 2}
{'短评内容': '服务很好，交通便利，设施较为齐全，但陈旧，热水好', '短评打分': 5}
{'短评内容': '晚上入住，房间各项设施都很好用，有热水，有电视、有饮水机，不过我们没和饮水机里的水，不知道放置几天了。洗漱用品有一次性梳子，牙刷，一块香皂，洗发液和沐浴液在洗漱间墙上，不是一次性的那种，和外面放洗手液的那类型一样。楼道里有吹风机，吹风机有人用的时候，声音挺大的，不过很好使。房间环境有点旧，整体说还可以。', '短评打分': 5}
{'短评内容': '房号299和202 206 208的房间差别好大', '短评打分': 4}
{'短评内容': '还行吧！！', '短评打分': 4}
{'短评内容': '还可以，有点贵', '短评打分': 3}
{'短评内容': '环境还不错，卫生间很干净，空调也很凉快，前台服务很好。', '短评打分': 5}
{'短评内容': '.有点偏，条件尚可', '短评打分': 3}
{'短评内容': '价格便宜，环境还可以，建议可以住。不错的', '短评打分': 5}
{'短评内容': '酒店很好，服务态度也不错啊！', '短评打分': 3}
{'短评内容': '距离市区不近  挺远的~唉~\n住的挺好 吃饭周边很方便~~\n不能上网', '短评打分': 5}
{'短评内容': '还行，听满意的，这个价钱在北京已经很实惠了，虽有点远，交通挺方便', '短评打分': 3}
{'短评内容': ' 酒店交通还行 就是水忽冷忽热 很不爽 电视色偏 网用不了', '短评打分': 3}
{'短评内容': '感觉不错，挺宽敞的。也很好找，四拨子站下车100米左右，周围很安静。', '短评打分': 5}
{'短评内容': '就是为了在附近办事才定的，环境还好，卫生一般，没有无线信号', '短评打分': 5}
{'短评内容': '，住的感觉不错。电视遥控器坏的。沙发摆放不合理。其它不错。', '短评打分': 3}
{'短评内容': '帮朋友定的，住后据说还行', '短评打分': 3}
{'短评内容': '就是 离市区太远，价格到可以，条件不是太好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '酒店设施很陈旧也不干净，很潮有味道，根本不够三星标准，还有入住的很不顺利，开了三次房间一间是正在施工中的，一间是没有打扫过的，上上下下的跑了三次才开了一间可以住的房间，太差了！', '短评打分': 1}
{'短评内容': '价格很便宜，环境一般，但是晚上没有暖气很冷，服务员说是供电不足。', '短评打分': 5}
{'短评内容': '周边环境挺安静的，空气也挺好，服务上很贴心，设施方面也挺齐全，整体感觉挺不错。', '短评打分': 5}
{'短评内容': '位置挺好，周边交通挺便利的，环境挺干净挺有档次，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店很不错，各方面都很好，干净整洁，宽敞舒适，出行方便。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，布置也挺温馨，设施基本都有，也挺实用，位置挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '设施挺好，电视挺大的，空调质量也挺好，房间隔音也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务很周到，房间挺宽敞，设施挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店挺好找，出门就有公交车，打车也很容易，服务卫生都不错，设施也挺完善，值得推荐。', '短评打分': 5}
{'短评内容': '位置还可以出行较方便，房间硬件陈旧了些，感觉空调不是很好用，服务挺好的，服务员比较热情，性价比一般', '短评打分': 3}
{'短评内容': '服务挺周到，响应挺及时，房间挺干净，设施挺齐全，出行挺方便，值得推荐。', '短评打分': 5}
{'短评内容': '服务人员很专业服务很周到，卫生也不错，位置很好，交通很便利，性价比挺不错。', '短评打分': 5}
{'短评内容': '房间挺干净，采光隔音都很好，电视空调都有，网速也不错，住的挺舒适。', '短评打分': 5}
