{'短评内容': '酒店环境还不错，隔音有点差，', '短评打分': 4}
{'短评内容': '这家点离火车站很近  价格和房间质量成正比，挺好的。', '短评打分': 5}
{'短评内容': '离火车站近，晚上比较吵，不知道该酒店是不是中央空调，冷气不冷，吹得是风扇风，暖气没有，房间灯光很暗，像是在开磨磨店。', '短评打分': 3}
{'短评内容': '房间小了些，灯光也不足，周边交通挺方便，旁边就是火车站。', '短评打分': 3}
{'短评内容': '距火车站非常近，服务还不错，早餐略微简单了点。', '短评打分': 5}
{'短评内容': '京东的酒店就是便宜，希望一如既往地保持', '短评打分': 5}
{'短评内容': '很好，实惠，干净，舒适', '短评打分': 5}
{'短评内容': '一搬搬', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '房间布局我不好', '短评打分': 3}
{'短评内容': '很失望', '短评打分': 2}
{'短评内容': '为经济型酒店，不是三星，不是!一张简陋的床，一个古老电视，呵呵，木地板，说三星级，我也是醉了。 建议携程网对酒店档次核实清楚 免得大家花了高价，住了个经济酒店', '短评打分': 3}
{'短评内容': '就是靠近汽车站，坐车方便！环境一般，还可以接受！', '短评打分': 4}
{'短评内容': '地理位置好，交通四通八达，住起来很舒服，。。。。', '短评打分': 3}
{'短评内容': '入住蛮不错的，房间布置，周围环境都还行', '短评打分': 3}
{'短评内容': '服务态度一般。房间不大', '短评打分': 3}
{'短评内容': '条件还可以就是早餐很一般，餐厅服务员态度需提高', '短评打分': 3}
{'短评内容': '房间很旧，并且有一古味道，被子也有点潮湿的样子，不推荐 。', '短评打分': 1}
{'短评内容': '位置好，交通方便。还供应早餐', '短评打分': 3}
{'短评内容': '白天有点吵，不知道晚上会不会这么吵。我在十二楼。', '短评打分': 3}
{'短评内容': '离火车站，汽车站近，出来就在门口，房间还可以，只是有点小，免费打国内电话，就是有点吵，其他都不错。', '短评打分': 5}
{'短评内容': '1、不建议自己开车去的朋友入住,因为酒店无专用停车场,只能停在酒店旁边的一个公用坝子上,而且要交车钥匙给保安(退房时,才还钥匙),好让他挪车用,让人极不放心；\n2、早餐很差，品种很少；\n3、房间的下水道很臭。', '短评打分': 1}
{'短评内容': '入住坪丰酒店，发觉交通比较方便。店内卫生清洁。整体印象都是不错的。建议入住最好选择高楼层，这样会比较清静舒适。', '短评打分': 5}
{'短评内容': '酒店服务员的服务态度很好哦，性价比已很好下次来还是住这里。', '短评打分': 5}
{'短评内容': '坐车还是很方便的哦，就是在车站旁边有点 吵。总的说哈好吧\n', '短评打分': 5}
{'短评内容': '办理入住，退房前台服务态度都很好（赞一个！），酒店也较干净，就是离车站太近，临街的房晚上较吵。离遵义的夜市也不远，打车去会址大概十几元左右。', '短评打分': 5}
{'短评内容': '非常不错。性价格比高。下次还来。离火车站近，交通方便。', '短评打分': 5}
{'短评内容': '该酒店还可以价格也不高', '短评打分': 3}
{'短评内容': ',还可以[已入住]', '短评打分': 3}
{'短评内容': '遵义坪丰酒店离遵义火车站及遵义汽车站很近，该酒店很干净，服务员很热情。我下次出差途径遵义时还会住该酒店的。', '短评打分': 5}
{'短评内容': '坪疯酒店位置交通便利，切房间环境很好，服务态度也不错', '短评打分': 3}
{'短评内容': '    交通便利，价格合适，服务和设施都还可以，个人感觉还算不错，就是靠近火车站要想出行便利又要环境幽静是不可兼得的，有点吵。', '短评打分': 5}
{'短评内容': '入住的时候应该准备押金，不然没办法入住！有点奇怪啊！', '短评打分': 1}
{'短评内容': '也没有太多的点评，就是觉得好就住了，但是我今天住的房间卫生不好，还剩有别人住的时候用过的纸巾在床底，我希望下次住的时候可以改正', '短评打分': 5}
{'短评内容': '服务，管理都比较好，房间也卫生，就是不好一点的是洗澡的时候水的温度比较低，希望能改善', '短评打分': 5}
{'短评内容': '不错，价格便宜，交通方便,但是房间的隔音效果一般', '短评打分': 5}
{'短评内容': '是有点吵！就在火车站门口！出去有点堵！\n\n是有点吵！就在火车站门口！出去有点堵！是有点吵！就在火车站门口！出去有点堵！', '短评打分': 1}
{'短评内容': '服务态度不是很好,想看下套房居然说没人开门.', '短评打分': 3}
{'短评内容': '服务质量差，环境一般。只是价格便宜！  早餐自助餐，呵呵，你想吃，那你就要早点，要不然，像放抢似的。哎，杯具了', '短评打分': 1}
{'短评内容': '总的来说,酒店的性价比尚还可以.设施不错,房间太小!', '短评打分': 5}
{'短评内容': '再次入住，相当不错，。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置好，，，，，但房间太小了。吵得很。。。。', '短评打分': 1}
{'短评内容': '就在遵义火车站出口 比较吵 但是房间的大液晶和电脑非常好 可以看电视也可以当显示屏 \r\n房间就是稍小了点', '短评打分': 5}
{'短评内容': '酒店位置可以，其它不足的地方有点多，我们住的豪华两人间，结果卧室没有窗户，而且卧室非常小，外面有个下房间不是放的沙发而是一台机麻（对大牌的人有用，我们是毫无作用），另外我们向酒店多要一床被子结果他们没有提供（让人有点不爽），房间和走廊都有一股异味，刚出电梯的时候闻着着实有点不舒服，后来习惯了就好了，总之不是很推荐该酒店。', '短评打分': 1}
{'短评内容': '不错，赞一个，交通位置不错，服务态度好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '设施还可以，价格合理。', '短评打分': 5}
{'短评内容': '第一次入住，真的很不怎么样！定的两间商务套房只有一台麻将机不说还是坏的。早餐难吃呀！我凌晨入住到第二天中午居然算我两天房费！再也不会去了！设施太差，下次绝不再贪便宜了！', '短评打分': 1}
{'短评内容': '不错，值得过去，空调是中央空调，位置就在火车站门口，汽车站在对面，很方便', '短评打分': 5}
{'短评内容': '坪丰酒店不错!价钱实惠,服务上乘,早餐不错,环境也没想像中那么喧闹.不过洗澡水的下漏有点儿问题,沐浴露洗后也会使皮肤显干.', '短评打分': 5}
{'短评内容': '酒店设施还不错，早餐还行，就是靠街的一面比较吵，因为靠近火车站了。不过酒店开发票的时候连1块钱都不肯多开，下次不会入住了。', '短评打分': 1}
{'短评内容': '房子不大 但是价格合适  地方很好 一出车站就是  就是餐厅吃的不多 \r\n我带宝宝  他很喜欢  住的也很舒服', '短评打分': 5}
{'短评内容': '不错，卫生很好，服务也可以，房间很安静，睡的很好，就是电视频道少。几乎没有看。', '短评打分': 3}
{'短评内容': '很好！很满意！环境不错', '短评打分': 5}
{'短评内容': '房间卫生还可以，电视频道少，', '短评打分': 5}
{'短评内容': '感觉很不错，交通很方便，出门打车，坐公交车都很方便，服务也很好，如果房间里面有电脑就更好了，预订房间的时候还以为有电脑', '短评打分': 5}
{'短评内容': '很好 很满意。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '就是空调声有点大', '短评打分': 5}
{'短评内容': '很好 很满意', '短评打分': 5}
{'短评内容': '各方面都不错的一个酒店，下次去还会去住的。', '短评打分': 3}
{'短评内容': '给方面都不错的一个酒店，下次去还回去住的。', '短评打分': 5}
{'短评内容': '交通方便，房间卫生不错，设施一般，服务还可以，价钱便宜，靠车站勒一面比较闹，总的还不错。', '短评打分': 5}
{'短评内容': '价格便宜不过条件一般，服务都可能不到3星的标准，设施比较新，不过室内装修的味道比较浓.紧临着遵义火车出行挺方便的，早餐比较不错.', '短评打分': 5}
{'短评内容': '房间卫生不错，就是设施达不到三星，房间装修的味道很大，不过很便宜。', '短评打分': 5}
