{'短评内容': '还不错可以', '短评打分': 5}
{'短评内容': '还不错可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错的地', '短评打分': 5}
{'短评内容': '不错，每次来都住这里，大宅院的感觉。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施有些陈旧，但是早餐还是不错的，卫生设备有着简陋。房间网络并不是每个房间都有，共享网速有点慢。待改进', '短评打分': 3}
{'短评内容': '设施有些陈旧，但是早餐还是不错的，卫生设备有着简陋。房间网络并不是每个房间都有，共享网速有点慢。待改进', '短评打分': 4}
{'短评内容': '比想象中好，房间很干净，不错', '短评打分': 5}
{'短评内容': '还可以，早餐不错', '短评打分': 3}
{'短评内容': '环境很好 附近吃饭也很方便 携程订的还便宜', '短评打分': 5}
{'短评内容': '设施环境都很好 附近有餐饮一条街 吃饭也很方便', '短评打分': 5}
{'短评内容': '环境不错 服务不错', '短评打分': 4}
{'短评内容': '环境不错，早餐样式挺多的，这个价位很实在……', '短评打分': 3}
{'短评内容': '虽然酒店的物品较旧，但相当干净，并且安静，早餐丰富。', '短评打分': 3}
{'短评内容': '当地最好，比较干净，要求不要太高，能住吧。但是网速实在太慢，有的房间网络不能用', '短评打分': 5}
{'短评内容': '很好，舒适。', '短评打分': 3}
{'短评内容': '酒店房间很好，很干净！很不错！环境也很好！推荐', '短评打分': 3}
{'短评内容': '150的价格是很适合入住的，但据说价格涨到200了，有点不值得了，', '短评打分': 5}
{'短评内容': '上月入住的 不错', '短评打分': 3}
{'短评内容': '严重鄙视一下该宾馆，当天定好房间去的时候，总台妹妹告述我说没有预定，但不预定就有房间。（该宾馆需要信用卡担保，所以还必须不能退定！）后来跟乙龙工作人员协调咯40分钟，终于以高于当时的预定价格住进去了，一起的朋友感觉非常老火。当时的总台妹妹那个态度太。。。。。。从没有见过那么拽的服务员！', '短评打分': 1}
{'短评内容': '床铺很舒适，环境很好，干净整洁。', '短评打分': 5}
{'短评内容': '酒店前面有果园，环境很舒适，适合度假散心的宾馆。', '短评打分': 5}
{'短评内容': '酒店那边环境很好，空气清新。很不错的一家店。有种世外桃源的感觉。', '短评打分': 5}
{'短评内容': '适合旅行度假的酒店，那边的空气非常好，还没有完全被开发。', '短评打分': 5}
{'短评内容': '作为川西旅游的必经之地，酒店的驿站功能得到很好的发挥，能够让顾客得到充分的放松和休息。', '短评打分': 5}
{'短评内容': '这家酒店的环境非常好，卫生服务都很达标，只不过五一期间入住的价格涨的有些偏高，其它都还好。酒店环境很幽静感觉很不错的酒店.', '短评打分': 5}
{'短评内容': '服务还是可以的,位置还是比较好找的.性价比挺不错的,房间也还行,还是比较不错的酒店.', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '在县城里面，位置比较方便。价格合理，还行', '短评打分': 5}
