{'短评内容': '洗澡洗着没热水～我去', '短评打分': 1}
{'短评内容': '还可以ba', '短评打分': 4}
{'短评内容': 'WiFi不行', '短评打分': 5}
{'短评内容': '旅店气氛不错', '短评打分': 5}
{'短评内容': '都好都好都好', '短评打分': 5}
{'短评内容': '帮朋友预定', '短评打分': 5}
{'短评内容': '出差好选择', '短评打分': 5}
{'短评内容': '酒店还算不错，便宜，设施也好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，干净卫生', '短评打分': 5}
{'短评内容': '环境尚可，毕竟是刚装修的，但是总台服务员态度其差，好像是哪里叫的两个小混混', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '环境好，服务好，就是洗手间有的味道', '短评打分': 3}
{'短评内容': '环境好，服务好，挺温馨', '短评打分': 3}
{'短评内容': '房间还不错，设施还都比较新，前台服务态度也很好', '短评打分': 3}
{'短评内容': '酒店不错哦，位置极佳，前台小妹妹很漂亮！赞一个！', '短评打分': 5}
{'短评内容': '环境还算不错的，注意是特价房，应该要考虑到这个价位的', '短评打分': 5}
{'短评内容': '前台服务态度不好，酒店房间设备也不乍滴（很陈旧了），摆设也不雅观', '短评打分': 1}
{'短评内容': '酒店隔壁是KTV环境太吵，房间内的设施一般，开关坏没人更换。股务态度太差', '短评打分': 1}
{'短评内容': '宾馆各方面都不好，且价格贵。是一个物差价贵的宾馆。', '短评打分': 1}
{'短评内容': '宾馆过于老旧,不舒畅', '短评打分': 3}
{'短评内容': '有点陈旧的感觉，不是感觉特别干净。但是很便宜，不足百元，还算可以', '短评打分': 5}
{'短评内容': '在网上订过多次酒店就这次失手了，这家真的不是一般的坑爹。环境根本不是宾馆只能算是招待所。首先入住的那间一打开门就是铺面的烟味房间里面乱七八糟床都没有铺于是下楼换房。新换的房打开也是满室浓烟味，开窗开换气，坐床上又发现有一只枕头裂掉了一半，疯掉!床头灯有一只是坏掉的。。。要不是因为不入住也不退预订的钱我们早走了，太气人了。', '短评打分': 1}
{'短评内容': '就是便宜,没有什么优点啦,没有网络', '短评打分': 3}
{'短评内容': 'Very clean hotel with all basic amenities avaliable. Convenient location near to karaoke joints and bus stop just in front.', '短评打分': 5}
{'短评内容': '挺实惠的，宾馆设施有点陈旧，不过还不错啦，在厦门这个价位没得找了', '短评打分': 5}
{'短评内容': '交通不太方便、卫生很一般，服务态度也一般，总之一般了', '短评打分': 1}
{'短评内容': '室内整洁，有香港频道看！服务台24小时服务。宝龙公交汽车站是大站，线路很多，很方便！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '：在厦门住宿一直是个问题，98这个档次差不多吧', '短评打分': 3}
