{'短评内容': '酒店前台服务态度不咋地，冷冰冰的', '短评打分': 4}
{'短评内容': '靠鸟巢近，很干净！', '短评打分': 5}
{'短评内容': '酒店环境不错，南面街上还有很多饭馆，地铁也很近', '短评打分': 5}
{'短评内容': 'B座不错，下次还住这里', '短评打分': 5}
{'短评内容': '一切都非常好', '短评打分': 5}
{'短评内容': '很好的！早晨可以！', '短评打分': 5}
{'短评内容': '高端气派，服务备至。', '短评打分': 5}
{'短评内容': '价格合适，服务好！', '短评打分': 5}
{'短评内容': 'good good', '短评打分': 5}
{'短评内容': '北京西藏大厦 商务间A', '短评打分': 5}
{'短评内容': '非常满意非常满意非常满意非常满意非常满意非常满意非常满意非常满意非常满意非常满意非常满意非常满意非常满意', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通方便，出行便利，属于性价比比较高的酒店。', '短评打分': 4}
{'短评内容': '西藏大厦刚装修过不久，条件挺好，位置也不错', '短评打分': 5}
{'短评内容': '酒店很干净，服务也好', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '性价比不错的四星', '短评打分': 5}
{'短评内容': '北京西藏大夏宾馆不错。每次我出差北京都会选择北京西藏大厦宾馆。该宾馆位于四环，交通十分便利，周围饭店林立，很好地解决了吃饭问题。', '短评打分': 4}
{'短评内容': '地点好，环境好，服务好', '短评打分': 5}
{'短评内容': '位置不错，环境不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '老酒店', '短评打分': 4}
{'短评内容': '设施陈旧，价格也不低，唯一离地铁近', '短评打分': 4}
{'短评内容': '酒店不错、价格有些贵', '短评打分': 4}
{'短评内容': '价格挺贵的   但是北京就是难定发哦房间   还是物有所值的    住的还是比较舒适  经常出差   希望有多一些的活动   ', '短评打分': 5}
{'短评内容': '酒店周边很方便，房间很干净，地铁一出来就到了。另外，离鸟巢也很近', '短评打分': 5}
{'短评内容': '这次的大床房房间很大，满意。', '短评打分': 5}
{'短评内容': '如果进京办事位于北四环的，这家酒店的确很适合，既不算贵，条件又不错，反正已经多次入住该酒店了，很习惯了。如果允许，住b楼会更安静。', '短评打分': 4}
{'短评内容': '地段好，交通便利，紧邻地铁5号线，服务一般,房间宽带要收费.', '短评打分': 5}
{'短评内容': '住过很多次了，每次都觉得很不错，设施很新很高级~~~', '短评打分': 5}
{'短评内容': '交通方便，离地铁近。房间面积比较大，服务好。周围吃饭的地方也比较多', '短评打分': 5}
{'短评内容': '就是地理位置还不错   房间宽带要收费（这在4星酒店很少见了，连拉萨的酒店宽带都免费了）   早餐简直就是糊弄你    几个本地总台小姐更是凶悍如后母    倒是几个藏族总台还比较和气  房间的浴缸我一米八的人爬进去还很吃力，水又小  浴缸边缘设计的又有问题  水全部流到地下水漫金山     估计下次再不会来住   后面的长白山酒店比他好得多的多', '短评打分': 1}
{'短评内容': '总体不错，服务有待提高！', '短评打分': 3}
{'短评内容': '房间整洁服务热情', '短评打分': 3}
{'短评内容': '住过一次，下次还准备住。总体感觉还不错。', '短评打分': 5}
{'短评内容': '如果你是公款消费，不在乎价格特别是昂贵的上网费用，你就去住吧', '短评打分': 1}
{'短评内容': '服务不好，房间不能免费上网，停车费也非常贵～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 1}
{'短评内容': '酒店位置好，出入方便，选的无烟房，结果房间里都是烟味，无语啊～！', '短评打分': 5}
{'短评内容': '卫生间洗手盆设计超级不合理，很不好用，非常容易捡出水来！', '短评打分': 1}
{'短评内容': '酒店环境很好，交通便利。服务也很好。', '短评打分': 3}
{'短评内容': '  装修可以，服务极差，性价比很差！！！', '短评打分': 3}
{'短评内容': '环境不错，交通方便 环境不错，交通方便 环境不错，交通方便 ', '短评打分': 5}
{'短评内容': '地段好，交通便利，紧邻地铁5号线，卫生，安静。', '短评打分': 5}
{'短评内容': '酒店房间配备非常一般，没有任何零食之类，酒店周围吃饭也较难。', '短评打分': 5}
{'短评内容': '  不错，干净卫生！设施较新。', '短评打分': 3}
{'短评内容': '酒店整体环境不错，客房硬件设施挺好，挺安静', '短评打分': 5}
{'短评内容': '房间不错，服务一般吧，服备态度等方面有提升空间，总体感觉还好', '短评打分': 5}
{'短评内容': '性价比非常好，离鸟巢、水立方都非常近，步行也就10分钟。楼下的唐宫海鲜很好 \n', '短评打分': 5}
{'短评内容': '位置好找，出行也比较方便，就是感觉前台服务员的态度不冷不热的，不是很好。', '短评打分': 5}
{'短评内容': '住过好几次，每次感受都很不错，只是最近价格似乎长了已经到达800这一水平', '短评打分': 5}
{'短评内容': '性价比非常好，离鸟巢、水立方都非常近，步行也就10分钟。楼下的唐宫海鲜很好', '短评打分': 5}
{'短评内容': '不错不错，交通方便，宾馆软硬件俱佳！下次还订该宾馆。', '短评打分': 5}
{'短评内容': '西藏大厦，位置好，设施好，吃得好，交通方便，出差首选', '短评打分': 5}
{'短评内容': '我已经几次居住在西藏大厦，这次住在新楼。总的感觉很好，唐宫的饮食很好，交通方便。', '短评打分': 5}
{'短评内容': '这个酒店无论是档次还是软硬件设施都不错，地理位置好！交通方便！', '短评打分': 5}
{'短评内容': '位置好，服务好，周边配套全，下次还会入住。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '设施还行 附近吃饭比较方便 好 下次还住', '短评打分': 5}
{'短评内容': '非常好，非常好，非常好，非常好，非常好！', '短评打分': 5}
{'短评内容': '位置不错，设施一般，连浴袍都没有，最不好的是楼下停车还收费', '短评打分': 5}
{'短评内容': '经常住此酒店，上网收费非常不方便，酒店位置很好。》》》》》》》》》》》》》》》》》', '短评打分': 5}
{'短评内容': '服务很好，环境还好，交通便利，就是没有早餐，不能上网，不太方便。', '短评打分': 5}
{'短评内容': ' 这次住的A座，硬件不如B座，比较简单陈旧', '短评打分': 3}
{'短评内容': '服务不错，,，………………………………………', '短评打分': 5}
{'短评内容': '不会推荐，给个差评。酒店位置很好，早餐安排有点混乱，最主要是晚上休息不好，我在B座，连着三个晚上，二楼的KTV扰民。我定的另一房间的客人，住了一晚上，坚决要换酒店。', '短评打分': 1}
