{'短评内容': '，，，，，，，，，，', '短评打分': 5}
{'短评内容': '挺好的，入住舒适', '短评打分': 5}
{'短评内容': '挺好的，入住舒适', '短评打分': 5}
{'短评内容': '酒店不错！地理位置好！服务周到！', '短评打分': 5}
{'短评内容': '位置很好 住着也挺舒适的', '短评打分': 5}
{'短评内容': '服务很温馨，不错不错', '短评打分': 5}
{'短评内容': '很好很优秀', '短评打分': 5}
{'短评内容': '挺舒适的', '短评打分': 5}
{'短评内容': '拉粑粑按摩你', '短评打分': 5}
{'短评内容': '不多说，还是熟悉的感觉，很满意', '短评打分': 5}
{'短评内容': '服 务比。较热  情，通风 需要改进，，，，!', '短评打分': 5}
{'短评内容': '服务不错，房间很舒服，早饭很好吃', '短评打分': 5}
{'短评内容': '酒店环境可以，服务好，早餐也可以！', '短评打分': 5}
{'短评内容': '很不错，挺干净，而且服务很好，很值得推荐。', '短评打分': 5}
{'短评内容': '很好&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '早餐不错，民营酒店服务管理方面需要提高', '短评打分': 5}
{'短评内容': '房间，不错，一次住了两天。还可以', '短评打分': 5}
{'短评内容': '挺不错的酒店！方便', '短评打分': 5}
{'短评内容': '住店期间服务很不错，每次来都住着家', '短评打分': 5}
{'短评内容': '房间很温馨，很喜欢。值得推荐，服务好。每次都会去住', '短评打分': 5}
{'短评内容': '很好的酒店，房间的床很很舒服', '短评打分': 5}
{'短评内容': '环境好，早餐不错', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '床头的充电线很实用，也很方便旁边就有USB接口！很贴心服务', '短评打分': 5}
{'短评内容': '服务需改进', '短评打分': 4}
{'短评内容': '帮朋友订的，体验非常不错，前台以及客房服务都很积极，房间也还不错，比较干净，舒适，而且离朋友的目的地很近，以后还会支持', '短评打分': 4}
{'短评内容': '出差 酒店的服务很好 人也好 挺不错的酒店 早餐厅虽然小 但是很丰富 推荐大家入住 很好的 下次再去就直接订了', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '服务好卫生好', '短评打分': 5}
{'短评内容': '酒店服务环境一流、下次出差希望还能住这里！', '短评打分': 5}
{'短评内容': '比较大房间比较干净', '短评打分': 5}
{'短评内容': '不错 硬件不错 很用心装修 服务员也很客气亲切 美中不足的是早餐种类少了点', '短评打分': 5}
{'短评内容': '服务态度和蔼耐心，周围环境很好，有步行街，购物方便。不过，室内物品有偿消费的标志不清。', '短评打分': 5}
{'短评内容': '环境好，前台态度也很好。。。', '短评打分': 5}
{'短评内容': '好，宽敞的房间，分区的卫生间，离步行街、诗墙很近，酒店早餐还能再改进下就好！服务员很亲切！', '短评打分': 5}
{'短评内容': '好，宽敞的房间，分区的卫生间，离步行街、诗墙很近，酒店早餐还能再改进下就好！服务员很亲切！', '短评打分': 5}
{'短评内容': '好，宽敞的房间，分区的卫生间，离步行街、诗墙很近，酒店早餐还能再改进下就好！服务员很亲切！', '短评打分': 5}
{'短评内容': '位置方便 价格在常德不是很便宜 早上的餐还可以', '短评打分': 5}
{'短评内容': '酒店位置不错 房间可以 就是电梯只有一部 ', '短评打分': 5}
{'短评内容': '酒店比较干净 在市中心 但是我住的在当地性价比不高', '短评打分': 3}
{'短评内容': '酒店不错，服务很好，房间空间大。', '短评打分': 3}
{'短评内容': '早餐品种少,停车困难,总体感觉很一般', '短评打分': 3}
{'短评内容': '感觉一般，冬天住这里好像有点冷，可能来的时间特殊，服务人员加班比较不太热情！', '短评打分': 5}
{'短评内容': '大床房还行，就是卫生间的灯声控的不好', '短评打分': 3}
{'短评内容': '房间很不错，值得推荐，虽然没有窗户，但是确实很不错，很温馨', '短评打分': 5}
{'短评内容': '地处闹市区,出行购物游玩方便,酒店干净.床很舒服.\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '地处闹市区,出行购物游玩方便,酒店干净.床很舒服.', '短评打分': 5}
{'短评内容': '酒店位置好，出行方便；房间干净宽敞设施完好，服务周到，比较满意。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错的酒店，值得住啊，交通也好，下次还来', '短评打分': 5}
{'短评内容': '酒店房间宽敞，卫生间明亮，家具及陈设都很好。但是早餐不够标准，餐厅小，客人多，秩序较乱，餐食补充不够及时，应改进。', '短评打分': 3}
