{'短评内容': '早餐要早去晚点就不全了，住了两天早上种类还可以能吃饱，小米稀饭，馄钝，炒饭，面条，包子，南瓜，玉米，几样咸菜，几样热菜，牛奶，鸡蛋。', '短评打分': 5}
{'短评内容': '很好，最大的优点是安静和方便！推荐给大家！！', '短评打分': 5}
{'短评内容': '房间比较大，也挺干净', '短评打分': 5}
{'短评内容': '还不错，如果可以直接线上支付就更好了', '短评打分': 5}
{'短评内容': '还行', '短评打分': 1}
{'短评内容': '物美价廉，环境安静，舒适。交通方便，设施也很好，比较新，干净卫生。房间空间也非常大，下次出行还会入住', '短评打分': 5}
{'短评内容': '离山财大近，学习方便。', '短评打分': 4}
{'短评内容': '房间非常宽敞，整洁干净，比想象中好很多。', '短评打分': 5}
{'短评内容': '酒店设施老旧，由于和多家单位一起，比较乱', '短评打分': 4}
{'短评内容': '设备齐全，服务周到，尤其卫生间马桶很好用。', '短评打分': 5}
{'短评内容': '还可以，但早餐不怎么样', '短评打分': 4}
{'短评内容': '很好一切都很满意！', '短评打分': 5}
{'短评内容': '挺好的，在这住了五天，很满意，提供的早餐非常棒', '短评打分': 5}
{'短评内容': '价格不贵，房间很不错！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '很安静安全没有房卡走廊都进不去很好，床超级大', '短评打分': 5}
