{'短评内容': '环静清静，交通方便，只是床垫有些硌人。', '短评打分': 3}
{'短评内容': '设施简单，连毛巾架都没有，房间隔音差。重要的是跟饭店一个建筑，所以全楼都是后厨的味道。', '短评打分': 1}
{'短评内容': '酒店打扫要在中午12点以后，早餐很少特难吃，牙刷、牙膏、梳子很少有换新的用。酒店各局环境很不好，网速特慢像乌龟爬一样', '短评打分': 1}
{'短评内容': '地理位置离星海比较近，很安静的地方。还算可以啦。', '短评打分': 5}
{'短评内容': '位置还不错，离星海广场很近，交通比较方便，还比较安静。', '短评打分': 5}
{'短评内容': '虽然不贵，但条件不好，房间比较小，尤其卫生间沐浴的设计太差，会把整个卫生间都弄湿，地上非常滑，地毯只铺了一半，靠近门的地方没有', '短评打分': 1}
{'短评内容': '酒店位置不错，但是开始刚去的时候不太好找，但是挺干净的，服务态度也不错，还有早餐~', '短评打分': 5}
{'短评内容': '房间装修还不错也很干净，酒店位置我找的时候还是挺好找，价格还是能接受的比较适中，服务态度属于中等。', '短评打分': 5}
{'短评内容': '位置不错，出行方便，服务很好，比较到位，房间卫生条件干净，总体感觉住宿环境不错', '短评打分': 5}
{'短评内容': '位置比较好方便出行，而且室内的卫生和设施也挺齐备的，比较不错.', '短评打分': 5}
{'短评内容': '房间还是挺好的，地理位置离主要干道有些远，价格感觉还是有些偏贵。整体看来酒店环境一般。', '短评打分': 1}
{'短评内容': '整体条件还不错，位置好一些比较方便，而且室内环境也不错，客房宽敞明亮.', '短评打分': 5}
{'短评内容': '早餐太差了，除了粥还是粥，连咖啡都没有。上菜奇慢。', '短评打分': 1}
{'短评内容': '房间设备有点旧，墙上还有水浸过发霉的痕迹，墙纸也掉了一大块。', '短评打分': 1}
{'短评内容': '酒店设施很新，被子什么的都挺干净。管理比连锁酒店还是有差距，一天忘给拖鞋，一天忘给卫生纸。但服务态度还是满好的', '短评打分': 5}
