{'短评内容': '预订后去了却说单人间没有了安排我到别的房间', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '楼顶搭建的彩钢那种，屋内环境一般，不像大酒店的房间，前台服务怠慢，体验不是很好', '短评打分': 3}
{'短评内容': '卫生干净很好', '短评打分': 5}
{'短评内容': '不错，挺安静，还舒服，期待下一次。', '短评打分': 5}
{'短评内容': '酒店服务热线，环境不错，价格实惠。', '短评打分': 5}
{'短评内容': '房间很便宜', '短评打分': 5}
{'短评内容': '房间很便宜', '短评打分': 5}
{'短评内容': '房间很便宜', '短评打分': 5}
{'短评内容': '地点不好找', '短评打分': 3}
{'短评内容': '地理位置比较难找，原晋城大厦。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境很不错，也很干净，住着挺舒服的，感觉很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店设施还不错 服务挺满意的 下次还会入住', '短评打分': 5}
{'短评内容': '垃圾中的战斗机，服务人员态度差，面巾掉地下踩了一脚就说是污染了，要不是敢火车非和他要个说法，就20块至于么，面巾不是让人用的么，地巾不是用来踩的么', '短评打分': 1}
{'短评内容': '服务态度差，典型的外包服务，结账慢，服务人员态度不好', '短评打分': 1}
{'短评内容': '酒店很不错，房间也挺干净，早晨挺丰富的，尤其是晚上还会给房间送每人一杯热牛奶，如果这杯热牛奶是纯牛奶就更好了，喝起来总感觉兑水了，，呵呵，整体来讲不错，值得推荐！去了太原好几次了，只要住太原我就都住这个酒店', '短评打分': 5}
{'短评内容': '房间不错，但卫生服务不好，整理房间不干净，毛巾不换，但出行比较方便，价格也算合理。', '短评打分': 5}
{'短评内容': '酒店位于市中心，离山西医科大学仅一站路，交通方便。房间面积比一般快捷酒店大，安静，干净，感觉挺好，强烈推荐。一楼有餐厅，味道也不错额~', '短评打分': 5}
{'短评内容': '小巷子里，房间很一般，不新，名字倒很能唬人', '短评打分': 1}
{'短评内容': '硬件条件不错，新装修的，有点味道。停车位较少，早餐一般。晚上很安静。', '短评打分': 5}
