{'短评内容': '还有没牙刷这些，跟图片差别大', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '电视用的是乐视盒子，基本没用没法看电视太卡了，电脑也打不开，隔音差了点，早饭太简单了，性价比还行，周边找吃的很不方便，只能喊外卖了', '短评打分': 4}
{'短评内容': '外面晚上相当的吵，很晚才睡着', '短评打分': 3}
{'短评内容': '经济实惠早餐还不错', '短评打分': 5}
{'短评内容': '房间不错，干净整洁，出差入住', '短评打分': 5}
{'短评内容': '房间不错，干净整洁，出差入住', '短评打分': 5}
{'短评内容': '这个价格还有早餐，房间还行，就是洗澡喷头喷洗没有固定的地方，要自己手拿着，网上订的比较便宜，前台服务员服务态度很好，很亲切，总体好评值得推荐！', '短评打分': 4}
{'短评内容': '商圈中心，这点还是不错，就是房间设施陈旧了点', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '有点吵', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好还好，……………………………………', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '床单花色真的很漂亮 但是隔音效果真的太差了 家庭房的隔音效果还算不错', '短评打分': 5}
{'短评内容': '一般一般', '短评打分': 1}
{'短评内容': '  还行', '短评打分': 3}
{'短评内容': '房间环境差，味道难闻，这个价格应该不值。', '短评打分': 1}
{'短评内容': '位置不错 服务态度也不错.就是比较难找吧.', '短评打分': 5}
{'短评内容': '服务可以，缺少窗口，空气不好。', '短评打分': 3}
{'短评内容': '酒店不错，干净卫生床大', '短评打分': 3}
{'短评内容': '今天入住，感觉还可以，给大家推荐，电话长途，短途都可以打哈，还安逸哟', '短评打分': 5}
{'短评内容': '听名字感觉是大酒店，但是很难找，在一个小巷子内，设施很陈旧，厕所味道很不好', '短评打分': 1}
{'短评内容': '豪华双人房间还可以，其它标间朝向选择不对的话房间就没有窗户。所以此酒店最好预订豪华双人间。', '短评打分': 3}
{'短评内容': '干净、交通便利', '短评打分': 3}
{'短评内容': '房间位置不错，空间也大，就是不能刷卡', '短评打分': 3}
{'短评内容': '不错噢，唯一缺陷就是不能刷卡，悲催啊，不过酒店服务还可以，早餐不行。', '短评打分': 5}
{'短评内容': '价格虽然低点，但是住着给人感觉不舒服，隔音很差，晚上过道和隔壁房间说话你都听得到，我专门给前台说留一个有窗户的房间，结果窗户到是有可惜是个天井，跟没有窗户效果一样的。喜欢安静的朋友就不要选择这家店了。卫生条件一般，悲剧的是我住的时候洗澡水出了问题，烧不热，气死人了！！！', '短评打分': 1}
{'短评内容': '处在南充的中心位置，附近的商店，便利店都挺好的。\n我住的房间没有窗户，有点闷了。隔音不是很好，半夜被隔壁的两口子吵架吵醒了。\n早餐不知道怎么样没去吃。\n楼下有电影院。不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，在市中心的位置，交通非常方便，房间的卫生很干净，性价比很高', '短评打分': 5}
{'短评内容': '房间挺大的，还是很不错的，早餐没去吃不知道怎样', '短评打分': 5}
{'短评内容': '住的是大间的标间，也就是所谓豪华标间，房间比较大，不临街的，比较安静，卫生条件也还不错，服务态度也还好，特别是打扫卫生的服务员，年龄都比较大，很热心。五楼是影院，负一楼是超市，周围购物也非常方便。', '短评打分': 5}
{'短评内容': '还不错了，就是上楼的电梯比较麻烦 每次都要等好久', '短评打分': 5}
{'短评内容': '不能刷卡，而且不能使用无线路由器，前台表示因使用无线路由造成其他房间不能上网，这点非常让人不能接受。其他还可以。', '短评打分': 1}
{'短评内容': '电话是可以免费打的，包括长途和市话。前台还可以，就是房间的打扫及一些硬件如电脑，水池等有问题', '短评打分': 1}
{'短评内容': '退房时间是从入住算起；灯光比较暗；如果连续入住需打扫，需提前自己告知，地点还可以', '短评打分': 1}
{'短评内容': '非常好，我是来南充考试的，本来不抱什么希望随便订了一家，结果到店后非常精细，房间很大很宽敞，有电脑，还配备了摄像头 大耳麦等，非常满意。唯一的遗憾就是大门太不明显了，我围着大厦走了好多圈，问了人才知道从哪里进，呵呵，总的来说很不错了！', '短评打分': 5}
{'短评内容': '所入住的房间比较大，也比较亮堂、整洁，只是总有点农家乐的感觉。酒店位置在市中心位置，到各处都比较方便。', '短评打分': 5}
