{'descr': '很好，热水，暖气，服务，样样都好。', 'star': 5}
{'descr': '位置还可以，没有停车场，房间跟网上说的不符，订的是30方，给的不超过20方，不过服务员态度超赞，礼貌、热情。', 'star': 4}
{'descr': '房间太冷.洗澡的水温不够.冬天来到哈尔滨是和温度的对抗.白天在外面转了一圈.回到宾馆也没觉得温暖.不是中央空调.就是在窗户边有几个暖气片.窗户呼呼透风.窗帘也不是防风的.呆一会冷了想洗个热水澡.放了半天水也就是刚温一点点.无奈臭和洗吧.那叫一个透心凉.改善改善吧.本身哈尔滨就冷.宾馆弄的暖呼呼的.就即使别地地方稍微差一点也能接受.还好我就住了一天.第二天果断换地方.暖和多了', 'star': 5}
{'descr': '酒店门口台阶超级高，大概10多层，拿大件行李不方便，入住也是没有热水，说是水管坏了，在修理中，后来半夜11点多热水才来，7天是不是都存在热水不足或没有的问题啊，这个实在太不方便了', 'star': 3}
{'descr': '还好，很干净，就是房间太小了', 'star': 5}
{'descr': '感觉挺好的，虽然屋里面的灯坏掉了，找前台，说没有房间黑换了，也没办法，还好屋里面还有其他的灯，离中央大街很近，建议旅游住。', 'star': 4}
{'descr': '。', 'star': 5}
{'descr': '酒店地理很好，去哪里都比较方便，就是保洁有一点差。', 'star': 5}
{'descr': '好好好好好好好好好好好好', 'star': 5}
{'descr': '很好很满意，很好很满意', 'star': 5}
{'descr': '房间很小，不过还算卫生，屋里暖呵。电视遥控器坏了，换了一个，吹风机坏了没折腾换，希望酒店能注意一下房间里设施，提高品质', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '服务好，干净卫生，', 'star': 5}
{'descr': '虽说房间小点但卫生服务都不错，特别是地理位置很好，繁华的中央大街步行街就在旁边，距松花江和太阳岛，斯大林公园都很近。这个价格的酒店很值，我们夫妻一年外出平均有20天以上均住7天，给赞！！！', 'star': 5}
{'descr': '位置挺好！逛街吃饭都方便！酒店卫生干净就是有点旧了，被子有破洞哦！浪漫的是床上有玫瑰呢！酒店台阶高了，拿行李有点累！东北人不拿赚钱当回事，不要期待太多哦！呵呵！年轻人是可以接受的！', 'star': 4}
{'descr': '很不错的', 'star': 5}
{'descr': '离中央大街很近，出行非常方便，房间比较大，暖气足。', 'star': 5}
{'descr': '房间太小，有的没有窗户，在房间里很闷，卫生还可以', 'star': 4}
{'descr': '还是一如寄往的好，走2分钟就是中央大街了', 'star': 5}
{'descr': '已经住了好几次，这次带家人来，位置没话说', 'star': 5}
