{'短评内容': '酒店还不错、闹市之中比较安静', '短评打分': 4}
{'短评内容': '都很好，就是希望下次去老板可以按电梯，电信网不要坏', '短评打分': 5}
{'短评内容': '其他都好就是停车难。', '短评打分': 4}
{'短评内容': '啊啊啊', '短评打分': 2}
{'短评内容': '没有wifi，电视就几个台，不过环境还可以', '短评打分': 4}
{'短评内容': '酒店的房间没有凳子，门也没有加个安全锁，感觉没不安全。冲凉水只是温温的，不够热', '短评打分': 4}
{'短评内容': '妈的，都没服务员', '短评打分': 1}
{'短评内容': '一般了，酒店一般，景色一般，到是导游是亮点，不是长得亮，而是技术，居然会弹古筝，在船上弹了好几曲，真不错', '短评打分': 4}
{'短评内容': '不错的环境，服务态度还是需要加强。还有房间卫生墙壁都有粉尘了。', '短评打分': 4}
{'短评内容': '还不错，这个价格合适。', '短评打分': 3}
{'短评内容': '不错，开窗就见马嘶桥', '短评打分': 3}
{'短评内容': '房间有太小了，不过在县城中心，旁边就是灵渠水街和宵夜摊', '短评打分': 3}
{'短评内容': '不错，门前便是水街，秦堤。', '短评打分': 3}
{'短评内容': '看过原来订的房，果断升级成豪华单间入住，房间设施一般，清洁度一般，隔音差，寝具不舒服，到位置不错。性价比不高。不过，水街似乎也没更好能住的了……', '短评打分': 3}
{'短评内容': '真的不错，很干净，位置也很方便', '短评打分': 5}
