{'短评内容': '性价比不错的选择', '短评打分': 4}
{'短评内容': '性价比还不错的选择', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位置还不错', '短评打分': 5}
{'短评内容': '周围有很多的小吃店，也有高中档饭店。酒店的位置很好，位于成都中心城区。服务员态度好。性价比比较高。是一个值得推荐的地方。', '短评打分': 4}
{'短评内容': '房间太差了  楼道全是公寓的样式。没有一点酒店的感觉 而且还在马路旁边', '短评打分': 1}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '前台一般般', '短评打分': 3}
{'短评内容': '不错！！！！', '短评打分': 5}
{'短评内容': '前台服务小妹态度很好，房间也大，周边出行方便，特别是去九寨沟旅游等车很方便，出门左行100米左右就是等车点，最主要是价格很便宜～', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '数年出差以来，遇到最差劲的酒店。卫生之脏，设施之差，前所未有。应倒闭，以谢所有受害者！', '短评打分': 2}
{'短评内容': '房间还是挺宽敞的，就只是酒店位置离办事的地方近点', '短评打分': 3}
{'短评内容': '环境舒适，服务周到，热情，非常值得推荐', '短评打分': 5}
{'短评内容': '还不错，很方便，就是有点吵，总的还行', '短评打分': 4}
{'短评内容': '不错的，推荐～～～～', '短评打分': 3}
{'短评内容': '可以值得推荐', '短评打分': 1}
{'短评内容': '蟑螂太多了，下次不去了！！\n得换地方了\n有一点可以肯定：房子够大', '短评打分': 1}
{'短评内容': '旅游不方便，设施陈旧，定时提醒也不能提供。不推荐入住。', '短评打分': 1}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '卫生间直对睡床 不舒服，设施不是太好，价格贵', '短评打分': 1}
{'短评内容': '不错，标间和豪标条件挺好，较安静，在一环边上能有这样的酒店值得一住。', '短评打分': 5}
