{'短评内容': '地理位置不错 就在江南客运旁边 周围交通方便 吃的东西也多  就是房间很旧 被子什么都很旧 ', '短评打分': 2}
{'短评内容': '空间还是可以的，就是旧了点', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 5}
{'短评内容': '嗯嗯', '短评打分': 5}
{'短评内容': '中规中矩，感觉还不错！', '短评打分': 5}
{'短评内容': '住宿很舒服', '短评打分': 5}
{'短评内容': '为了第二天转车入住，离车站很近，但是环境就不敢恭维了，设施很破旧', '短评打分': 2}
{'短评内容': '订128的房却要138，确实很不爽！', '短评打分': 3}
{'短评内容': '不错的酒店，价格合理。', '短评打分': 4}
{'短评内容': '感觉还行，房间还不错。无线快点就更好了。', '短评打分': 5}
{'短评内容': '装修的还行，离车站近，就在江南站旁边，总得来说还不错！', '短评打分': 5}
{'短评内容': '房间挺大的，各种设施还不错。这个价位的酒店还是值得推荐滴。', '短评打分': 5}
{'短评内容': '就在江南客运站旁边，挺方便的，其他也还行！', '短评打分': 5}
{'短评内容': '还是挺好的，豪华房跟单人房没什么差别，总体还是好评！', '短评打分': 4}
{'短评内容': '感觉不错，经济实惠，房间很大，就是网络不是很好', '短评打分': 3}
{'短评内容': '交通比较方便，就在车站旁边。洗脸盆是破的，不小心伤到了手，建议店家更换新的。其它的都还好。', '短评打分': 5}
{'短评内容': '还不错，挺大挺干净的，设施也还行', '短评打分': 3}
