{'短评内容': '还可以吧，这个价位还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '就是办事住还行，其它不推荐。', '短评打分': 3}
{'短评内容': '早餐一般，卫生间很烂，称为商务酒店，坚挺现在的价格唯一的优势就是离东站近吧，其实也不是很近。下次不会住。', '短评打分': 3}
{'短评内容': '早餐不知道，早上6点就走了，其他设施都还可以。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '研究所的招待所，近点的还仅此一家', '短评打分': 3}
{'短评内容': '酒店的地理位置不错，在郑州高铁东站附近。酒店的设施比较一般，价格不高，性价比合理！酒店的服务人员态度不错，有到家的感觉！下次还会入住！在本人入住3天期间、感谢酒店工作人员的真挚服务！', '短评打分': 4}
{'短评内容': '酒店在开发区，交通方便。房间设施略显陈旧，早餐一般般。不过距离出差地点较近。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '在附近算是可以了。', '短评打分': 4}
{'短评内容': '环境还不错，比较干净舒适，适合出差的，离车站很近很方便', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '交通方便，环境肃静。', '短评打分': 3}
{'短评内容': '酒店去所里办事方便，但设施有点旧了', '短评打分': 5}
