{'短评内容': '酒店性价比超高，但早餐超难吃，品种又少', '短评打分': 4}
{'短评内容': '周边环境好早餐可以。', '短评打分': 5}
{'短评内容': '房间还是比较干净整洁，有早餐，可能酒店开业很多年了，没有新开业的酒店那么新潮，热水充足，价格适中，。', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '酒店条件很好，值得入住', '短评打分': 5}
{'短评内容': '环境还可以，是老的酒店，档次还行，就是设施有些旧了，', '短评打分': 5}
{'短评内容': '虽雖然刚装修，但设施略为简陋，没有靠背椅子，更没有梳化，只有一小木登子，向街的房间很嘈吵，担心漫漫长夜如何度过。惟一可取的是热水夠热，洗澡很痛快。', '短评打分': 3}
{'短评内容': '酒店装修设施太老，入住当天无法看电视，说是故障在维修，卫生间马桶流了一夜水，无法止住。在网上特意订了两间商务大床房，没想到结果是这样的，太失望了，下次不会再考虑', '短评打分': 3}
{'短评内容': '酒店装修是十几年前的风格，不过不到200住三星也算可以了，早餐一般。', '短评打分': 3}
{'短评内容': '感觉还可以，酒店有打电话提前联系，还送了小份水果，较之以前两家好一点，价格也合适。，以后有机会还来。。。。', '短评打分': 5}
{'短评内容': '不错得酒店', '短评打分': 5}
{'短评内容': '很实惠，出差首选', '短评打分': 5}
{'短评内容': '设施陈旧，性价比差', '短评打分': 3}
{'短评内容': 'OK！qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq', '短评打分': 5}
{'短评内容': '酒店还可以，比较干净也挺安静的', '短评打分': 4}
{'短评内容': '酒店工作人员感觉素质还是比较好的，但是位置稍微有点偏，内部设施比较陈旧，可能因为住得是标间的缘故。', '短评打分': 5}
{'短评内容': '酒店虽然旧些，但每天有水果送、国内电话免费打，对出差的人来说价格也还行\n已经是第二次入住了', '短评打分': 5}
{'短评内容': '不错,感觉很舒服的,早餐也很丰富.总之,物廉价美的选择哦!', '短评打分': 5}
{'短评内容': '卫生还不错', '短评打分': 3}
{'短评内容': '房间陈设太久，所以整个价格就不值这个价了。如果让我出价，我认为100元一间还查不多。一点都比不上七天或者如家。不过软性服务还可以。', '短评打分': 1}
{'短评内容': '可能由于酒店太旧的原因，价格非常便宜。我下次不会再住，但会向比较注重价格的朋友推荐。', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '位置不错，服务还可以，房间设施有点旧，早餐一般', '短评打分': 5}
{'短评内容': '不错~！~！~！~！~以后出差，再来~！~！`', '短评打分': 5}
{'短评内容': '房间很差', '短评打分': 3}
{'短评内容': '硬件设备还可以，但好像是管理跟不上，很多细节方面还需要改善', '短评打分': 3}
{'短评内容': ' 襄阳丽源酒店虽说旧些， 但性价比还是不错的，房间配置的电脑可免费上网、免费国内长途电话，还送免费水果', '短评打分': 3}
{'短评内容': '环境服务都不错，特别是房间电话打长途免费很方便。', '短评打分': 3}
{'短评内容': '酒店不错，特别是环境、早餐。', '短评打分': 3}
{'短评内容': '很不错的酒店，干净、卫生，房间很大，停车也方便，还有免费水果，早餐牛肉面非常好吃，有机会还会来住。', '短评打分': 5}
{'短评内容': '性价比好。老酒店了。所有出租车司机也都知道，比较方便找。交通也还行。', '短评打分': 5}
{'短评内容': '   第一次入住，感觉酒店大堂装修风格有点象武汉的华美达天禄酒店，房间非常干净、服务员非常热心、床非常舒适、网速也不错，到二汽基地办事很方便，晚上附近有夜市，宵夜品种不少，总而言之酒店物超所值，同行的老外也很满意，下次继续入住~~~~~~ ', '短评打分': 5}
