{'短评内容': '还不错，房间也很卫生，就是灯光有些昏暗。', '短评打分': 5}
{'短评内容': '酒店早餐有点差，几乎没什么吃的。周边也没什么好一点的工薪消费餐厅，旁边的海鲜煲汤餐厅太贵了。', '短评打分': 4}
{'短评内容': '房间大，早餐丰富！', '短评打分': 5}
{'短评内容': '坪山新区最好的酒店了，房间干净，设施齐全，洗手间里的淋浴房不错，蛮大的，亮度好～早起赶早航班，就来不及享用了', '短评打分': 5}
{'短评内容': '普通雙人房和行政雙人房根本就沒浴缸，為什幺還要騙人，想加錢都沒房了。', '短评打分': 3}
{'短评内容': '给同事订的，ok', '短评打分': 5}
{'短评内容': '京东定房没想到会这么方便。', '短评打分': 5}
{'短评内容': '物流太慢了，安排不周到', '短评打分': 3}
{'短评内容': '乐安居酒店位置还可以', '短评打分': 5}
{'短评内容': '这附近基本还算是最好的酒店了吧，我几乎每次出差定的都是这里，过得去', '短评打分': 5}
{'短评内容': '便宜，环境非常好，方便。', '短评打分': 5}
{'短评内容': '很好，到店报名字就可以了', '短评打分': 2}
{'短评内容': '环境很不错，也不贵', '短评打分': 5}
{'短评内容': '东西收到了，必须好评，快递很给力！', '短评打分': 5}
{'短评内容': '东西收到了，必须好评，快递很给力！', '短评打分': 5}
{'短评内容': '东西收到了，必须好评，快递很给力！', '短评打分': 5}
{'短评内容': '东西收到了，必须好评，快递很给力！', '短评打分': 5}
{'短评内容': '还行，行政房太小了～配套一般～～～', '短评打分': 4}
{'短评内容': '主要是比较方便', '短评打分': 4}
{'短评内容': '卫生间设计布置不合理。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好评返现吗好评返现吗好评返现吗好评返现吗好评返现吗好评返现吗好评返现吗好评返现吗好评返现吗好评返现吗好评返现吗', '短评打分': 5}
{'短评内容': '3分钟就确认订单了，还有卷，不错。比携程什么的还好。', '短评打分': 0}
{'短评内容': '酒店离客户很近，出行便利。坪山最好的酒店了，周围吃饭的地方尚多。卫生间冲凉的水既然能溢出到其它地方，细节有待改善', '短评打分': 4}
{'短评内容': '酒店设施很好，位置偏！', '短评打分': 4}
{'短评内容': '房间还行，窗户隔音效果不好', '短评打分': 4}
{'短评内容': '一开始安排在七楼，走道烟味让人受不了，后面协调换到八楼稍微好一点，房间一进门就是洗漱台，洗手间和洗澡房有点小，早餐还不错，虽说种类不是特别多，味道还行，这边虽说是坪山比较中心的地方了，但打车不容易，好在外面就有个公交车站，酒店有几个吃饭的地方，但除了一楼的西餐厅都不让挂房账，现在盖的被子有点薄了，晚上都觉得冷，洗澡房的热水比较给力。', '短评打分': 4}
{'短评内容': '总体还是不错的，早餐可以', '短评打分': 4}
{'短评内容': '酒店环境及硬件设施都不错，服务也很到位。 因为我们到的比较晚，又没有吃晚饭，结果意外发展酒店后面河边有很多大排档，价格合适，味道也不错，值得一试哦。', '短评打分': 5}
{'短评内容': '房间挺舒服，可惜没有单人房了。网络坏了，后来修了半小时弄好了，暖气也有些问题，还好那天不是特别冷', '短评打分': 4}
{'短评内容': '出差一直入住的酒店', '短评打分': 5}
{'短评内容': '新建的酒店，还是不错的，价格也不是很贵。', '短评打分': 5}
{'短评内容': '房间小了点儿，有点装修味，其它OK.。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '新开张，味道比较大，不过房间还可以。', '短评打分': 3}
{'短评内容': '酒店环境不错，床很舒服。还送早晨，很好。', '短评打分': 3}
{'短评内容': '给朋友订的，朋友说还可以，自己没有住不好评价呀。周边反正没啥可比性。', '短评打分': 5}
{'短评内容': '离客户近，相当不错的酒店了，干净，就是还有装修的味道', '短评打分': 5}
{'短评内容': '离客户近，相当不错的酒店了，就是还有装修的味道', '短评打分': 5}
