{'短评内容': '周边风景很美 酒店有自费热气球可以玩', '短评打分': 5}
{'短评内容': '很赞', '短评打分': 5}
{'短评内容': '服务很好，早餐很好，走的时候还送了水果，唯一一点就是有虫子', '短评打分': 5}
{'短评内容': '环境幽雅 适合度假 还有热气球卡丁车等 ', '短评打分': 5}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '来吐槽下 酒店离高速出口挺近的，初到酒店只有前台一个工作人员，白天酒店一直在装修，吵得没法休息。整个酒店才16个房间 入住人挺少，可能我们出行的天气比较暖和。房间空调不能自己掌控，只能开关，不能调冷热，晚上送的暖风再加上厚厚的羽绒被 整个晚上都热得睡不着。另外洗澡地漏排水很慢，早餐很简单。优点就是酒店环境还算清静，拍照的点挺多', '短评打分': 4}
{'短评内容': '外面可以拍照的地方还不少', '短评打分': 4}
{'短评内容': '房间里的装修已经老了，有不少地方都破旧了。', '短评打分': 4}
{'短评内容': '餐厅的菜品还行', '短评打分': 4}
{'短评内容': '大堂里的台阶设置得有问题，亲眼看见一小孩摔了。', '短评打分': 4}
{'短评内容': '一般般！废弃的酒店！', '短评打分': 4}
{'短评内容': '很不错，环境好，相对安静', '短评打分': 5}
{'短评内容': '周边环境幽静、适合节假日出游、休假，在宾馆周边可以漫跑、骑车。', '短评打分': 5}
{'短评内容': '非常好的湖景房 出去有半岛在湖上 风景超级棒！高尔夫球场不用了，但环境一样好，很别致！', '短评打分': 3}
{'短评内容': '很不错的度假休闲之地，空气清新，环境安静，是大家庭集体出游的首选，早餐还有待改善。总体评价很好，下次还会选择。', '短评打分': 3}
{'短评内容': '酒店就在千岛湖的高速公路出口，很方便。只有16个房间，所以人不会很多。非常安静的。', '短评打分': 5}
{'短评内容': '酒店就在千岛湖的高速公路出口，很方便。只有16个房间，所以人不会很多。非常安静的。', '短评打分': 5}
{'短评内容': '非常不错的酒店 环境  服务上佳 下次还会去', '短评打分': 5}
{'短评内容': '房间看着挺新的，电视机质量挺好，卫生打扫也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间挺大挺舒适，服务上也挺周到的。', '短评打分': 5}
{'短评内容': '刚刚从他家回来 服务非常到位 因为是自驾 我又是路盲 是酒店大堂值班人员不厌其烦帮我们问路 解释 甚至画出详细地图 临走还不放心 担心我找不到产草莓的杨村桥 特地关照拿好酒店名片可以打电话回来问路 下次还会住', '短评打分': 5}
{'短评内容': '环境很好，很安静很干净，房间也宽敞舒适，整体感觉不错。', '短评打分': 5}
{'短评内容': '价格不是很贵，这次住的挺划算挺舒适。', '短评打分': 5}
{'短评内容': '非常不好.因為他們把中央空調關掉.我們訂了三个客房,三家人結果整个晚上都睡不著.半夜打电話到前台,告訴他們太熱睡不著,他們說這是酒店的決定,叫我們并窗睡,可是并窗也好不了多少,而且有蚊子,但他們也不理會我們根本不能睡.第二天再到前台投訴,他們說酒店要節省能源,也不覺得有問題.收RMB 1280 一晚,這样對待客人,簡直是欺騙,欺騙,大欺騙.還說是高級酒店???我會繼績投訴.', '短评打分': 1}
{'短评内容': '环境很好 卫生服务都很不错 就是室内游泳池稍微太小了一点点，价格稍微高了一点点。', '短评打分': 5}
{'短评内容': '酒店的条件还不错.硬件和软件条件很到位,而且服务也不错,整体感觉很好.', '短评打分': 5}
{'短评内容': '客房服务很到位，态度也很周到热情，值得推荐的酒店。', '短评打分': 5}
{'短评内容': '价格不太高，配套设施齐全，很新，房间里面还有卫星电视', '短评打分': 5}
{'短评内容': '蛮好的酒店，下次还会入住', '短评打分': 5}
{'短评内容': '环境很好，很安静适合度假，性价比蛮高的。', '短评打分': 5}
