{'短评内容': '恭喜贺喜还是GV', '短评打分': 4}
{'短评内容': '酒店有点老了，设施该更新了，价格还能接受', '短评打分': 4}
{'短评内容': '酒店周设施陈旧，服务差', '短评打分': 2}
{'短评内容': '老三星 价格便宜 气派 招待朋友首选', '短评打分': 4}
{'短评内容': '挺好的，定的房间没有了，免费升级高档房间', '短评打分': 5}
{'短评内容': '地理位置优越 交通便利 内部环境一般 设施陈旧 就算是怀旧式酒店吧', '短评打分': 3}
{'短评内容': '酒店设施老旧了，需要重新装修了。', '短评打分': 3}
{'短评内容': '比较老旧的三星级酒店了，不过刚好要到附近办事，不过门口在修路，感觉不是很好，二楼经常有一些活动，人流也有点乱糟糟的.', '短评打分': 4}
{'短评内容': '房间价格合理', '短评打分': 5}
{'短评内容': '位置优', '短评打分': 5}
{'短评内容': '环境比较好，设施也很好，上档次！', '短评打分': 5}
{'短评内容': '服务态度和质量很好，卫生情况不错，服务耐心，周到，如果能提供停车场就更好了。还会来住。给满分好评。', '短评打分': 5}
{'短评内容': '缺网络，无线不稳定，手机都连不上，有几个感应灯，不错，洗澡可以，其他都很正规，早餐是自助餐。', '短评打分': 5}
{'短评内容': '房间有点老旧了……', '短评打分': 5}
{'短评内容': '这次选择的一般房，才一百多，自己觉得比2百多的房间值得住，对的起这价钱。', '短评打分': 4}
{'短评内容': '一般啦！主要河南真恶心，一些连锁不让外国人住', '短评打分': 5}
{'短评内容': '卫生间灯光太暗，门卡每天都要去前台重新弄，否则打不开房门。wifi不好使，没有人会弄。', '短评打分': 1}
{'短评内容': '挺一般的，老三星。早餐单调且房间霉味严重', '短评打分': 1}
{'短评内容': '交通方便，环境很好。三星级名符其实。', '短评打分': 3}
{'短评内容': '从外面看像是一个老楼，不怎么新，大厅的孔雀灯还是很气派的，前台的女的长得很老，不太年轻，一个电梯正在装修，卫生间还是很干净的。', '短评打分': 5}
{'短评内容': '电视机太久了。也收不到几个 台，。 不过其他方面还是可以的。', '短评打分': 5}
{'短评内容': '床很大 不过电视旧了些', '短评打分': 3}
{'短评内容': '太陈旧了', '短评打分': 3}
{'短评内容': '还不错，就是早餐太简单了', '短评打分': 3}
{'短评内容': '酒店环境不好，根本够不上三星，没宽带，设施陈旧，早上起床发现很大一只蟑螂，很差，强烈鄙视。', '短评打分': 3}
{'短评内容': '酒店配置装饰陈旧，舒适度不及快捷酒店！', '短评打分': 3}
{'短评内容': '这是一家坑姐的酒店，陈旧的装修设备，简陋的自助早餐。再也不会去第二回了。宁可住快捷酒店。所谓的行政标间，就是普通的标间，问他们前台的服务员，原来标间和行政标间的区别是，设备的年限的不同。也就是说没有任何一点区分，反而价格高出５０多。', '短评打分': 1}
{'短评内容': '20多年的老酒店，到目前都没有重新装修，实在太老，太破旧了，实在没法形容！\n门锁就连一点，松松垮垮，太没有安全感！更可气的是，房间水实在太小，几乎放不出来！根本没法洗澡？？？  \n', '短评打分': 1}
{'短评内容': '酒店太旧了，性价比低，出行也不方便，服务员素质差。', '短评打分': 1}
{'短评内容': '服务质量不错，就餐条件也可以，房间面积不是很大，但是挺干净的！', '短评打分': 5}
{'短评内容': '还算可以，交通比较方便，这个价格应该算值的', '短评打分': 5}
{'短评内容': '高考期间，不但不涨价还提供一些优惠。服务态度好，很人性化，卫生还可以，饭菜太贵', '短评打分': 5}
{'短评内容': '服务态度不错，很人性化，高考期间，非但不涨价还提供一些优惠。卫生还可以，饭菜不太好', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '每次来郑州都会住在这儿，关键是位置不错，房间也很大，出差住宿挺舒服的', '短评打分': 5}
{'短评内容': '比较差', '短评打分': 3}
{'短评内容': '这是郑州西郊的三星级酒店，从停车、大厅等设施来说，还是比快捷酒店有优势的。住的是普通的标准间，房间内设施略显陈旧，估计最少是十年前的设施，不过很被褥干净，看着也很舒服。总体来说，是不错的。', '短评打分': 5}
{'短评内容': '＋昨天如住了，整体还马虎，但是卫生间的淋浴根本不好用，基本不能用，请让宾馆人员自己体验一下', '短评打分': 3}
{'短评内容': '住宿条件还不错，设施比较新，可以无限上网，但是网速较慢。早餐太差', '短评打分': 5}
{'短评内容': '   酒店服务极差。', '短评打分': 3}
{'短评内容': '服务态度挺热情的，餐厅的饭菜挺可口，房间里挺干净，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置挺好，出行交通挺便利的，服务态度也挺好，房间也挺干净卫生的。', '短评打分': 5}
{'短评内容': '豪华标间的设施还不错，酒店晚上挺安静，睡眠质量还不错。', '短评打分': 5}
{'短评内容': '服务态度还好，停车场挺大，停车挺方便，房间不大，卫生打扫还好。', '短评打分': 3}
{'短评内容': '价格挺便宜的，位置挺好，停车挺方便，服务卫生也挺达标，住的很满意。', '短评打分': 5}
{'短评内容': '酒店装修的有点欧式风格，卫生很到位，室内很干净，床单被子每天都及时更换，用着很放心。', '短评打分': 5}
{'短评内容': '房间以米色为主，打扫挺干净，设施挺齐全，舒适度挺好。价格也适中。', '短评打分': 5}
{'短评内容': '房间看着还比较新，床挺大挺舒适，卫生也不错，住着挺舒服。', '短评打分': 5}
{'短评内容': '服务挺热情，卫生方面也不错，设施挺齐全，出行挺方便，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位于主干道上，周边交通挺便利，服务卫生方面也不错，性价比挺高的。', '短评打分': 5}
