{'短评内容': '非常好，服务周到', '短评打分': 5}
{'短评内容': '不会再来', '短评打分': 3}
{'短评内容': '真的失望', '短评打分': 4}
{'短评内容': '一般，高级大床房和大床房只差9块钱，可内部环境确有天差之别', '短评打分': 4}
{'短评内容': '挺好好的呀', '短评打分': 5}
{'短评内容': '方便快捷，订的快', '短评打分': 5}
{'短评内容': '环境卫生都不错  比较平价  服务态度也不错', '短评打分': 5}
{'短评内容': '房间很大一股味，开窗都散不去，水龙头漏水，洗手盆阀门按不开下不去水，马桶一直响，各种问题', '短评打分': 4}
{'短评内容': '还行吧，', '短评打分': 4}
{'短评内容': '周围很繁华，很干净', '短评打分': 4}
{'短评内容': '挺旧的宾馆，有热水供应。', '短评打分': 3}
{'短评内容': '十分满意', '短评打分': 5}
{'短评内容': '周边环境实在是太差劲了，房间的手机信号很差（联通）！wifi也是几乎不能用，在沈阳住过几次汉庭，感觉都好差，汉庭汉庭真是不行！本来要住8天，果断换到如家去试试吧', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '蛮不错的，服务态度很好，环境舒适也挺安静，周边繁华。好评。', '短评打分': 5}
{'短评内容': '临时住一晚，不错', '短评打分': 5}
{'短评内容': '环境不错，连锁酒店一贯的好，家的赶脚。', '短评打分': 5}
{'短评内容': '不好的地方是：房间湿度有点大，白天周边太吵，没有停车位。好的地方：服务态度非常好，很安全，有早餐。', '短评打分': 5}
{'短评内容': '这次住的高级大床房 跟大床房相比就是屋子大床大 没别的区别', '短评打分': 5}
{'短评内容': '  名叫刘洋的前台服务很好', '短评打分': 3}
{'短评内容': '交通方便，服务不错', '短评打分': 3}
{'短评内容': '交通蛮方便的，早晨也还好，就是白天太吵了', '短评打分': 3}
{'短评内容': '性价比一般，但是门口的街道比较繁华，住的时候正赶上电梯坏了，不是太爽，住6楼要走上来走下去的比较辛苦。', '短评打分': 5}
{'短评内容': '这次的服务比上回的好。', '短评打分': 3}
{'短评内容': '位置挺好的，交通也挺方便，就是凌晨去入住时竟然说是没有确认，没留房，亏我还提供了信用卡担保，害我最后多花了100……哎……真是……', '短评打分': 5}
{'短评内容': '总体感觉还算干净，不过我的房间在一楼，而且盥洗室是开放的，所以会有些潮湿和异味。很不理解汉庭为什么必须十二点退房，太不人性化了', '短评打分': 3}
{'短评内容': '接待热情，入住温馨。', '短评打分': 3}
{'短评内容': '设施简洁，交通方便，帮朋友定的，感觉不错。', '短评打分': 5}
{'短评内容': '不错的酒店，交通比较方便，下次还来.早餐也不错', '短评打分': 5}
{'短评内容': '碰巧电梯维修，只能走楼梯上下7楼，呵呵，权当体育活动了', '短评打分': 5}
