{'短评内容': '很人性化的服务，主动帮顾客着想。市繁华地段，办事方便。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '门口在修地铁，特别不方便出行，酒店设施老化，服务下降了。', '短评打分': 3}
{'短评内容': '有蚊子', '短评打分': 4}
{'短评内容': '很好11111111111111111111111111111111111', '短评打分': 1}
{'短评内容': '很不错1111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '感觉现在酒店的软件在加强。服务人员的素质在整体的提高啊。很不错。提个建议现在天气热了，酒店能不能在客人进住前，就将空调开开迎接客人，这样客人在入住后马上有个凉爽的环境。', '短评打分': 5}
{'短评内容': '老酒店，设备陈旧，地理位置还是可以的，性价比不高', '短评打分': 5}
{'短评内容': '两个月后再次入住燕春花园酒店，感觉各方面的服务有所提高。特别是第二天晚上回饭店房间后看到服务员手写的便条，提示最近天气较热要多喝水等信息，觉得有一种亲切和温馨感。', '短评打分': 5}
{'短评内容': '设施老化', '短评打分': 3}
{'短评内容': '已经多次入住了，总体感觉还不错，物有所值吧', '短评打分': 3}
{'短评内容': '北国商圈正中心，出行便捷、老酒店服务很好，配套设施不错，带宝宝去的客房还特意给宝宝准备了睡前的故事书和卡通小闹钟。房间面积大但设施较老，如果再装修一下就完美了。', '短评打分': 5}
{'短评内容': '酒店设施稍显陈旧，但是房间够大。', '短评打分': 3}
{'短评内容': '   服务不错，酒店设施比较旧，地毯有点脏', '短评打分': 3}
{'短评内容': '酒店不错，服务、早餐都还可以，周围还比较热闹，只是出租车有些难叫。', '短评打分': 5}
{'短评内容': '酒店尚可，服务和早餐都还不错。唯一一点叫出租车不太容易。', '短评打分': 5}
{'短评内容': '设施有点陈旧，总体感觉就是很一般的酒店。', '短评打分': 3}
{'短评内容': '条件一般，设施旧，无线没有，网络接口没有。', '短评打分': 3}
{'短评内容': '非常好，尤其感谢服务员小马，看我没鼠标垫特地送来一个。', '短评打分': 5}
{'短评内容': '四星的价格，快捷的消费，有些地方甚至不如快捷酒店，不过早餐还可以。', '短评打分': 1}
{'短评内容': '所处地段不错,服务质量很好的,服务态度很好，酒店的设施及装修陈旧,，', '短评打分': 5}
{'短评内容': '处于石家庄中心地带，交通非常便利，购物非常方便，早餐质量很一般', '短评打分': 5}
{'短评内容': '房间太大了，床到电视距离之远，看电视都费劲了。浴室淋浴不够给力，水热的慢且流量少', '短评打分': 5}
{'短评内容': '挺好，面积大、舒服。早餐的品种不是太多。', '短评打分': 5}
{'短评内容': '房间够大、非常宽敞。电视相对来说有点落后，而且这么大的房间，显的电视很小，节目清晰度也不够。', '短评打分': 5}
{'短评内容': '地处商业中心，交通方便。房间整洁干净。早餐也不错。出差旅行是不错的选择。', '短评打分': 5}
{'短评内容': '酒店餐饮提高了好多，涮锅很好吃，房间干净', '短评打分': 5}
{'短评内容': '房间宽敞明亮，是石家庄招待客人的首选酒店。', '短评打分': 5}
{'短评内容': '我的客人对酒店基本满意，但酒店餐厅关门比较早。', '短评打分': 5}
{'短评内容': '酒店不错，位于繁华的商业区，自助早餐种类还比较丰富。', '短评打分': 5}
