{'短评内容': '条件不错，离火车站挺近给，市政府就在对面，方便', '短评打分': 5}
{'短评内容': '早餐很差，只有馒头咸菜，米粥，不值得吃，我是专门买了早餐的，没想到那么难吃，不值28，房间不干净，服务，楼道脏', '短评打分': 1}
{'短评内容': '设施一般', '短评打分': 4}
{'短评内容': '交通方便，卫生也不错', '短评打分': 4}
{'短评内容': '早餐还行，管饱！', '短评打分': 4}
{'短评内容': '还是很不错的，老酒店了，不过房间很大，服务态度很好', '短评打分': 4}
{'短评内容': '很不满', '短评打分': 2}
{'短评内容': '交通便利，离东站和机场都非常近，房间够大。正在装修，秩序稍乱，有待加强;总体感觉价位稍高，若能在经济些对于商务出差是不错的选择。', '短评打分': 4}
{'短评内容': '酒店主要是到出差地方近，靠近市政府，虽然条件一般，设施也比较陈旧了，但周边吃饭还比较方便，价格很便宜，酒店也有早餐供应，这点不错。希望加强卫生。', '短评打分': 4}
{'短评内容': '看音乐喷泉，离得很近，交通方便。', '短评打分': 4}
{'短评内容': '太不合适价格也贵环境不好', '短评打分': 3}
{'短评内容': '酒店很旧，服务员态度不好，床单旧旧的，淋浴的水忽冷忽热，洗澡费劲的，离出差办事的地方近，只能将就，特别糟糕的住宿', '短评打分': 3}
{'短评内容': '交通便利，设施较差，价格较高', '短评打分': 3}
{'短评内容': '酒店位置交通还可以，设施有些陈旧了', '短评打分': 3}
{'短评内容': '酒店有点旧了，早餐还可以', '短评打分': 3}
{'短评内容': '离机场很近，交通方便。房间还行，有电脑可以之间上网。', '短评打分': 5}
{'短评内容': '距离自治区党政办公大楼较近，办事方便，房间环境一般', '短评打分': 5}
