{'短评内容': '挺好的，就是房间有点小', '短评打分': 5}
{'短评内容': '交通便利啊', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务热情，不错不错', '短评打分': 4}
{'短评内容': '房间太小了', '短评打分': 3}
{'短评内容': '房间很干净 还可以', '短评打分': 5}
{'短评内容': '生活就像一面镜子，你对他笑，他就对你笑，你对他哭，他也对你哭！人生或许有什么不如意，甚至痛苦比快乐还要多，在这繁华的都市里，也许只有这漆黑的夜，才能让我的心静下来，我曾把无数的快乐带给别人，可谁能知道舞台下的我也有孤独和寂寞，今天有些许感慨，但我要说：永不顺其自然而力挽狂澜！', '短评打分': 5}
{'短评内容': '生活就像一面镜子，你对他笑，他就对你笑，你对他哭，他也对你哭！人生或许有什么不如意，甚至痛苦比快乐还要多，在这繁华的都市里，也许只有这漆黑的夜，才能让我的心静下来，我曾把无数的快乐带给别人，可谁能知道舞台下的我也有孤独和寂寞，今天有些许感慨，但我要说：永不顺其自然而力挽狂澜！', '短评打分': 5}
{'短评内容': '不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。', '短评打分': 5}
{'短评内容': '不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。', '短评打分': 5}
{'短评内容': '非常好！  服务很满意，有问题及时解决！！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '总体感觉好。安静！不错！', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '挺好的。干净，卫生！    好评。美中不足的就是电视机不太好使，然后厕所排气扇不能用，洗澡的时候厕所太闷了。其他都很完美！', '短评打分': 5}
{'短评内容': '服务态度很好，环境也不错的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间干净卫生，出行很方便', '短评打分': 5}
{'短评内容': 'wifi不错，服务一直很好！给个赞', '短评打分': 5}
{'短评内容': '交通方便，服务好，入住满意', '短评打分': 5}
{'短评内容': '还行，卫生条件差', '短评打分': 4}
{'短评内容': '洗澡的地方渗水太慢', '短评打分': 5}
{'短评内容': '高端大气上档次，交通便利', '短评打分': 5}
{'短评内容': '就是停车不方便！其他挺好的', '短评打分': 5}
{'短评内容': '酒店在老城区，房间很安静。', '短评打分': 4}
