{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉', '短评打分': 5}
{'短评内容': '酒店服务可以，挺好的。', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '还不错，大床！', '短评打分': 5}
{'短评内容': '服务好，环境不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错，个人来说比较满意哈', '短评打分': 5}
{'短评内容': '不错，就是离市区比较远', '短评打分': 5}
{'短评内容': '服务态度挺好！挺好的', '短评打分': 5}
{'短评内容': '就还好吧挺实在', '短评打分': 4}
{'短评内容': '卫生间太小', '短评打分': 3}
{'短评内容': '还可以，就是厕所淋浴需要加个玻璃门', '短评打分': 5}
{'短评内容': '挺不错的，住了很多次了', '短评打分': 5}
{'短评内容': '还行，这个价格还不错', '短评打分': 4}
{'短评内容': '还行吧！', '短评打分': 4}
{'短评内容': '总体感觉还可以，也经济实惠！', '短评打分': 4}
{'短评内容': '总体感觉还可以，也经济实惠！', '短评打分': 4}
