{'短评内容': '环境好服务优，房间面积比较大.有阳台', '短评打分': 5}
{'短评内容': '很好的一个酒店。', '短评打分': 5}
{'短评内容': '酒店位置在别墅区中，环境幽静，有停车厂。', '短评打分': 5}
{'短评内容': '服务跟房间都还不错', '短评打分': 5}
{'短评内容': '环境优美，早餐丰富，有室内游泳池。', '短评打分': 5}
{'短评内容': '不错，来长寿一直住这家酒店``````', '短评打分': 5}
{'短评内容': '不错，来长寿一直住这家酒店``````', '短评打分': 5}
{'短评内容': '不错，来长寿一直住这家酒店````````', '短评打分': 5}
{'短评内容': '环境绝对没得说，酒店高大上，早餐品种丰富，特别是五彩早餐，酒店旁还有个很大的草坪，晚上在那里走走很舒服！！', '短评打分': 5}
{'短评内容': '感觉这个5星酒店有那么点勉强', '短评打分': 5}
{'短评内容': '来这里就住这家，满意', '短评打分': 5}
{'短评内容': '各方面都不错，性价比高', '短评打分': 5}
{'短评内容': '每次出差都住这里，已经习惯了', '短评打分': 5}
{'短评内容': '酒店环境清幽，依山傍水。大堂装修大气，房间宽敞。楼层大姐挺热情的，见面会微笑问好，感觉亲切。随行的行李比较多，还好门口的行李生够积极，主动上来帮忙拿行李还引领上房间，表现很专业。酒店的主题活动挺丰富的，圣诞节还没到就已经布置好了各种圣诞元素，傍晚还有酒店工作人员组织的绿跑活动，不过太冷了，我没去。另外，白天在酒店的草坪上举行了一场户外婚礼，温馨甜蜜浪漫，只是苦了那对新人，这么冷的天，穿得那么少。', '短评打分': 5}
{'短评内容': '非常好。强烈推荐亲子房，很有特色，房间也大，孩子们玩得也很开心。还准备了婴儿床，挺好的。尽管价钱有点小贵，但是比重庆市里面的酒店好太多。周边吃饭的地方，走一走也挺多的。我们定的没有早餐，也无所谓啦。可以出去吃一吃特色。也挺好。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '第二次入住，性价比高！设施不错，早餐一般，周边也没什么去处。打车去机场是礼宾部联络的，不便宜', '短评打分': 4}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '因为店名叫碧桂园，所以定了，不过还真是不错，没失望', '短评打分': 5}
{'短评内容': '房间很大，阳台也大，服务员态度都让人满意。挺好的，推荐！', '短评打分': 5}
{'短评内容': '相当不错，酒店服务好、环境也好，希望可以推出特价的单人房。', '短评打分': 5}
{'短评内容': '很好的酒店这个价钱太合适了', '短评打分': 3}
{'短评内容': '环境很不错，但是前台的服务跟不上，动作很慢，而且这次结账竟然碰上POS机不能用', '短评打分': 5}
{'短评内容': '碧桂园,没有无线宽带，中午到了说房间没打扫，房号告诉我了，晩上9点又来，房间还没打扫！换了一个临街的，看不到小溪，还吵!', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '在当地算不错的酒店了，就是离城区有点远，不好打车，要走出来', '短评打分': 5}
{'短评内容': '酒店装修很好，服务很好，环境不错，适合度假休闲，商务出行，很不错', '短评打分': 5}
{'短评内容': '比较清静，但服务态度一般。出酒店打车超级不方便，有时等一个小时都没有一辆出租车过来', '短评打分': 5}
{'短评内容': '酒店环境还是蛮好的，房间住着也很舒适，设施也很齐全，性价比也还是挺不错的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '性价比高，硬件设施很齐全，服务很不错，酒店大堂和房间装修的很到位，住宿条件蛮好的', '短评打分': 5}
{'短评内容': '酒店大堂装修的富丽堂皇的，房间挺大的，比较宽敞，服务很到位，比较人性化，住宿环境还行', '短评打分': 5}
{'短评内容': '大堂装修的有些欧式风格的，看起来比较豪华大气，周边环境挺好的，服务比较到位，房间硬件设施很齐全，也很宽敞，舒适度不错', '短评打分': 5}
{'短评内容': '不错，下次还回来，服务态度也很好，设施也不错', '短评打分': 5}
{'短评内容': '位置有点偏，路标指示不够明显，其它室内条件还不错.整体来讲还是比较达标的.', '短评打分': 5}
{'短评内容': '价格合适 离主要高速很近 服务一般（竟然五星级没开中央空调以入住客人少中央空调不开）由于是新酒店卫生不错。', '短评打分': 5}
