{'短评内容': '特别棒，连续住了两天。交通特别方便，离解放碑特别近。而且正好住到江景房。特别棒，以后得优选。', '短评打分': 5}
{'短评内容': '特别棒。以后优选星豪鸿。房间很大很漂亮。特别是床。超级棒，和男朋友去玩。看到房间的第一眼就爱上了这个房间，超级可爱。而且靠着江边，可以看到江景。离解放碑特别近。很棒很棒', '短评打分': 5}
{'短评内容': '比较干净', '短评打分': 5}
{'短评内容': '可以，房子很便宜，挺干净的，适合中小家庭入住', '短评打分': 5}
{'短评内容': '主题风不错值得推荐', '短评打分': 5}
{'短评内容': '不错  位置风景挺好的', '短评打分': 5}
{'短评内容': '没有早餐没有早餐', '短评打分': 5}
{'短评内容': '热水器水温不稳定，其他还好', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 3}
{'短评内容': '还不错。挺满意的', '短评打分': 5}
{'短评内容': '里头还行，位置挺好，出行方便。就是下水道味道大，厕所门关不上，标间。其他都还行。', '短评打分': 5}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '隔音不好', '短评打分': 4}
{'短评内容': '没电脑，', '短评打分': 4}
{'短评内容': '环境和位置都还是不错。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '空调声音比较大，还可以', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
