{'短评内容': '酒店出行方便，紧临地铁口', '短评打分': 5}
{'短评内容': '非常好，无论是硬件、卫生，还是服务，都非常值得推荐', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '第一次入住，房间干净，卫生，服务员有礼貌，价格实惠，总体感觉酒店不错，下次有机会还想住这里。', '短评打分': 5}
{'短评内容': '酒店很不错，床睡的很舒服！淋浴的也很大！赞！酒店很不错，床睡的很舒服！淋浴的也很大！赞！酒店很不错，床睡的很舒服！淋浴的也很大！赞', '短评打分': 5}
{'短评内容': '可以 服务很不错', '短评打分': 5}
{'短评内容': '房间设施设备还行，网络上订房前台给送的有自助餐券，早餐种类虽然少，但是感觉挺干净卫生的，总体上很好！！！', '短评打分': 4}
{'短评内容': '加强服务员自身素质教育', '短评打分': 4}
{'短评内容': '房间不够大气。', '短评打分': 5}
{'短评内容': '地理位置较好', '短评打分': 5}
{'短评内容': '位置不错，房间不错', '短评打分': 5}
{'短评内容': '都还不错！下次到准备再次入住！', '短评打分': 5}
{'短评内容': '酒店位于玉祥门外，旁边有条美食街。去机场相对方便', '短评打分': 4}
{'短评内容': '很不错的一家，送餐也很方便。', '短评打分': 3}
{'短评内容': '总体还是相当不错的，就是早餐很简单，网速慢，还有就是隔音差。希望后续能够在以上三个方面进行改善。交通很方便，适合商务出差！', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 4}
{'短评内容': '还不错 经济实惠  酒店里吃的东西也挺多口味挺好', '短评打分': 5}
{'短评内容': '酒店还不错，价钱也不是很贵，但是空调噪音有点大，可能是因为窗外是中央空调主机的原因吧', '短评打分': 5}
