{'短评内容': '还有烟头卫生也不是很仔细，洗脸台不能洗脸水漏不下去，服务态度也差，打电话半天也没有人来修理，不会再来这个酒店了', '短评打分': 1}
{'短评内容': '整体满意，提供瓶装水，房间有些颜色太鲜艳。', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '价廉物美 位置优越 干净整洁周边吃的选择比较多出行方便 服务态度很好前台热情 房间设施齐全方便 在上海这个价位有这表现的酒店让我有意外惊喜 续住成功', '短评打分': 5}
{'短评内容': '在上海这个价位酒店我觉得还是实惠的', '短评打分': 5}
{'短评内容': '真的很好，很舒服', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '感谢京东', '短评打分': 5}
{'短评内容': '一般一般一般一般', '短评打分': 5}
{'短评内容': '网上订购比较实惠，中午过了退房时间没有提醒退房。', '短评打分': 5}
{'短评内容': '网上订购就是方便省钱，支持一下', '短评打分': 5}
{'短评内容': '好发动机的最大的', '短评打分': 5}
{'短评内容': '好！两手空空，我的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'hao!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '法国分尴尬尴尬尴尬尴尬', '短评打分': 5}
{'短评内容': '仿佛地方反复反反复复', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '比较适合商务出差暂住。', '短评打分': 4}
{'短评内容': '还不错。临时入住。周围位置挺好。长途汽车站火车站很近。床上用品很干净，但是在房间看见了小蟑螂。整体还不错', '短评打分': 5}
{'短评内容': '还可以，服务态度也很好，值得推荐，酒店位于市中心火车站附近，交通便利，房间干净，布置温馨，相比同档次酒店，性价比很高。下次还会入住。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错就是有点隐蔽', '短评打分': 5}
{'短评内容': '很好，离开火车站也不是很很远，比较方便的', '短评打分': 4}
{'短评内容': '酒店不错离南站稍微远点', '短评打分': 4}
{'短评内容': '不怎么样，被子有点湿漉漉的，还不隔音', '短评打分': 3}
{'短评内容': '环境还好，卫生还好，价格合理', '短评打分': 3}
{'短评内容': '挺好 ，离火车站，汽车站都不远，吃也方便', '短评打分': 3}
{'短评内容': '还不错。卫生条件挺好的。里面走廊比较绕。总体还是挺不错的。', '短评打分': 5}
{'短评内容': '离火车站北广场距离合适，步行5分钟。酒店设备还可以。可惜离地铁有点远，而且比较难打到出租车。', '短评打分': 5}
{'短评内容': '地理位置很理想，方便要赶车的朋友。店内设施一般。', '短评打分': 5}
{'短评内容': '房间，对得起这个价格。周边环境不怎么样。不过，也算OK了。', '短评打分': 5}
{'短评内容': '无窗房。价格不错。周边环境不怎么样。不过，这个价格，可以了。', '短评打分': 5}
{'短评内容': '服务还不错，这个价位可以了', '短评打分': 3}
{'短评内容': 'diliweizhibucuo, erqie hen pianyi.ting hao', '短评打分': 5}
{'短评内容': '很实惠，而且地理位置可以,zuo huoche hen fangb', '短评打分': 5}
{'短评内容': '酒店位置很方便 ,设施虽然陈旧一点 ,但对得起这个价格 ,下次还入住 . ', '短评打分': 3}
{'短评内容': '不错不错，老板人很好的说，遇到问题argue下就解决了', '短评打分': 3}
{'短评内容': '房间比较小巧，毕竟只是128元的特价房。', '短评打分': 5}
{'短评内容': '还不错就是设施有点老', '短评打分': 3}
{'短评内容': '酒店很烂的 没有一点管理 晚上睡觉还会有人突然进到你房间 很可怕 当时就怒了 卫生很糟糕的 还跟管理人员吵起来 一点都不负责任 经理能压死你的那种  你到了他那就是奴隶一样  没一点尊重的 很坑人 ,当时就走了.', '短评打分': 1}
{'短评内容': 'dp88酒店空调也不行，打了一晚上一点也不热，洗澡水也不太热，还有就是宽带网无法接通，找了酒店经理处理了好多次，也搞不好，最后说拿设备测试一下，结果人就不来了，我们等啊等，已经都好晚了，还是不来，我们打电话催了催，还问我们什么房间，我看了时间已经晚上10点多了，给我的感觉就是给你拖延时间，最后我们说不要搞了。他们说好的，唉！酒店下一次我可不住了，什么玩意。房间卡也是有问题，找了后经理才搞定的。唉！', '短评打分': 1}
{'短评内容': '位置不错，房间也还好，就是设施旧了些，电视是大屁股的，管理也有待提高，好像外人进去也没人管', '短评打分': 5}
{'短评内容': '很好的，就是隔音不好，环境还好啦，交通方便', '短评打分': 5}
{'短评内容': '周围环境不太好，内部设备陈旧，下次不会考虑。', '短评打分': 1}
{'短评内容': ' 一直住那边，感觉不错', '短评打分': 3}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '这个价格还算合理，位置不错！下次还来住！', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 3}
{'短评内容': '第二次入住，还行。', '短评打分': 3}
{'短评内容': '房间比较精致，早餐环境很好，早餐点种类比较丰富', '短评打分': 5}
{'短评内容': '卫生太差劲了，服务态度还不好', '短评打分': 3}
{'短评内容': '有点象迷宫，房间指示不太好找。但卫生不错。性价比高，比边上的七天好，建议有机会多去住。', '短评打分': 5}
{'短评内容': '之前预定的由于房间有异味，所以换了一件大床房的，那么价格也就变成了168的，对于168的，我觉得性价比还是稍差了一些，房间的设施，包括电视都很老化，而且房间的间隔太紧凑了，隔音效果也不好~~~所以暂时不考虑再入住了。', '短评打分': 1}
{'短评内容': '128元双床，价格很不错~~洗漱用品也齐全，不过设施有些陈旧，卫生条件有些不尽如人意……我是当晚6点才电话订房的，能订到这个价格又很宽敞的，已经很满足了……', '短评打分': 5}
{'短评内容': '卫生条件有待提高，胜在地理位置较好。离车站很近！总体来说不错。', '短评打分': 5}
{'短评内容': '房间一般不值这个价钱没有优惠就是门市价', '短评打分': 3}
{'短评内容': '这个地方不错，中央空调温度有点高！环境可以物廉价美', '短评打分': 5}
{'短评内容': '不错，就是隔壁有点吵，隔音效果不怎么好，房间很大，不过垃圾没人收拾', '短评打分': 5}
{'短评内容': '交通很便利的酒店,而且房间也比较干净,出行方便', '短评打分': 5}
{'短评内容': '电视该换等离子了，不是小旅馆，那电视太土了', '短评打分': 3}
{'短评内容': '办理入住手续很快，环境不错。周围设施比较方便。唯一不足的就是入住需要向提供手机短信，需改进哦', '短评打分': 5}
{'短评内容': '感觉房间有点小，不过还算是可以的了 这价格不算高  上网电视洗澡就ok了', '短评打分': 5}
{'短评内容': '，酒店还不错', '短评打分': 3}
{'短评内容': '酒店地理位置好，服务优质，下次继续入住并向好友推荐', '短评打分': 5}
{'短评内容': '  还好！', '短评打分': 3}
{'短评内容': '酒店卫生整洁、装修布置都不错，就是隔音效果太差', '短评打分': 3}
{'短评内容': '房间很大！卫生间也很大 不错，下次还住这', '短评打分': 5}
