{'短评内容': '还可以，有点小贵', '短评打分': 4}
{'短评内容': '房间有点冷', '短评打分': 5}
{'短评内容': '地理位置很好找，住宿环境也好。', '短评打分': 5}
{'短评内容': '都还不错…', '短评打分': 4}
{'短评内容': '酒店周边方便，在丰田公司核心区域，同时有佳世客超市', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不含早餐，有停车场', '短评打分': 5}
{'短评内容': '给安排的大床房比直接订的还要大，有窗户，各设施齐全', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店离老公单位很近 附近配套设施挺全 好在有永旺 倒是很方便 说一说酒店吧 环境挺好 因为在基地里面 附近都是上班的人比较多 但周末上班的人比较少 也相对很安静 环境吗挺好的 屋内干净整洁 原本定了两间特惠房 临时升级了一下 没窗的房间有些味儿 开排风很久都没散去  空调的话不知道什么时候关了？早上起来有窗的房子冷 又叫前台把暖风开开了 前台的接待人员都不错 很热情 ', '短评打分': 5}
{'短评内容': '比较干净，商务区', '短评打分': 5}
{'短评内容': '就在丰台科技园里，办事情很便利，旁边是永和豆浆，吃饭很方便，环境还可以，离地铁站也不远，服务态度也很好订的无窗房，晚上有点闹。', '短评打分': 5}
{'短评内容': '不错的酒店，周边环境安静整齐。距离地铁站很近。购物餐饮也非常方便。尤其是到总部基地的核心区差旅的朋友。去往北京cbd也只要换乘一次地铁！', '短评打分': 5}
{'短评内容': '这家如家还是不错的。', '短评打分': 5}
{'短评内容': '如家品质一直如此', '短评打分': 5}
{'短评内容': '第二次来了，比较好找。房间比较小，进来后找了半天衣架，终于在卫生间找到了。有两瓶矿泉水，不错。房间暖气很足，甚至有点热。大床的一侧仅靠着墙，只能从另外一侧下床，不太方便，晚上隔音效果还不错，基本上没有噪音，适合商务出差短期入住。', '短评打分': 4}
{'短评内容': '不是很大，网线也不好用上不去网，不推荐使用', '短评打分': 4}
{'短评内容': '离公司近，环境还可以，前台办事效率一般', '短评打分': 5}
{'短评内容': '差评！暖气要打电话才给开，北京的冬天需要这样吗？没有热水，房间隔音基本没有，非常差的体验。如家管控做成这了已经？', '短评打分': 1}
