{'短评内容': '都还行吧', '短评打分': 4}
{'短评内容': '公寓楼住宿，停车很困难', '短评打分': 4}
{'短评内容': '很不错 ', '短评打分': 5}
{'短评内容': '位置不错，设施旧了，中转的好选择', '短评打分': 4}
{'短评内容': '开的麻将房，是个套间。面积还可以！麻将机很脏，打完麻将手上都是黑乎乎的！洗澡的玻璃门都没有！周边环境还可以！', '短评打分': 4}
{'短评内容': '挺好的，环境清净，交通便利。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '后面的停车场还是挺爽的！', '短评打分': 4}
{'短评内容': '位置比较方便，航空路旁边就是加油站。停车也比较方便，房间设施有点老，国庆期间房价都基本翻倍了，想不到。', '短评打分': 5}
{'短评内容': '过渡一下，一般。', '短评打分': 4}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '十分垃圾', '短评打分': 1}
{'短评内容': '因在艺龙上连订几家都被告知无房，想这家贵一些，服务设施会好一些，便选择了此家。结果被接受预订，好开心。十月二日入住，结果发现不是预订中所说的套房，而是麻将房，好吧，这是各地对套房认知的不同，我们也就认了。一家三口，一个大床肯定是睡不下的，问前台要了一床被子，爸爸只能睡沙发。晚饭后打开房门，亮灯，迎接我们的是四、五个大蟑螂，吓得女儿死活不愿进房，与总台协调换房，说一间也没有，要换也得第二天。第二天游', '短评打分': 3}
{'短评内容': '交通便利，房间比较舒适', '短评打分': 5}
{'短评内容': '给人很干净整洁的感觉，住起来挺舒服，特别是卫生间很大，地漏处理很科学，房间没臭味，给个好评，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店离火车站有半个小时的公汽车程，离恩施广场只有三站路，位置还是很方便的。房间硬件设施齐全，空调、液晶电视电脑和电吹风都有，', '短评打分': 3}
{'短评内容': '酒店环境很好，处于市中心，去哪里都很方便。住的是普通标间，洗手间很大的。床铺也非常干净。服务员态度也很好。由于是高层酒店，无论是早上还是晚上都是很安静的。唯一不足的是，洗手间没有干湿分离，洗完澡后，洗手间容易湿湿的。但还好，一会儿就会吹干了。总之还是很不错的。', '短评打分': 5}
{'短评内容': '床铺柔软适当，睡得比较稳\n\n网速不错 电信10M', '短评打分': 5}
{'短评内容': '本店较为科学 有房间朝街【视野开阔】 有房间朝内【安安静静} 供选择\n\n电信10M网 行\n\n卫生每日下午都有做 补充用具 不管住多少天都感到是刚入住一样', '短评打分': 5}
{'短评内容': '该店面朝大街，早上车比较多 会有些不安静 但是对于喜欢朝阳，视野开阔 而白天外出办事的人来说 不影响 本人愿意住靠近大街的房间', '短评打分': 5}
{'短评内容': '第八次入住该店，还行\n早上因为网络连接出故障，买卖双方都很理解，互不计较 好沟通\n给换了一间面积大一些的房间，房价还是按120每日的价格收的', '短评打分': 5}
{'短评内容': '该店较为正规，有一天去巴东无法赶回来住宿，经过沟通，按电脑计时收费半天\n\n把物品清出房间代为保管物品\n\n需要改进是，虽然床单是白色的，看上去干净卫生，但是床单和被套每日或者每两三天要及时更换，不要拖到一个礼拜或以上也不换，这不好\n\n另外该店活动有在搞，平时会员也有优惠 若是自助消费，或者消费多天的话 建议先打电话咨询有何减免房费的活动，或者到柜台开房时询问，这也许比网上下单或者会便宜不少\n\n当然网', '短评打分': 5}
{'短评内容': '对于商务酒店来说，普标每日【12小时制】成本估计在30元\n但是数倍的房费有其过人之处\n该店交通相对便利，当然这也和恩施市很小有关，估计在哪儿住，打车到市区地点都不会超过10元\n该店较为考虑房客要求，使用电话可以向前台提出建议和要求，这几天电脑在运行，要求其不拔取电卡，都有做到', '短评打分': 5}
{'短评内容': '在此入住3天了，每日都有点评\n算是推荐，免费宣传\n有意向入住者可以参考我前两项点评\n恩施市区非常小，也许不到佛山市的四十分之一，但旅店林立，可选性很多\n此家可以在激烈竞争中存活下来\n主要亮点是网速快，电卡和房卡都发给房客，出去可以保持屋内电脑运行程序或下载资料，每日有人打扫，洗澡还算便利，喷头有二个，价格不虚高', '短评打分': 5}
{'短评内容': '沐浴液和洗发液需要及时补充，\n卫生搞得还好，每天都有清扫\n交通还算便利，恩施特别小，不远，到汽车站和火车站有公交到达，\n恩施的旅店很多，这家可以说是其中一家，谈不上什么突出，但是住得还行', '短评打分': 5}
{'短评内容': '该店住房较好，准星级商务旅店，有取电卡和房卡两张，带电脑来的话出门可带上房卡，用取电卡取电，可以不断电下载，网速还行\n在网上下订单可以优惠8元，\n常来恩施的话，到柜台办张会员卡30元，每天节约18元\n【网上下单和办卡不可重复，店家的意思是选择一种优惠形式，恩施的旅店很多，来一回两回得话考虑网上下单，多的话要住该店可以办卡】\n建议热水壶用不锈钢的，看上去感觉好些', '短评打分': 5}
{'短评内容': '酒店条件一般，位置还可以，房间偏小，停车不太方便', '短评打分': 5}
{'短评内容': '  现以入住，房间条件相当好，很满意！', '短评打分': 3}
{'短评内容': '酒店位置不错，离航空路车站和硒都车站都很近。而且服务不错，有中央空调，干净卫生。到土司城打的只要6元钱。只是我们住的那间浴室的地板有点积水，而且门口的地毯都渗湿了。', '短评打分': 5}
{'短评内容': '7月15、16日住了两晚。这个酒店还可以，价钱不贵，比较干净！！！', '短评打分': 5}
{'短评内容': '这酒店是替朋友订的，朋友很满意，性价比较高。比上次替他订的成都的房强多了，赞一下！', '短评打分': 5}
{'短评内容': '物美价廉！达到二星半的标准，只要128.', '短评打分': 5}
