{'短评内容': '还可以.房间不错', '短评打分': 5}
{'短评内容': '还好了，感觉还不错', '短评打分': 5}
{'短评内容': '经常来住 其他都还行 早餐实在太差 连个面包都没 东西没了也不加 作为一个高档酒店 希望能重视早餐 别弄成一个早餐摊的标准', '短评打分': 5}
{'短评内容': '环境不错，值得入住！', '短评打分': 5}
{'短评内容': '房间设施陈旧，酒店名称改为xx假日酒店，晕。大冷天的，居然没有暖气，打电话给前台说设备故障，早说我就不去住了。早上结账又遇到维权的业主，在酒店大厅闹得沸沸扬扬，永不再去。', '短评打分': 3}
{'短评内容': '不错，京东定酒店便宜', '短评打分': 5}
{'短评内容': '设施有点旧，没以前好了', '短评打分': 5}
{'短评内容': '酒店不错，很棒！体验不错～', '短评打分': 5}
{'短评内容': '还行。。。', '短评打分': 5}
{'短评内容': '房间挺洁净，只是洗漱用品不到位', '短评打分': 5}
{'短评内容': '房间还算大，但是木地板很烂，198的房价还不送免费饮用水，结帐时还说自己从超市买的水是酒店的，很莫名其妙。', '短评打分': 4}
{'短评内容': '设施有点旧，空调不给力', '短评打分': 4}
{'短评内容': '哈哈哈哈好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整体挺好的，住着挺舒服', '短评打分': 5}
{'短评内容': '差，太中式，有点阴森的感觉，毛巾床单都破了，还没换，值得表扬的是中餐厅的服务还可以，羊肉烩面味道不错。不会再来了。', '短评打分': 2}
{'短评内容': '不错的酒店，干净清爽。', '短评打分': 5}
{'短评内容': '房间非常大，很干净，很上档次，家庭住非常合适。就是早餐不太好，非常一般', '短评打分': 5}
{'短评内容': '卫生间有头发。下雪天试了试有热水，脱了衣服没热水了，我打电话问，告诉我楼下自来水管爆了，空调制热能力不行。', '短评打分': 3}
{'短评内容': '挺满意的', '短评打分': 5}
{'短评内容': '很好！很满意！', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 4}
