{'短评内容': '很不错的度假村，房间的落地窗贴近东钱湖，帆船，海鸥，水声，芦苇，私人沙滩，很棒的住宿体验！', '短评打分': 5}
{'短评内容': '有点失望哦', '短评打分': 4}
{'短评内容': '酒店停车场至酒店指示不明显，停车场也没人。酒店房间小，椅子有点脏。去的那天有雨有雾，湖上只见白茫茫一片，第二天早上看到湖水和远处的山峦，晴天酒店里观景应该不错。早餐品种少，不过酒店客房少，可以理解，早餐服务挺好。', '短评打分': 3}
{'短评内容': '环境真心不错，海景房面朝湖面', '短评打分': 5}
{'短评内容': '房间还干净', '短评打分': 5}
{'短评内容': '很喜欢', '短评打分': 5}
{'短评内容': '真的很棒，环境好 服务好 很适合亲子度假 下次继续光临', '短评打分': 5}
{'短评内容': '就是阳台在露天没怎么打扫吧，有蜘蛛网', '短评打分': 4}
{'短评内容': '房间很不错，风景也很好，很喜欢', '短评打分': 5}
{'短评内容': '非常漂亮……朋友都很满意！', '短评打分': 5}
{'短评内容': '酒店好像营业不久，连大堂都不象样子，房间一般，就是用歺还可以。', '短评打分': 3}
{'短评内容': '酒店的服务态度非常好，经营内容也比较独特，但稍显单调一点，价格有点小贵。', '短评打分': 4}
{'短评内容': '酒店我可以这样说：幽静优美，舒适整洁，清新淡雅怡人。', '短评打分': 4}
{'短评内容': '蚊子太多了', '短评打分': 4}
{'短评内容': '推荐，不错的度假酒店。', '短评打分': 5}
{'短评内容': '酒店装修环境都不错，服务也很好。就是位置有点偏。', '短评打分': 5}
