{'短评内容': '晚点到修改了时间', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '还可以，就是浴室门没装好，洗澡水撒外面，差点滑倒！', '短评打分': 4}
{'短评内容': '是洋哥酒厂的下属单位，周边很偏。交通不是很方便', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间设施一般蚊子虐好多', '短评打分': 3}
{'短评内容': '每次都是出差必然会选择的酒店，，性价比没得说，服务也很好，早餐也好的，基本都挺满意的。。。。。。。。', '短评打分': 4}
{'短评内容': '道路交通不是太方便，卫生情况尚可，其次周边没有好的酒店，相比之下算不错', '短评打分': 4}
{'短评内容': '定的最后一间，里面实在不咋样，', '短评打分': 3}
{'短评内容': '环境不错，性价比很高，以后还会入住', '短评打分': 5}
{'短评内容': '环境不错蛮好，价格有些偏高，地段差了点', '短评打分': 3}
{'短评内容': '价格实惠，环境卫生也不错', '短评打分': 3}
{'短评内容': '酒店的墙壁都潮得发霉了', '短评打分': 3}
