{'短评内容': '环境还可以，服务一般般', '短评打分': 4}
{'短评内容': '房间干净，经济实惠', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店已经比较老了，单间中间树了根柱子抵着床，很不舒服，睡觉老感觉站着个人。周围环境还算安静，但是房间不隔音，隔壁打呼听得很清楚，唉。', '短评打分': 4}
{'短评内容': '周边修路', '短评打分': 4}
{'短评内容': '来这里都住这里，很好的环境，房间很大，而且装修不错，就是我们觉得有点旧，不过价格摆在那里，这种价格没的说咯', '短评打分': 5}
{'短评内容': '房间还可以，只是路段正好修路，不是很安静', '短评打分': 4}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '丹阳市大概算性价比还可以的了', '短评打分': 5}
{'短评内容': '前台太不专业了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '毛巾破，淋浴间门不密封，卫生一般', '短评打分': 2}
{'短评内容': '毛巾发黑，淋浴间下水不畅', '短评打分': 2}
{'短评内容': '优势：地处丹阳市中心，临近中心广场，旁边就有大超市，非常方便。床和枕头都非常舒服，睡眠质量很好。：劣势：房间洗澡间排水太慢，没有地垫。有台阶处没有明显告示，我差点蹩脚了下。早餐非常一般。这种价格168还有点小贵，不过此酒店主营好像也不是住宿。', '短评打分': 5}
{'短评内容': '房间很好清爽舒服物有所值', '短评打分': 3}
{'短评内容': '总体还行，对面公园早上可去玩玩。总体还行，对面公园早上可去玩玩', '短评打分': 5}
{'短评内容': '很好，到了之后没有之前定的房间了，但是前台说直接升级了，而且态度也很好。', '短评打分': 5}
{'短评内容': '环境很好，很不错。房间装修的也让人感觉比较舒服。', '短评打分': 5}
{'短评内容': '24平方大床房，设施比锦江同档次好。有窗，就是得打车才能找到，反正也是起步价。', '短评打分': 5}
{'短评内容': '洗澡无热水供应，水开很长时间也不热。淋浴笼头是坏的。不能上网，电话机没电池，不能打电话。比较潮湿，好像很久没人住过一样。服务质量一般。', '短评打分': 1}
{'短评内容': '还行吧，就是早餐太简单了................', '短评打分': 5}
{'短评内容': '总体不错哦总体不错哦总体不错哦总体不错哦总体不错哦总体不错哦总体不错哦', '短评打分': 5}
{'短评内容': '环境不错，服务也算及时。就是房间内通风设备噪声较大，房间不透气。', '短评打分': 5}
{'短评内容': '非常满意,性价比很高.印象最深的是42寸大液晶彩电.早餐也很好', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '小酒店，有点偏。其他常驻酒店都满房，没办法。但也没有什么不好的感觉。原本也没期望太多。', '短评打分': 1}
{'短评内容': '602房间蛮大的 就是有点吵。602房间蛮大的 就是有点吵。', '短评打分': 5}
{'短评内容': '一般的酒店，要求不高的话住住还可以，价格在150左右更有竞争力', '短评打分': 5}
{'短评内容': '不错的酒店，房间内饰还不错，床也比较舒服，这个价格性价比算可以的了。下次还会住', '短评打分': 5}
{'短评内容': '很一般的酒店。在这种小地方，应该也不算便宜的，可是设施什么的，真的不敢恭维', '短评打分': 1}
{'短评内容': '一个字“中”！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '总体感觉不错，就是卫生间洗澡的地漏太慢，洗个澡，积水都能漫过脚面。', '短评打分': 5}
{'短评内容': '住住还好的，但是热水不是很热，半天都不见反应，希望改进。其它还可以吧。', '短评打分': 5}
{'短评内容': 'fenfvutvnbtrbvbvbvybvtyv', '短评打分': 5}
{'短评内容': '12345678900987655443232', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，客房舒适、整洁，唯一欠缺的是早餐太过简单，直接降低了酒店的档次，希望能有所改进。', '短评打分': 5}
{'短评内容': '条件不大像4星标准，顶楼的房间灰尘比较大，房间设施还可以，酒店KTV在地下，但是晚上在8楼还是能听见', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '到丹阳一直住的地方，客房和环境都不错，值得推荐！', '短评打分': 5}
{'短评内容': '客房干净整洁，环境尚可，到丹阳经常来住。', '短评打分': 5}
{'短评内容': '整体很不错，位置稍微有点偏，早饭最近几次都不是很好。', '短评打分': 5}
{'短评内容': ' 位置偏了点 早饭越来越差 别的不错 在丹阳算不错的了.', '短评打分': 3}
{'短评内容': '因为客观原因没有空调  热水供应也不好 但应提前告知 并至少有优惠 毕竟服务质量降低了 希望以后加强服务', '短评打分': 3}
{'短评内容': ' 蛮好的，就是有点偏', '短评打分': 3}
{'短评内容': '总体还行 但卫生间热水实在不行 ', '短评打分': 3}
{'短评内容': '入住的商务间比较好 价格合适 下次还订住', '短评打分': 3}
{'短评内容': '环境比较舒适，就是光线太暗，采光不是很好。另外酒店外施工有噪音干扰不是很理想', '短评打分': 5}
{'短评内容': '金色阳光酒店服务态度好', '短评打分': 3}
{'短评内容': '以入住价格来看，该酒店的情况尚可。有两情况提出：一是淋浴间去水太馒，水浸脚。二是没有冷气却盖棉被，半夜热醒。应加设一簿被。', '短评打分': 5}
{'短评内容': '一如既往的感觉，干净，安静！洗澡的时候地漏盖子要拿开，不然水流不出去！', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错还不错', '短评打分': 3}
{'短评内容': '唯一的不足是淋浴时水不热，其他的都好。位置、设施、卫生、服务都很到位。', '短评打分': 5}
{'短评内容': '房间还可以，空气一般。总体还算过得去。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '整体感觉不错，由于之前住过，所以还想推荐。', '短评打分': 5}
{'短评内容': '很不错，就是酒店空气通风设施稍欠一点，这方面可以改进一下', '短评打分': 3}
{'短评内容': '感觉不错，就是房间空气质量一般，有待进一步加强通风设施', '短评打分': 5}
{'短评内容': '丹阳一个小城市可消费不低，这个酒店也要200大元一晚啊，相对来说还算干净，餐饮是大酒店那种高价型的，不适合差旅人士', '短评打分': 5}
{'短评内容': '整体环境和服务与大城市两三百元酒店的水平差不多，下次还会住的地方。', '短评打分': 5}
{'短评内容': '早餐很差的，品种少，没有什么可口的。宽带有问题。', '短评打分': 1}
{'短评内容': '总得来说，很干净，周围也蛮肃静的。距离车站很近，下次考虑入住。', '短评打分': 3}
{'短评内容': '该酒店为新开的,房间比较新.最神奇的是晚上忘了关车窗,东西居然没有偷走,万幸啊!', '短评打分': 5}
{'短评内容': '金色阳光大酒店总体还不错，性价比尚可。但房间隔音不好，早餐也一般。', '短评打分': 5}
{'短评内容': '房间很干净，周围环境也不错。距离车站很近，以后还考虑入住\r\n', '短评打分': 5}
{'短评内容': '总体感觉不错，卫生、交通、环境都可以接受。就是早餐一次不如一次。', '短评打分': 5}
{'短评内容': '1、早餐尚可\r\n2、隔音不够好\r\n3、酒店位置距沪宁高速丹阳出口便捷', '短评打分': 5}
{'短评内容': '环境和舒适度都挺不错。', '短评打分': 5}
{'短评内容': '服务态度很差，卫生也很一般，节目居然可以点播成人节目！', '短评打分': 3}
{'短评内容': '卫生设施不错，临街很吵，性价比一般', '短评打分': 1}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '酒店大堂和房间硬件比想象的好，可以看出店家想按4星标准装修，但酒店规模较小，房间卫生间下水道不畅，向外漫水，洗澡热水要喊服务员来调；冰箱未设；隔音效果不好；房间有异味。总体水平可以算3星，比如家强，性价比还可以。\r\n其实丹阳总的来说没有太好的酒店，就算是丹阳金陵也不能令人满意，价格可是贵多了。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '随便住住的经济型酒店.', '短评打分': 5}
{'短评内容': '去丹阳，这家店是我首选', '短评打分': 5}
{'短评内容': '住了两天，还不错。', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '外观普通，但内部设施齐全，比较干净。', '短评打分': 5}
{'短评内容': '总体感觉不错，骚扰电话少一些会更好！', '短评打分': 3}
{'短评内容': '每晚会收到莫名其妙的骚扰电话不是很好', '短评打分': 5}
{'短评内容': '性价比很高！', '短评打分': 5}
{'短评内容': '说的过去而已', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 3}
{'短评内容': '非常不错的酒店', '短评打分': 3}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '总体不错，位置稍偏', '短评打分': 3}
{'短评内容': '总体还是不错的。就是很多项目需要额外收费。有点贵！', '短评打分': 5}
{'短评内容': '离市区华帝很过，是个不错的落脚之地。单价合理。', '短评打分': 3}
{'短评内容': '酒店如果能在隔音效果方面再考虑下,会更好!', '短评打分': 5}
{'短评内容': '镜子前面增加照明。上午结账高峰时段增加前台人员。', '短评打分': 5}
{'短评内容': '还是挺好的', '短评打分': 3}
{'短评内容': '位置太偏打的不方便', '短评打分': 1}
{'短评内容': '很好，常住。', '短评打分': 5}
{'短评内容': '酒店价格不贵，住的也安静，就是早餐不好', '短评打分': 5}
{'短评内容': '经济酒店的价格, 却比某些所谓四星级酒店更干净舒适', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '网线接头需要更新镜前需要加装照明卫生间美容镜前需要加装照明', '短评打分': 5}
{'短评内容': '酒店服务非常好，设施条件和位置都还可以，所以还是考虑的。', '短评打分': 3}
{'短评内容': '非常不错~ 新房，值得推荐', '短评打分': 5}
{'短评内容': '总体感觉可以，无论人员服务和环境都不错，性价比还可以', '短评打分': 3}
{'短评内容': '确实不错，值得推荐！', '短评打分': 3}
{'短评内容': '还不错，对于一个县级市来讲已经很舒适了！', '短评打分': 5}
{'短评内容': '一个县城能有这样的酒店蛮不错的了，\r\n但据说还有同类型的酒店，\r\n不过我没去住过，\r\n就觉得金色阳光蛮不错的。', '短评打分': 3}
{'短评内容': '房间设施堪比五星级', '短评打分': 5}
{'短评内容': '酒店不错，前台小姐很漂亮，酒店设施比较新比较干净', '短评打分': 5}
{'短评内容': '县级市这样的酒店算是不错的了，下次去丹阳还会住那。', '短评打分': 5}
