{'短评内容': '很不错，房间里面还有玩沙滩的玩具给小孩玩', '短评打分': 5}
{'短评内容': '订的是两房一厅的套房，是在居民楼里的。离内厝澳码头很近，老板来码头接。房间很干净，舒服，周围有很多吃的。', '短评打分': 4}
{'短评内容': '老板和老板娘都很好,很和气,地方很幽静', '短评打分': 5}
{'短评内容': '环境不错，离海沙滩挺近的，店家很热情。', '短评打分': 5}
{'短评内容': '第一次在鼓浪屿上面住，带着宝宝和妹妹妹夫，说实话居住环境挺差的，主要看中是两室一庭', '短评打分': 3}
{'短评内容': '房子靠近内厝奥码头，刚好遇上下雨天，粘粘感觉，房子很温馨', '短评打分': 5}
{'短评内容': '很干净，很好，五个人住下了', '短评打分': 5}
{'短评内容': '带父母和孩子一起出来玩。第二次来厦门，第一次住鼓浪屿上，对住宿没抱太大希望，大多是老房改造的民宿，房间简陋、面积狭小。 临上岛前才看到这家店，套房很适合我们三大一小，果断取消了之前定好的旅馆。匆匆看了网上的图片和评论，总体都符合自我需要，其他带有个人情绪的的主观意识，基本可以无视。 到了内厝澳码头，文气的老板黄小姐就在码头接我们，路上我们就开聊了，她很健谈，到了房子我们还聊了很久……几分钟到了房子', '短评打分': 5}
{'短评内容': '老板很热情，提早发短信通知注意的事情，房间也很干净，虽然离景区远了点，但是价格nice，适合拖家带口的旅游，推荐！', '短评打分': 3}
{'短评内容': '很好的一次住宿，老板人很好，提前就约好接我们，走路过来真的不远，是一个小区，进门一看就有家的感觉，很适合家人，大概孩子的，情侣入住，老板还说了一些攻略，很好，推荐', '短评打分': 3}
{'短评内容': '很不错的房间，很宽敞，就是空调声音有点大', '短评打分': 5}
