{'短评内容': '舒适、出行方便、已经入住好几次、到昆就选达陈。', '短评打分': 5}
{'短评内容': '舒适、出行方便、已经入住好几次、到昆就选达陈。', '短评打分': 5}
{'短评内容': '集体出游预定的，价格变化比较快，要预定早点下单，否则后面价格就上去了，便宜房间没有了，年纪大的人说不错', '短评打分': 4}
{'短评内容': '集体出游预定的，价格变化比较快，要预定早点下单，否则后面价格就上去了，便宜房间没有了，年纪大的人说不错', '短评打分': 4}
{'短评内容': '集体出游预定的，价格变化比较快，要预定早点下单，否则后面价格就上去了，便宜房间没有了，年纪大的人说不错', '短评打分': 4}
{'短评内容': '除了wifi太差太慢，其他都挺好！', '短评打分': 4}
{'短评内容': '经济实惠，卫生环境都还不错。性价比较高', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '去住很多次了  单间没有了免费给升级了豪华单间  服务态度超级好', '短评打分': 5}
{'短评内容': '入住时周边在修路找入口绕了挺长时间，地段一般，价格经济实惠，房间宽敞可观夜景无异味，设施服务有待提高', '短评打分': 3}
{'短评内容': '正在修地铁，有点吵', '短评打分': 4}
{'短评内容': '酒店位置很好，离地铁站很近，几分钟就到，不过周围在施工，酒店也没有明显的招牌，第一次住可能有点不好找，好在是老住户了，没有问题的。附近到金马碧鸡，商业街很近，值得推荐。', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常棒的酒店，昆明首选。。。。。', '短评打分': 5}
{'短评内容': '还不错，看演唱会很近', '短评打分': 4}
{'短评内容': '房间大，设施全，交通便利，性价比较高。就是卫生间有点挤，可能是电热水器较占空间。', '短评打分': 5}
{'短评内容': '很不错，环境很温馨', '短评打分': 3}
{'短评内容': '不错，总体感觉很好。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '一塌糊涂,立刻换酒店,根本不是星级酒店,不过是把别人用过的办公室改成酒店', '短评打分': 3}
{'短评内容': '总体感觉还不错，房间很大，居家过日子的类型，微波炉、洗衣机、冰箱、灶台都有。但是美中不足的是早餐太差，服务跟不上，已经付过续房费，夜里居然打电话要求补费。早上结账居然没有发票纸了，差点耽误飞机。', '短评打分': 5}
