{'短评内容': '这个酒店第一次住，靠着办事的地点，还不错。旁边豆菜桥小巷子里小吃多，豆腐脑超好吃。还有生煎包也很好吃。', '短评打分': 5}
{'短评内容': '这个酒店第一次住，靠着办事的地点，还不错。旁边豆菜桥小巷子里小吃多，豆腐脑超好吃。', '短评打分': 5}
{'短评内容': '还是不错的，去哪里很方便！', '短评打分': 5}
{'短评内容': '729房间窗口外的空调声音和飞机发动机有的一拼，没人敢开空调睡觉。想换房也没有，从没有这么郁闷！', '短评打分': 3}
{'短评内容': '第一次在京东上下单定酒店，不错', '短评打分': 5}
{'短评内容': '位置不错，周围有好多店，离市中心也近。', '短评打分': 5}
{'短评内容': '比对面的七天要好一些，不过刚装修完味道特别大，孕妇小孩不要考虑，而且非会员必须12点前退房，不合理！', '短评打分': 5}
{'短评内容': '还不错，体验也很好，值得好评！', '短评打分': 5}
{'短评内容': '还不错，体验也很好，值得好评！', '短评打分': 5}
{'短评内容': '很好，服务态度很棒', '短评打分': 5}
{'短评内容': '不行', '短评打分': 5}
{'短评内容': '态度好好', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '很方便的，价格也便宜，不错，支持京东！', '短评打分': 5}
{'短评内容': '在附近出差，酒店地理位置超好，离新街口上海路地铁站都近，但是晚上算比较安静了，闹中取静，住了好几次了～', '短评打分': 5}
{'短评内容': '还凑活吧，如家的正常水平', '短评打分': 5}
{'短评内容': '空调不好', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '总体满意了！', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '很好，坐电梯还要刷卡，比较安全。不过房间只有一个小窗户，不够透气', '短评打分': 5}
{'短评内容': '一直喜欢这个。', '短评打分': 5}
{'短评内容': '蛮好的，房间挺干净的，就是有点太小了', '短评打分': 5}
{'短评内容': '闹中取静，出行还算方便，工程师还算满意??', '短评打分': 4}
