{'短评内容': '前台服务很贴心，好评', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '人亦惊天地う人亦惊天地う人亦惊天地う人亦惊天地う', '短评打分': 5}
{'短评内容': '无语的酒店，特别尴尬', '短评打分': 1}
{'短评内容': '很实惠！不错！不错', '短评打分': 5}
{'短评内容': '绝对值得的一次消费', '短评打分': 5}
{'短评内容': '环境不错，卫生服务好！！！', '短评打分': 5}
{'短评内容': '干净，卫生，非常好的环境！', '短评打分': 5}
{'短评内容': '酒店服务周到，提出的事情很快得到回复。房间设施齐全，房间空气质量还可以，房间卫生打扫的干净，被子、枕头干净。', '短评打分': 5}
{'短评内容': '要个衣架也要自己到服務台拿，吹风机也是坏的，也要到服务台自己拿，郁闷，隔音差，隔壁房間用水也是听的很清楚。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还行吧，去的时候在装修，味道比较大，电梯有点吓人', '短评打分': 4}
{'短评内容': '很好的一次住宿哦。提前打电话预订了2天。睡得很舒服。床很大，设施很齐全，房间很干净整洁，然后地理位置很好啊，有这样的价格真的很好很好咯。下次还去那。', '短评打分': 5}
{'短评内容': '很好，设置合理，住宿舒心方便。', '短评打分': 5}
{'短评内容': '很不错，地理位置也好 交通也很不错', '短评打分': 5}
{'短评内容': '出差一直住的，方便而且习惯了。', '短评打分': 5}
