{'短评内容': '还可以吧下次再去', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间大小还行，设施不行暖气一点不热空调制热也不行被子应该是夏天的被子很薄&amp;hellip;&amp;hellip;', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没早餐', '短评打分': 5}
{'短评内容': '服务员态度好', '短评打分': 5}
{'短评内容': '住起来挺舒服的，就是房间隔音效果不是很好', '短评打分': 5}
{'短评内容': '很多东西都是坏的  房间有异味  连马桶都是坏的总之很烂 再也不想定了  要定酒店的朋友建议还是不要选这家   价格有没比别的地方便宜   环境还那么烂', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没有吹风机啊，吹风机', '短评打分': 5}
{'短评内容': '还行', '短评打分': 2}
{'短评内容': '环境一点都不好', '短评打分': 1}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '位置太偏!环境还行。', '短评打分': 3}
{'短评内容': '老板和老板娘都很热情，热心的帮我讲解当地的情况，很是受益，期待下次有机会再去O(∩_∩)O~（ps：老板写的公交转乘方式我留着了哦！）', '短评打分': 5}
