{'descr': '很好的地方，交通方便', 'star': 4}
{'descr': '出行方便，在市中心，酒店位置很好找，前台接待也很热心，带孩子去考试，离学校很近，是一次不错的旅行，下次继续', 'star': 5}
{'descr': '房间长时间不透气，一股子味道，太难闻了，真心一般', 'star': 4}
{'descr': '一般吧，房间里有股长时间捂得味道，来了半天窗户也不行', 'star': 4}
{'descr': '环境很好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '其它可以，无线网不好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '差不多', 'star': 5}
{'descr': '不错，挺好的', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '干净卫生', 'star': 5}
{'descr': '隔音差，还有吹风太难用了，隔一分钟就断电', 'star': 4}
{'descr': '电吹风太垃圾，卫生间太垃圾，其他凑合', 'star': 4}
{'descr': '非常棒的酒店，各个方面都很出色，地理位置很优越，距离我办事的地方不到一百米。下次来还想入住。非常完美！', 'star': 5}
{'descr': '免费给升级为高级大 挺不错', 'star': 5}
{'descr': '挺好的', 'star': 4}
{'descr': '适合商旅人士，办理入住非常快速，方便，节省时间，服务好，住着舒心，早餐也很丰富', 'star': 5}
{'descr': '来过几次了，推荐给身边朋友都住这里，地理位置好，离柳巷很近，离小吃街也很近，溜达溜达就过去了，非常适合出来玩的朋友，房间也很新，设施设备完好。', 'star': 5}
{'descr': '真心不错，房间宽敞，明亮，无异味，服务周到，细心，热情，在快捷酒店里非常优秀的，下次还会再来', 'star': 5}
{'descr': '出来玩的首选入住地，离商业街柳巷，小吃街都很近，房间不临街，安静，暖和，无线网给力，服务一流，', 'star': 5}
{'descr': '春节期间价格不太贵，停车及上网免费，而且一张1.5米的大床和一张1.2米的床，非常适合三口之家入住，房间的环境也非常好，超值。', 'star': 5}
{'descr': '房间装修很一般，位置还不错。早饭在7楼很难吃，只有一个炒饭可以吃', 'star': 5}
{'descr': '位置比较好，前台的女服务员态度也很好，临街隔音效果不好', 'star': 5}
{'descr': '一般吧，就是离开会的酒店近，前台的女服务员不停地极力推荐她家的会员，就这一点比较纠结，由于临街，隔音效果不好，其他尚可', 'star': 5}
{'descr': '方便、方便、还是方便。相对来说，网络有些不给力', 'star': 5}
{'descr': '还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，还行，就是房间小，', 'star': 5}
{'descr': '挺好的，离繁华的柳巷大概20分钟公交车程吧，在柳巷北站下车还能吃到郝刚刚，酒店干净整洁，也挺安静的，总体来说很满意', 'star': 5}
{'descr': '不错，位置非常好，出门就是国贸大酒店，上班方便。', 'star': 5}
{'descr': '环境还可以，床蛮大的，就是价位相对较高，电视比较旧。', 'star': 5}
{'descr': '一般般，普通快捷酒店那样，干净简单，也没什么特别的地方，年轻人或者出差过一晚还不错。酒店位置还不错，不过太原的交通实在是不方便。', 'star': 5}
{'descr': '房间小，服务一般，晚上暖气供应不正常，时有时无；冷，要求加被子，告知没有。', 'star': 1}
{'descr': '地点在煤炭大厦边上，很方便，附近有便利店，煤炭大厦一层有火车票代售点，也很方便。酒店一楼有免费的电脑可以上网，凭房卡可以连续使用1小时，还可以少量地免费打印5张纸。如果是金卡会员，八楼提供免费的早餐，如果不是，15元一次，自助餐，还不错。屋里很宽敞，冬天也挺暖和的，前台和其他人都非常友善，有什么问题处理起来也很灵活，比较人性化。', 'star': 5}
{'descr': '很失望了，服务员态度不错，但房间设施陈旧，和其他店不能比，同样的价格不同样的条件实在失望得很，交通还算方便，地处比较繁华。', 'star': 1}
{'descr': '地方不错，干净卫生，服务业还可以，性价比较高。', 'star': 5}
{'descr': '交通很便利，但是里面有点旧，被子和毛巾都是，比较不爽', 'star': 5}
{'descr': '毛巾很旧，已经有些发黑了，枕套上也有黄色斑点\n房间较小，没地方放随身携带的箱子\n宽带简直比蜗牛还慢，打开badiu的首页都费劲', 'star': 1}
{'descr': '定的周日特价房，房间不大，但是卫生间的设计很节约空间，也不觉得拥挤，床不算大但是2个人睡还是可以的。挺不错的房间。', 'star': 5}
{'descr': '服务态度很好，只是边角的房间显得有点小，布局太紧凑', 'star': 5}
{'descr': '连个停车的地方也没有....而且府西街那个堵啊.\n为什么没有拖鞋呢  只有纸的  那洗澡怎么办  需要改善 \n电视是变色的 看的我眼睛那个绿啊', 'star': 1}
{'descr': '家庭房满意!早餐15元实惠,热水很好,就是没有停车场,不过旁边有一个要收费,1小时2元.自驾的朋友要注意哦!', 'star': 3}
{'descr': '   这家酒店比石家庄中山东路店还便宜39元，但条件比那还好。首先它的外观要整洁鲜亮一些，其次它百元房间干净而且有窗，房间布置风格虽然大同小异，但因为通风干净，它给人的感觉更舒适一些。\n   它的地理位置一般，虽然门口有车站，但到晋祠等景点则要倒车，不如火车站附近来得方便一些。', 'star': 5}
{'descr': '酒店位置很好，有食宿所必须的，不错很好！！', 'star': 5}
{'descr': '家庭房的小床也不小啊，不错，下回还住。就是价格能稍微便宜点就更好了。', 'star': 5}
{'descr': '商务酒店的首选，反正我是这样，汉庭一直都可以放心住。', 'star': 5}
{'descr': '很好 关键是便宜啊 而且处于城市繁华地段 周围干啥都很方便', 'star': 5}
