{'短评内容': '服务态度很好。宾馆设施不是很新，但是很干净！', '短评打分': 5}
{'短评内容': '环境一般，空调噪音很大，因为和古城近，价格偏高', '短评打分': 4}
{'短评内容': '水温不热，马桶冲水不行，空调不太热，房间电脑应该就是摆设，开了一夜都没打开。各种电视机空调遥控板电池电量不足', '短评打分': 3}
{'短评内容': '水温不热，马桶冲水不行，空调不太热，房间电脑应该就是摆设，开了一夜都没打开。各种电视机空调遥控板电池电量不足', '短评打分': 3}
{'短评内容': '房间空调噪音有点大，内部倒挺发大的，春节期间价格有点贵，建议可以稍微住的远一点，环境应该差不多，但是价格会便宜', '短评打分': 4}
{'短评内容': '大家千万不要住这家酒店，床单上有头发、小虫子，浴巾上也有头发卫生及差，卫生间淋浴房玻璃坏掉了。用三个字评价，脏、乱、差。', '短评打分': 1}
{'短评内容': '一般般，还好！', '短评打分': 4}
{'短评内容': '环境还算安静', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '一般般，节日价格高', '短评打分': 4}
{'短评内容': '上当受骗，就是乡村60元的宾馆。还160左右。第一个房间进去床单被套没有换。有阳台小偷可以进来，要求换第二次第二个房间，结果第二个房间空调水跟下小雨一样往地板上流，声音很响。可笑的是服务员叫我们将就一晚上。说没有房间了。在没有办法想离开的时候自己叫来了他们老板。才给我换房间，结果床单被套也没有换。打电话没有线，用自己手机打叫总台服务员，结果总台说没有服务员，下班了，自己跑下去要了床单被套自己换，把', '短评打分': 1}
{'短评内容': '私家开的宾馆，设施还可以，洗澡水不热，被子很薄！', '短评打分': 3}
{'短评内容': '此酒店就一个字：脏！', '短评打分': 2}
{'短评内容': '入住三人间，洗漱间玻璃是透明，遮挡也不行，比较尴尬，毛巾等特别脏。隔音也差。价格高的离谱，若有其他选择，还是不住这店', '短评打分': 3}
{'短评内容': '设备不错厕所透明比较刺激……………朋友那间墙上有水印，而且小，像是隔出来的房间，差些。', '短评打分': 3}
