{'短评内容': '还不错，可以的。', '短评打分': 5}
{'短评内容': '酒店就俩壁灯，特别暗，然后锁门出去吃早点，服务员竟然开门把房间打扰清理了，回来一问，竟然说以为我们退房了。。。无语，不是太干净。', '短评打分': 2}
{'短评内容': '服务太差 网上订还收押金 服务不好！上班玩王者，借热水前台没有，房间卫生间特别臭！前台还乱报价！', '短评打分': 1}
{'短评内容': '环境非常好，房间的装饰也非常新颖，太棒了', '短评打分': 5}
{'短评内容': '酒店环境一般。', '短评打分': 3}
{'短评内容': '还不错哦', '短评打分': 4}
{'短评内容': '旺季价格比较合理，小木屋很特别，就是离市中心有6-8公里的距离，适合自驾入住。', '短评打分': 3}
{'短评内容': '首先酒店位置比较偏，但离鼎盛王朝比较近，但周围啥都没有，也不能吃饭，自驾还可以，跟团不太建议。 酒店服务一般，装修比较有特色，都是木板，到卫生间太烂了，反味的狠，房间不大，浴巾卫生一般，不太隔音。', '短评打分': 2}
{'短评内容': '首先酒店位置比较偏，但离鼎盛王朝比较近，但周围啥都没有，也不能吃饭，自驾还可以，跟团不太建议。酒店服务一般，装修比较有特色，都是木板，到卫生间太烂了，反味的狠，房间不大，浴巾卫生一般，不太隔音。', '短评打分': 2}
{'短评内容': '朋友连续入住两天，满意', '短评打分': 3}
{'短评内容': '酒店处于半山腰，位置还不错；  但屋内实施不全，且多已老化或损坏；  服务很差，沟通也费劲，还不给开发票；  卫生条件一般。    总的来说，这家酒店有待改善的地方太多，按它的位置和价位，完全能做得更好。', '短评打分': 3}
{'短评内容': '酒店处于半山腰，位置还不错； 但屋内实施不全，且多已老化或损坏； 服务很差，沟通也费劲，还不给开发票； 卫生条件一般。  总的来说，这家酒店有待改善的地方太多，按它的位置和价位，完全能做得更好。', '短评打分': 3}
{'短评内容': '酒店很差，位置太偏，晚上入住，感觉有点怕。没有联通信号，没有wifi，无法上网。房间里好多没有卫生间，感觉是一座废弃的烂尾别墅区改造的，接待的都是旅行社的客人。附近没有任何商家，没有吃早点的地方，很不方便。总之是我遇到最糟糕的酒店。', '短评打分': 3}
{'短评内容': '木屋很有特色，建议用携程定的朋友入住之前电话再确认下是否有房。', '短评打分': 5}
{'短评内容': '环境很好，对自驾游的家庭来说很不错。', '短评打分': 4}
{'短评内容': '酒店床铺干净卫生非常好，枕头稍微有点硬，环境说的过去，干净卫生，就是洗手间不太好，平民极了，洗浴喷头不太好，太晚的时候热水不太好，因为是太阳能的热水器。宽带没，大厅有无线网，很不方便。', '短评打分': 5}
{'短评内容': '一般般吧，但整体上说还可以，呵呵，因为承德的所有酒店夏天都这样。酒店的卫生间和空调不咋地，环境还可以。', '短评打分': 5}
{'短评内容': '全实木装修很有特点，酒店是新建的所以很干净，洗澡水也很热。离避暑山庄和各景点都不远，大约10分钟，空气很好。刚到时没找到，后来打电话，酒店来接的，感觉很亲切。酒店早餐是稀饭、馒头和各种咸菜，种类不多，但吃的很营养很舒服。酒店还有采摘园，大部分蔬菜都是酒店自己种的，呵呵，绿色食品。这环境太棒了，下次来，还住这里。', '短评打分': 5}
