{'短评内容': '酒店还可以 挺干净的 小单间确实很迷你 wifi有一点点慢吧 主要有早餐 味道还可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间有异味，联系前台想换房，结果被告知换不了，没房间了。早晨吃饭没见有很多客人。早餐还不错。房间没有饮用水。', '短评打分': 3}
{'短评内容': '服务不好，卫生很差，差评差评', '短评打分': 1}
{'短评内容': '早餐不错啦！不用加床的。没有带孩子啊，位置不错哦！有停车场的，不知道收费否？我没有开车去，坐飞机后打的去的。钦此！', '短评打分': 4}
{'短评内容': '交通位置方便，停车方便，旁边有个市场买东西方便，酒店设施陈旧，～～～～～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '工作人员服务态度不行，环境一般&hellip;&hellip;', '短评打分': 3}
{'短评内容': '设施比较陈旧 周边商务方便', '短评打分': 4}
{'短评内容': '7号早上入住到8号就算两天，什么酒店，太吓人了！', '短评打分': 3}
{'短评内容': '不错 还会光顾', '短评打分': 5}
{'短评内容': '酒店环境挺好的！', '短评打分': 5}
{'短评内容': '很好 价格实惠', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '宾馆设施陈旧，卫生间地漏堵塞，服务态度差。早餐还行，交通方便的，要不是图在附近办事方便，不会选择。', '短评打分': 3}
{'短评内容': '很安静，挺好的', '短评打分': 5}
{'短评内容': '离北邮北师大很近，安静', '短评打分': 5}
{'短评内容': '交通方便，环境很安静，设施有点旧。', '短评打分': 4}
{'短评内容': '不错的酒店。里面卫生很好、服务态度也不错、总体还不错、下次还会去住。', '短评打分': 5}
{'短评内容': '不错的酒店。里面卫生很好、服务态度也不错、总体还不错、下次还会去住。', '短评打分': 5}
{'短评内容': ' 酒店地里位置不错，方便购物，就是早夕不能丰富，待改进，价位还算合理，服务比较满意，环境也很好，总之，下次还会来入住，给个好评。', '短评打分': 3}
{'短评内容': '小单间实在小了点，大环境还将就，酒店稍旧1，感觉不如快捷酒店舒适。', '短评打分': 3}
{'短评内容': '位置不错，标间窗户太小，白天也得开灯。大单间少有通到楼外边的窗户，不推荐。', '短评打分': 3}
{'短评内容': '我住的小单间，房间设施倒是可以，就是房间有点小，灯光太少，客厅就一个台灯，光线太暗，不过整体还行吧。', '短评打分': 5}
{'短评内容': '宾馆整体环境不错，休息得还好，虽然有点贵，不过还算物有所值', '短评打分': 3}
{'短评内容': '酒店位置处于市中心地带，但性价比不够高, 出门打车也不太方便。', '短评打分': 1}
{'短评内容': '还可以,但标间只有一份早餐,不可理解!', '短评打分': 3}
{'短评内容': '酒店不错~房间还可以~洗澡水也比较大~所以还是赞一个', '短评打分': 5}
{'短评内容': '酒店不错~房间还可以~洗澡水也比较大~所以还是赞一个~', '短评打分': 5}
{'短评内容': '环境很是不错，安静，附件有爆米花KTV，同一首歌KTV，吃住都不错，和邮电大学很近，就是出行不太方便，离地铁较远。', '短评打分': 5}
{'短评内容': '房间比较大,比较干净,缺点是窗户较小,朝阳房间较少.中餐厅房间很大,自助早餐的性价比也不错.', '短评打分': 5}
{'短评内容': '环境尚可，设施有点旧不过在北京价格就这样，便宜没档次，有档次绝对不便宜。', '短评打分': 3}
{'短评内容': '不错，上网收费。', '短评打分': 3}
{'短评内容': '位置还行，二环边上，房间这个价格性价比还过得去。就是大堂总台的服务还差了点。', '短评打分': 5}
{'短评内容': '距离地铁比较远，不适合出行。上网收费，实际房价要达到400多，性价比就不高了。不过吃饭200元每人能吃到海参。', '短评打分': 5}
{'短评内容': '早餐还可以，房间比较小，不能免费上网，每小时20块钱，太贵了', '短评打分': 5}
{'短评内容': '设施一般，管理一般', '短评打分': 3}
{'短评内容': '地理位置不错，早餐也可以，干净卫生，下次还会入住。', '短评打分': 5}
{'短评内容': ' 交通方便 旁边就是大型超市商场 离西直门地铁站近 靠近学院区 就是价格相比同等酒店偏小贵 主要因为地理优势', '短评打分': 3}
{'短评内容': '我们真实点评，酒店隐形涨价，一是上网收费50元每天，再标间只含一早，实际于400元至450元价格区间的酒店比档次又欠佳（没有症状真正的窗户），通风还得靠空调，但交通不方便，离地铁口20分钟步行，所以感觉一般。', '短评打分': 5}
{'短评内容': '酒店不错，离地铁较远', '短评打分': 3}
{'短评内容': '条件很好，价格合适', '短评打分': 3}
{'短评内容': '早餐是我见过的最给力的，挺干净安静的，就是不能免费上网，抠门', '短评打分': 5}
{'短评内容': '酒店不算好找，的士司机看了门牌号也不太清楚，幸亏前台mm的短信才找到。单人房比较小，还是挺干净的。免费早餐还算可以，如果上网免费就更好了。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '单人房小的可怜', '短评打分': 3}
{'短评内容': '办理酒店入住手续快捷方便，房间一般，离地铁较远。', '短评打分': 5}
{'短评内容': '位置还好,离地铁挺远,比较好找,周围还有大商场', '短评打分': 5}
{'短评内容': '房间很旧,有点味道,位置很好,距离西直门很近,周围有超市,...................................................................................................', '短评打分': 5}
{'短评内容': '周围环境好，上网收费且慢是弱点。', '短评打分': 3}
{'短评内容': '还行吧。前台有个男服务员的态度太差，可能是不太会操作电脑，顾客网上预定的房间日期都会看错，还强词夺理。', '短评打分': 5}
{'短评内容': '价格是优势，缺点也较多，早餐差劲，晚上会有电话，洗手间也不好，但总的说性价比可以，虽然距离上次住宿有段时间了，但是总体感觉还行\n', '短评打分': 5}
{'短评内容': '房间很不错。推荐大家住。早餐也好吃', '短评打分': 3}
{'短评内容': '服务挺好的。', '短评打分': 3}
{'短评内容': '早餐还成', '短评打分': 3}
{'短评内容': '房间还可以，但入住时前台服务员态度不好，明了预订两间硬说只有一间', '短评打分': 3}
{'短评内容': '还可以吧，', '短评打分': 3}
{'短评内容': '地方可以，略小，给好评吧', '短评打分': 3}
{'短评内容': ' 酒店大堂不错，总体感觉尚好，早餐也可以。但房间偏小，大单间不到15平方米，上网要收费，一天50元，太贵。\n', '短评打分': 5}
{'短评内容': ' 地点不错，房间小了点，;-)性价比还可以！\r\n\r\n上海长石顾欣黎', '短评打分': 3}
{'短评内容': '属于经济型的酒店，虽然设施有点差，但价格还是很优惠的', '短评打分': 5}
{'短评内容': '距离西直门比较近,周围有商业中心,吃饭购物方便,房间小,', '短评打分': 5}
