{'短评内容': '感觉还好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺温馨舒适的', '短评打分': 5}
{'短评内容': '真棒！还不错', '短评打分': 5}
{'短评内容': '朋友推荐还不错', '短评打分': 5}
{'短评内容': '早餐不错停车方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店很不错，环境好，干净，卫生，值得入住', '短评打分': 5}
{'短评内容': '不错哦！', '短评打分': 5}
{'短评内容': '维尔纳酒店环境还是不错，网上预订比较实惠。', '短评打分': 4}
{'短评内容': '房间挺大，很舒适', '短评打分': 5}
{'短评内容': '酒店非常好，性价比非常高。', '短评打分': 5}
{'短评内容': '各方面条件还不错', '短评打分': 5}
{'短评内容': '热水供应充足，房间宽敞明亮，房间设施齐全，环境卫生干净，整洁。总体感觉舒适，实惠，满意。是出游的最好选择。', '短评打分': 4}
{'短评内容': '半夜有人敲门，吓死人了，不知道发生什么事', '短评打分': 3}
{'短评内容': '楼下太吵啦，早餐品种少，但吃得饱。', '短评打分': 4}
{'短评内容': '其它都好，唯有携程订购房费比现场入住贵很多，不明白！', '短评打分': 5}
{'短评内容': '舒适   挺不错', '短评打分': 5}
{'短评内容': '非常捧，服务态度和蔼可亲，速度快', '短评打分': 5}
