{'descr': '酒店位置很方便，附近全是小吃街，适合居住。', 'star': 5}
{'descr': '房间很干净，服务态度很好，旁边就是小吃街，吃饭很方便。', 'star': 5}
{'descr': '位置就在南大街附近，离地铁也很近，非常好，发现床单有污渍，打给前台，很快就给换了', 'star': 5}
{'descr': '南禅寺门口，近得已经无法形容，房间情况跟其他地方的如家一样不多啰嗦。整体来说，确实还是相当可以。', 'star': 4}
{'descr': '特价房虽然小了些，设备啥的还是挺全的，卫生不错，干净。服务态度好。还有免费寄存。很不错', 'star': 4}
{'descr': '地点好，出地铁走5分钟就到了，离南禅寺特别近，去步行街方便', 'star': 5}
{'descr': '位置极佳，出行方便，价格实惠，不足之处是一大早噪音不胜其烦', 'star': 4}
{'descr': '不错，离景区较近。边上有条河，顺河过去还有个体育场。塑胶跑道不错，早上去跑个步很好。周边也比较繁华，离古运河也比较近。', 'star': 5}
{'descr': '房间很小没有窗，干净还过得去，主要地点不错，就在南禅寺步行街上', 'star': 4}
{'descr': '各方面很好性价比高', 'star': 5}
{'descr': '如家，一直是我旅行入住的选择，本次入住无锡南禅寺步行街店依然很满意，房间设施不是豪华型的，温馨干净的感觉还是那么熟悉。特别地说一下的是周边的环境很具有无锡风韵，古运河的宁静古朴的让人沉醉，有一种人在画中游的飘然，南禅寺宝塔的神秘让人不得不去探究一下，感受一下佛教文华的渊深，南下塘的私家小厨菜系一定能满足众吃货的各种需求，古街两边的静吧散发出的流行欢快气息让每个随意逛游者自然而然地感受一份轻松惬意！', 'star': 5}
{'descr': '一切都好，就是热水稍微小了一点。不过还可以了！在这个位置这个价位还是满意的', 'star': 5}
{'descr': '干净，购物吃饭都方便。乘车打车也方便。周围很多咖啡馆', 'star': 5}
{'descr': '房间有点小吧没有窗户其他蛮好的，下边南禅寺也挺好', 'star': 4}
{'descr': '在景区里，夜游南禅寺很方便', 'star': 5}
{'descr': '早点差了点，但是负责收餐券的服务员挺好的', 'star': 4}
{'descr': '交通方便。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '设施还行。', 'star': 5}
{'descr': '总体来说住的地方很方便，晚上很繁华，服务不错！如果你提出的要求他们都会第一时间满足，下次还会光顾！', 'star': 5}
{'descr': '如果要吃东西，这家很适合，挨着南禅寺步行街，步行街上有很多不错的小吃。如果去旅游景点和机场的话，这里交通不大行，都需要转车。为了要方便去景点和机场还是建议住火车站附近，景点的车那几乎都有', 'star': 5}
