{'短评内容': '早餐不错，干净。', '短评打分': 5}
{'短评内容': '早餐没有在餐厅吃，宾馆周围吃的挺多的。停车位比较多。', '短评打分': 5}
{'短评内容': '还好吧，对得起价格。', '短评打分': 5}
{'短评内容': '上好吧。还需要改善', '短评打分': 3}
{'短评内容': '酒店早餐很好，是我住过的酒店早餐最便宜早餐，15元的价格超值，前台工作人员态度很好，看我是老人不停地告诉我别急，以后再去威海还住如家。院子很大停车没问题。带孩子住三人间很好。自驾游', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以(#^.^#)^-^', '短评打分': 5}
{'短评内容': '很干净卫生，价格也实惠！', '短评打分': 5}
{'短评内容': '房间不错，安全性高，价格实惠，推荐。', '短评打分': 5}
{'短评内容': '服务态度很好挺干净的', '短评打分': 5}
{'短评内容': '一如既往的便宜和好。', '短评打分': 5}
{'短评内容': '去海边很方便', '短评打分': 4}
{'短评内容': '去海边很方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '前台热情，环境舒适', '短评打分': 5}
{'短评内容': '还可以，住了好几次了', '短评打分': 5}
{'短评内容': '还行吧！', '短评打分': 5}
{'短评内容': '还不错拉，里面很干净  。下次还会老', '短评打分': 4}
{'短评内容': '还是很好，以后会选如家', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体来说还不错，但是我们下午5点去的酒店，但是到酒店后被告知房子还没收拾好，等了1个多小时才住进去。', '短评打分': 5}
{'短评内容': '环境和服务全部OK！离国际沙滩浴场很近，一家3口从酒店走过去就15分钟左右，对于爱游泳的朋友很好！', '短评打分': 5}
{'短评内容': '干净、舒适、服务不错！离海边也很近，下次去还住这里。', '短评打分': 5}
{'短评内容': '还可以，就是没电梯！DP04还可以，就是没电梯！DP04还可以，就是没电梯！', '短评打分': 3}
{'短评内容': '前几天去的威海，看了评价说这家如家不错，离海边浴场也进，于是定了。入住确实不错。一分价钱一分享受，我觉得对得起这个价格。以后去威海，如果经济条件好了当然选好的，如果选经济型的，还选这家如家。离海边近、有超市、洗车方便、停车免费、离高速也近，服务好！', '短评打分': 5}
{'短评内容': ' 环境尚可，交通便利，距离海水浴场4站路的行程。但是，第二天房价上涨90元，任何房型都涨价，预定金额作废。这是让我不能接受的方面！！', '短评打分': 3}
{'短评内容': '服务很好，离海边10块钱打车即可，交通方便。就是早晨12块较贵而且质量一般', '短评打分': 5}
{'短评内容': '位置离长途汽车站很远，比较偏僻的地方。\n房间很干净整洁，唯一不足的依然是隔音效果很差。', '短评打分': 5}
{'短评内容': '服务不错，这次住的一楼，但是很安靜，下次还会去', '短评打分': 5}
{'短评内容': '还可以吧，隔音效果不太好，楼梯很陡，但是服务态度还不错。暗房有股味道', '短评打分': 1}
{'短评内容': '悲剧的隔音啊，昨晚真让隔壁折腾的不行了，真的很无语。。。。。\n悲催啊。。。。。\n\n提过无数次了，你们家的隔音效果能不能改善一下呢？？？', '短评打分': 5}
{'短评内容': '淡季去的，价格还行！ 特价房没外窗！\n淡季去的，价格还行！ 特价房没外窗！\n淡季去的，价格还行！ 特价房没外窗！', '短评打分': 5}
{'短评内容': '距离市中心很远，但周围环境比较寂静，房间隔音不好，走廊里面走人或者说话都很清楚。希望隔音方面有所改善。', '短评打分': 5}
{'短评内容': '整体还可以，但是位置比较偏，离汽车站比较远，酒店的隔音效果不太好，希望以后会改善。', '短评打分': 5}
{'短评内容': '安静舒适近海', '短评打分': 3}
{'短评内容': '第一次住如家，感觉有家的感觉，被子是红色的，房间很大，不错', '短评打分': 5}
{'短评内容': '干净舒适整洁，参加活动价格很优惠\n交通便利，整体给人的感觉很好\n希望经常推出优惠活动', '短评打分': 5}
{'短评内容': '酒店不错，会一直选择如家！', '短评打分': 3}
{'短评内容': '酒店环境很不错 服务的很周到 值得向朋友推荐啊 ', '短评打分': 5}
{'短评内容': '挺干净得      就是 地方不 是很好找', '短评打分': 5}
{'短评内容': '设施当然没的说，全国都一样，标准化的，服务特别好，进出问候', '短评打分': 3}
{'短评内容': '离山东大学威海分校很近\n我最后改了标间\n两张大床\n很软很舒服\n被子也厚厚软软的而且很干净\n两张床拼在一起我们住了三个人还很宽敞呢\n', '短评打分': 5}
