{'短评内容': '服务态度很好，卫生也不错，就是周围环境差点', '短评打分': 4}
{'短评内容': '位置环境没的说，服务现在也非常好', '短评打分': 5}
{'短评内容': '安静卫生，服务也不错', '短评打分': 5}
{'短评内容': '房间很大，外部设施很好，环境不错。', '短评打分': 5}
{'短评内容': '很安静，安静，感觉很不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '好舒服，空间大', '短评打分': 5}
{'短评内容': '还可以吧，老酒店了', '短评打分': 4}
{'短评内容': '设施陈旧，早餐太惨了', '短评打分': 3}
{'短评内容': '周边比较清静', '短评打分': 4}
{'短评内容': '一点不像四星级酒店，卫生比较差', '短评打分': 3}
{'短评内容': '水不热，洗澡根本没法洗。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '1、入住当天就被掉下来一块板砸了；2、马桶居然没干净；3、酒店前台很没耐心；4、所谓的健身房游泳池如图。按价格从高到低搜出的第一家酒店，感觉这价格就是欺诈。', '短评打分': 1}
{'短评内容': '酒店太老了，早餐还可以，性价比一般', '短评打分': 3}
{'短评内容': '不错不错................................', '短评打分': 5}
{'短评内容': '酒店很一般，可能地市的酒店都这样吧，服务也不好', '短评打分': 3}
{'短评内容': '可以算得上为当地比较可以的一间酒店，四星的级别吧。地点可以，真方便', '短评打分': 5}
{'短评内容': '老酒店，楼层不高，设施比较老了，性价比差，周围比较热闹。', '短评打分': 5}
{'短评内容': '感觉不错，谢啦', '短评打分': 3}
{'短评内容': '酒店算邯郸好的。酒店算邯郸好的。酒店算邯郸好的。酒店算邯郸好的。酒店算邯郸好的。', '短评打分': 5}
{'短评内容': 'Vrey bad hotel, noise and air pollution,', '短评打分': 1}
{'短评内容': '出差邯郸经常住的酒店，总体还不错。当地同层次的酒店也不多的。', '短评打分': 5}
{'短评内容': '北方已经蛮冷了,但宾馆还未供暖,用两个油汀还是觉得冷.', '短评打分': 3}
{'短评内容': '硬件不错，服务不够好。', '短评打分': 3}
{'短评内容': '非常好的酒店，如果价格再优惠点就更好了。总之还是不错，希望多有优惠活动', '短评打分': 5}
{'短评内容': '二楼比一楼房间好。二楼比一楼房间好。二楼比一楼房间好。二楼比一楼房间好。二楼比一楼房间好。', '短评打分': 5}
{'短评内容': '出差经常住的酒店，在邯郸算是很不错的选择了。', '短评打分': 5}
{'短评内容': '不错，房间东西很新，服务员也很好。交通方便在市中心，去哪基本起步价6元就差不多了。旁边就是 赵王点将台（丛台公园）', '短评打分': 5}
{'短评内容': '华丽的大餐厅，舒适的床单，富贵的卧室与浪漫的洗手间，堪比海南的六星饭店。硬件还行，但是服务态度令人作呕，入住时约定2点退房，但次日竟然11点半就催退房？？', '短评打分': 5}
{'短评内容': '条件不错比较满意', '短评打分': 3}
{'短评内容': '还行吧!!还行吧!!还行吧!!还行吧!!', '短评打分': 5}
{'短评内容': '整体很好，就是洗澡水不是很热，而且浴室的门密封性不好，洗完澡漏了一地水\n整体很好，就是洗澡水不是很热，而且浴室的门密封性不好，洗完澡漏了一地水\n整体很好，就是洗澡水不是很热，而且浴室的门密封性不好，洗完澡漏了一地水', '短评打分': 5}
{'短评内容': '非常不错的酒店，价位稍高，其他的都很不错。相对而言，从台大酒店性价比更好一些。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '装修、设施不错！房间大，是邯郸最好的酒店', '短评打分': 5}
{'短评内容': '地理位置很好，比较安静，但是有太多的蚊子，希望能够处理一下', '短评打分': 5}
{'短评内容': '条件应该算邯郸比较好的酒店了，可以一住!', '短评打分': 5}
{'短评内容': '邯郸不错的酒店，就是夏天有小虫虫，早餐逊了点，其他都好。', '短评打分': 5}
{'短评内容': '非常好的房间服务，非常好的房间设施，非常好的环境，非常希望在此居住', '短评打分': 5}
{'短评内容': '非常好的房间服务，非常好的房间设施，非常好的环境，非常希望在此居住。', '短评打分': 5}
{'短评内容': '很干净，我还会去的！我还会推荐给我的朋友！', '短评打分': 5}
{'短评内容': 'no good, very bad, i will not stay there any more.', '短评打分': 1}
{'短评内容': '政府宾馆，安静得很，后边是公园，也没有那些杂七杂八的人！', '短评打分': 5}
{'短评内容': '还不错床房间都大~', '短评打分': 3}
{'短评内容': '，房间还好，自助餐厅太小了，晚上有蚊子，一晚没睡好', '短评打分': 3}
{'短评内容': '酒店不错，但是政府宾馆不该有骚扰电话呀，', '短评打分': 5}
{'短评内容': 'Gps找不到酒店，输入邯郸宾馆才能找到，酒店总体还可以吧！', '短评打分': 5}
{'短评内容': ' 酒店还可以，淋浴房下水不好，其他方面都还说的过去', '短评打分': 3}
{'短评内容': '酒店还不错设施都比较新，卫生服务其他方面都很好，但是服务员还是比较少而且去吧台买个饮料之类的都没有。另外主要酒店接待政府人员比较多如果旺季的话要是让你调换房间就必须调一定都不方便，位置是在市中心是很好的。', '短评打分': 3}
{'短评内容': '客房新装修的风格还可以.位置好在市中心交通便利.而且整体水平蛮高的.', '短评打分': 5}
{'短评内容': '酒店房间设施不错，其他配套设施偏差，价钱偏贵', '短评打分': 3}
{'短评内容': '不错不错，外表看起来不起眼，但相比较丛台等新开的酒店确实要好的多。', '短评打分': 5}
{'短评内容': '邯郸比较不错的酒店了，如果早餐改进一下会跟好的', '短评打分': 5}
{'短评内容': '酒店还不错其实开业也没多长时间设施还是挺新的房间也还不错，位置也非常好找，酒店前台服务还是属于一般，', '短评打分': 5}
{'短评内容': '酒店非常不好找因为外面它挂的是邯郸宾馆的牌子我在门口绕了几圈也没有找到，不过设施还不错，酒店服务还行，价格和酒店环境还算比较匹配。', '短评打分': 1}
