{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '有点过于老旧，特别是浴袍，其他设施也十分简陋，唯一就是公寓式房间，方便一家人居住。早餐也很简单，停车场如果在节假日就非常紧张，酒店位置还可以，在天津自然博物馆对面，但周边没有购物和餐饮的地方。', '短评打分': 3}
{'短评内容': '酒店位置好，交通便利，房间里灰尘比较多，带孩子还是要注意卫生。', '短评打分': 5}
{'短评内容': '酒店挺好的，跟朋友过来玩太晚了没回去，酒店房间很大，环境很好，两个大床一个标准间，下次来还会住这里。', '短评打分': 5}
{'短评内容': '第一次空间那么大的房间。全家都很开心。酒店配有的泳池，更是让孩子乐不思蜀。老公更是喜欢房间的大空间。下次一定再次光临', '短评打分': 5}
{'短评内容': '头一次遇到网上预订没有流水单的情况 不过还好酒店协助给予解决了朋友说房间还是很宽敞的', '短评打分': 5}
{'短评内容': '因为出差，韩国伙伴选的地方，网上的名字和树的牌子有些许不一致。酒店房间超级大，暖气不是很足。', '短评打分': 5}
{'短评内容': '多次入住，除了有些设施有点旧了，其它方面都可以。', '短评打分': 4}
{'短评内容': '服务热情周到', '短评打分': 5}
{'短评内容': '服务热情 ', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店附近有很多博物馆 也有个银河购物中心 乐天玛特 唯一就是交通不怎么方便 出行都要打车 设施也不错 被子有点漏毛', '短评打分': 5}
{'短评内容': '这次帮朋友订的酒店 本来是我推荐的 可是让人很失望 。本来酒店的地理位置没有任何优势就应该在服务和设施上多下功夫 ，但是此次入住没有任何相应的感触  一，前台一个男生始终没有任何笑容 这也就罢了 ，进而把那态度俨然把入住登记当成了审讯一样，请问客人入住的是酒店还是公安局的拘留所 二，房间里的几条毛巾旧到无法容忍 自家都不会用的毛巾拿来给客人用？ 临走时碰到一个外国常驻客人 也在投诉服务问题 前台的', '短评打分': 2}
{'短评内容': '非常干净，周围环境优美。。。配套设施齐全', '短评打分': 5}
{'短评内容': '这个酒店住着比较舒适，如果价格一直在500之内，来天津出差我就会选择住这里。', '短评打分': 5}
{'短评内容': '真的很好，交通便利，服务周到！感觉好好，下次还会入住的！', '短评打分': 5}
{'短评内容': '酒店很有家的感觉，下次还会入住', '短评打分': 3}
{'短评内容': '很好的酒店设施很完备环境很好很雅致酒店内安静私密性很强很适合三五好友在此小聚服务态度很好总之是个很错的酒店', '短评打分': 3}
{'短评内容': '朋友来这基本都选择这个酒店，确实是很不错，非常满意。希望能保持下去~', '短评打分': 5}
{'短评内容': '酒店的客房家电齐全,服务员态度一般,早餐简单。交通方便,房型舒适!', '短评打分': 3}
{'短评内容': '酒店环境很好的，房间很大也很安静。', '短评打分': 3}
{'短评内容': '酒店服务很好的，以后会经常来住。', '短评打分': 3}
{'短评内容': '酒店很好的，很安静。', '短评打分': 3}
{'短评内容': '酒店很好的，办理入住的手续很快，我很喜欢这里酒店的环境。', '短评打分': 3}
{'短评内容': '第二次住了，很有家的感觉，喜欢那样的温馨和安静，真想以后把家也装修成那样的', '短评打分': 3}
{'短评内容': '一如既往的不错，美中不足的是床有点硬，睡着不是很舒服。', '短评打分': 5}
