{'短评内容': '闪住是免押金还收押金！设施很旧，浴巾毛巾都是灰色的，床也掉皮了，枕头很脏，感觉枕巾没有换，床上有1块血迹恶心死了！没有一次性拖鞋，没有电梯，自己上楼！', '短评打分': 4}
{'短评内容': '想续住到下周没有房了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '非常满意的！', '短评打分': 5}
{'短评内容': '价格非常便宜，环境非常好', '短评打分': 5}
{'短评内容': '各方面都一般，可是价格也是一般，有蚊子，床比较舒服，这个价格，也就这样吧！', '短评打分': 3}
{'短评内容': '环境好，住的舒服', '短评打分': 5}
{'短评内容': '环境好，住的舒服', '短评打分': 5}
{'短评内容': '很温馨的酒店', '短评打分': 4}
{'短评内容': '可以，，，:，，，，，，', '短评打分': 5}
{'短评内容': '不错，就是隔音差了点', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '工会举办 vvvvv 个哥哥哥哥哥哥', '短评打分': 4}
{'短评内容': '挺好的，值得推荐！干净环境好', '短评打分': 3}
{'短评内容': '有好多蚊子，差点把我和我同事吃了，其他的一般，这个价钱也只能这样了', '短评打分': 4}
