{'短评内容': '环境不错，服务态度好，价格合理。', '短评打分': 5}
{'短评内容': '其他还好，我那间无线信号不好，遗憾。', '短评打分': 5}
{'短评内容': '酒店很干净', '短评打分': 5}
{'短评内容': '挺好的，以后有机会还会来住', '短评打分': 5}
{'短评内容': '离火车站近，步行10分钟左右，晚上很安静', '短评打分': 5}
{'短评内容': '位置很好找，交通也方便。离华润万家超市很近，买东西方便。还给免费升级了标间，下次有机会来，还住这里。', '短评打分': 5}
{'短评内容': '房间干净卫生，条件还可以，就是临街噪音稍大一点儿', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离车站火车站不远，房间卫生干净不错！', '短评打分': 5}
{'短评内容': '。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间还可以，就是设备不太好用，空调忽冷忽热的', '短评打分': 4}
{'短评内容': '环境好，安静适合休息。', '短评打分': 5}
{'短评内容': '订的双人A，免费升为标准间，房间设施比较齐全，卫生很好，离火车站400米左右，但发往白马寺和龙门的公交都在火车站东侧所以感觉有点小远，总体比较满意！', '短评打分': 4}
{'短评内容': '快捷酒店一般都会选锦江之星，不会像有些快捷酒店服务水平，硬件设施层次不齐', '短评打分': 5}
{'短评内容': '酒店就在火车站西边纱厂北路口附近，交通方便、干净卫生', '短评打分': 4}
{'短评内容': '服务态度好。早餐也不错', '短评打分': 5}
{'短评内容': '到洛阳就住这里，好好好', '短评打分': 5}
{'短评内容': '好 很好 非常好 非常非常好', '短评打分': 5}
{'短评内容': '好 很好 非常好 非常非常好', '短评打分': 5}
{'短评内容': '性价比高  出行方便  性价比高  出行', '短评打分': 5}
{'短评内容': '性价比高，卫生不错，但晚上会听到路面的声音。', '短评打分': 4}
{'短评内容': '旁边有家渤海湾不错~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店的地段不错，周围找吃的地方比较多。房间的设施很新，为客人提供了晾衣服的架子，而且这个架子正对着空调，使衣服很快就能干，感觉很人性化。', '短评打分': 5}
{'短评内容': '还是离火车站略远~~如果饭菜再多些选择就更好了', '短评打分': 5}
{'短评内容': '离酒店走路大概十分钟，很安静，设备看着有一点旧，但是细节安排很合理，尤其是夜灯，很方便。价格也很不错，早餐稍贵一些', '短评打分': 5}
{'短评内容': '对锦江之星一起是情有独钟，所以此次前往洛阳还是选的锦江，酒店服务态度好，非常不错，下次还要作为首选！', '短评打分': 5}
{'短评内容': '\n酒店环境不错，每次到洛阳都住这里，但是早餐比以前差了一些', '短评打分': 3}
{'短评内容': '很不错的饭店，干净卫生，前台服务也好，地理位置也好，房间配置简单但非常实用，比如用衣架取代衣柜，又环保还能晾洗的衣服，空调一吹很快就干，早餐虽简单，但该有的都有了，才18元吗，下次还住。', '短评打分': 3}
{'短评内容': '总体来说还算挺干净，浴室灯光暗，', '短评打分': 3}
{'短评内容': '交通便利，闹中去静，很好，下次还住。推荐给朋友', '短评打分': 5}
{'短评内容': '酒店位置交通方便，服务员态度好，卫生一般。', '短评打分': 5}
{'短评内容': '酒店位置还可以，卫生一般，服务员态度好。', '短评打分': 5}
{'短评内容': ' 入住锦江之星洛阳火车站店，房间干净，设施齐全，大厅有WIFI', '短评打分': 3}
{'短评内容': '环境不错，地段也很好，在开封主街道，去景区也比较方便', '短评打分': 5}
{'短评内容': '环境不错，设施比较新，都是锦江风格。。。', '短评打分': 3}
{'短评内容': '还不错，此次行程几个城市基本都订了锦江，品质有保障。很吉欢服务员白底粉红小花的小夏装，清爽温霫，加个她们淡淡的装容和甜甜的笑容，很温暖。', '短评打分': 5}
{'短评内容': '旅店交通方便，环境干净，服务态度也好，又便宜，很不错哦!', '短评打分': 3}
