{'短评内容': '非常不错的去处', '短评打分': 5}
{'短评内容': '非常喜欢的感觉  不错去去处', '短评打分': 5}
{'短评内容': '不错的酒店  值得去住', '短评打分': 5}
{'短评内容': '房间设施该更换一下了', '短评打分': 5}
{'短评内容': '房间还可以  挺大的  然后就是位置稍微有点偏僻了', '短评打分': 5}
{'短评内容': '酒店非常好，京东酒店，值得信赖，而且价格要比其他地方订便宜', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '给同事订的，评价一般过得去', '短评打分': 4}
{'短评内容': '给同事订的，评价一般过得去', '短评打分': 4}
{'短评内容': '还行啊！房间挺大的。', '短评打分': 4}
{'短评内容': '好好好。。', '短评打分': 5}
{'短评内容': '地址比较偏，早餐能吃得不多，其他过的去', '短评打分': 4}
{'短评内容': '就这个价位还有早饭算是不错了吧。', '短评打分': 4}
{'短评内容': '性价比还是蛮高的', '短评打分': 5}
{'短评内容': '离家近，亲戚朋友来的时候，是最佳的选择！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '整体感觉还不错，到机场很方便', '短评打分': 4}
{'短评内容': '续住的，房间挺大，位置偏，不方便吃东西', '短评打分': 4}
{'短评内容': '温州的房间不便宜啊，房间挺大，但是位置太偏，吃东西不是很方便', '短评打分': 4}
{'短评内容': '很舒服，喜欢，非常值得入住的酒店，干净。\n', '短评打分': 5}
